servicio,fecha,pasajeros,dt
BIOTREN,2026-05-01,433.0,LV
BIOTREN,2026-05-02,19829.0,Sab
BIOTREN,2026-05-03,7556.0,Dom
BIOTREN,2026-05-04,50839.0,LV
BIOTREN,2026-05-05,49481.0,LV
BIOTREN,2026-05-06,44576.0,LV
BIOTREN,2026-05-07,52797.0,LV
BIOTREN,2026-05-08,48717.0,LV
BIOTREN,2026-05-09,21202.0,Sab
BIOTREN,2026-05-10,8176.0,Dom
BIOTREN,2026-05-11,45350.0,LV
BIOTREN,2026-05-12,46295.0,LV
BIOTREN,2026-05-13,47621.0,LV
BIOTREN,2026-05-14,47068.0,LV
BIOTREN,2026-05-15,46546.0,LV
BIOTREN,2026-05-16,19627.0,Sab
BIOTREN,2026-05-17,9190.0,Dom
BIOTREN,2026-05-18,47426.0,LV
BIOTREN,2026-05-19,46821.0,LV
BIOTREN,2026-05-20,47004.0,LV
BIOTREN,2026-05-21,579.0,LV
BIOTREN,2026-05-22,35189.0,LV
BIOTREN,2026-05-23,16656.0,Sab
BIOTREN,2026-05-24,7980.0,Dom
BIOTREN,2026-05-25,50547.0,LV
BIOTREN,2026-05-26,50536.0,LV
BIOTREN,2026-05-27,46360.0,LV
BIOTREN,2026-05-28,46754.0,LV
BIOTREN,2026-05-29,48697.0,LV
BIOTREN,2026-05-30,20545.0,Sab
BIOTREN,2026-05-31,9025.0,Dom
CORTO_LAJA,2026-05-01,1305.0,LV
CORTO_LAJA,2026-05-02,2685.0,Sab
CORTO_LAJA,2026-05-03,1431.0,Dom
CORTO_LAJA,2026-05-04,1270.0,LV
CORTO_LAJA,2026-05-05,1099.0,LV
CORTO_LAJA,2026-05-06,849.0,LV
CORTO_LAJA,2026-05-07,1112.0,LV
CORTO_LAJA,2026-05-08,1906.0,LV
CORTO_LAJA,2026-05-09,710.0,Sab
CORTO_LAJA,2026-05-10,756.0,Dom
CORTO_LAJA,2026-05-11,702.0,LV
CORTO_LAJA,2026-05-12,782.0,LV
CORTO_LAJA,2026-05-13,1044.0,LV
CORTO_LAJA,2026-05-14,1030.0,LV
CORTO_LAJA,2026-05-15,1463.0,LV
CORTO_LAJA,2026-05-16,1522.0,Sab
CORTO_LAJA,2026-05-17,1176.0,Dom
CORTO_LAJA,2026-05-18,1169.0,LV
CORTO_LAJA,2026-05-19,1128.0,LV
CORTO_LAJA,2026-05-20,1391.0,LV
CORTO_LAJA,2026-05-21,1271.0,LV
CORTO_LAJA,2026-05-22,1382.0,LV
CORTO_LAJA,2026-05-23,1575.0,Sab
CORTO_LAJA,2026-05-24,1378.0,Dom
CORTO_LAJA,2026-05-25,1321.0,LV
CORTO_LAJA,2026-05-26,1035.0,LV
CORTO_LAJA,2026-05-27,1016.0,LV
CORTO_LAJA,2026-05-28,1059.0,LV
CORTO_LAJA,2026-05-29,1420.0,LV
CORTO_LAJA,2026-05-30,1572.0,Sab
CORTO_LAJA,2026-05-31,1437.0,Dom
TREN_ARAUCANIA,2026-05-01,508.0,LV
TREN_ARAUCANIA,2026-05-02,1410.0,Sab
TREN_ARAUCANIA,2026-05-03,757.0,Dom
TREN_ARAUCANIA,2026-05-04,3596.0,LV
TREN_ARAUCANIA,2026-05-05,3434.0,LV
TREN_ARAUCANIA,2026-05-06,3161.0,LV
TREN_ARAUCANIA,2026-05-07,3546.0,LV
TREN_ARAUCANIA,2026-05-08,3409.0,LV
TREN_ARAUCANIA,2026-05-09,1346.0,Sab
TREN_ARAUCANIA,2026-05-10,688.0,Dom
TREN_ARAUCANIA,2026-05-11,3537.0,LV
TREN_ARAUCANIA,2026-05-12,3449.0,LV
TREN_ARAUCANIA,2026-05-13,3351.0,LV
TREN_ARAUCANIA,2026-05-14,3468.0,LV
TREN_ARAUCANIA,2026-05-15,3353.0,LV
TREN_ARAUCANIA,2026-05-16,1117.0,Sab
TREN_ARAUCANIA,2026-05-17,692.0,Dom
TREN_ARAUCANIA,2026-05-18,3306.0,LV
TREN_ARAUCANIA,2026-05-19,3345.0,LV
TREN_ARAUCANIA,2026-05-20,3460.0,LV
TREN_ARAUCANIA,2026-05-21,647.0,LV
TREN_ARAUCANIA,2026-05-22,1824.0,LV
TREN_ARAUCANIA,2026-05-23,1213.0,Sab
TREN_ARAUCANIA,2026-05-24,737.0,Dom
TREN_ARAUCANIA,2026-05-25,3209.0,LV
TREN_ARAUCANIA,2026-05-26,3385.0,LV
TREN_ARAUCANIA,2026-05-27,3466.0,LV
TREN_ARAUCANIA,2026-05-28,3329.0,LV
TREN_ARAUCANIA,2026-05-29,3577.0,LV
TREN_ARAUCANIA,2026-05-30,1301.0,Sab
TREN_ARAUCANIA,2026-05-31,750.0,Dom
LLANQUIHUE_PM,2026-05-04,1469.0,LV
LLANQUIHUE_PM,2026-05-05,1288.0,LV
LLANQUIHUE_PM,2026-05-06,1352.0,LV
LLANQUIHUE_PM,2026-05-07,1559.0,LV
LLANQUIHUE_PM,2026-05-08,1530.0,LV
LLANQUIHUE_PM,2026-05-11,1425.0,LV
LLANQUIHUE_PM,2026-05-12,1552.0,LV
LLANQUIHUE_PM,2026-05-13,1751.0,LV
LLANQUIHUE_PM,2026-05-14,1718.0,LV
LLANQUIHUE_PM,2026-05-15,1309.0,LV
LLANQUIHUE_PM,2026-05-18,1491.0,LV
LLANQUIHUE_PM,2026-05-19,1962.0,LV
LLANQUIHUE_PM,2026-05-20,1793.0,LV
LLANQUIHUE_PM,2026-05-22,2377.0,LV
LLANQUIHUE_PM,2026-05-25,1575.0,LV
LLANQUIHUE_PM,2026-05-26,1565.0,LV
LLANQUIHUE_PM,2026-05-27,1239.0,LV
LLANQUIHUE_PM,2026-05-28,1249.0,LV
LLANQUIHUE_PM,2026-05-29,1710.0,LV
