servicio,mes,cobertura,dias_obs,dias_esperados,pax_norm
BIOTREN,2023-05,1.0,31,31,1091317.0
BIOTREN,2024-01,1.0,31,31,851584.0
BIOTREN,2024-02,1.0,29,29,777431.0
BIOTREN,2024-03,1.0,31,31,1110460.0
BIOTREN,2024-04,1.0,30,30,1174078.0
BIOTREN,2024-05,1.0,31,31,1073876.0
BIOTREN,2024-06,1.0,30,30,727436.0
BIOTREN,2024-07,1.0,31,31,983798.0
BIOTREN,2024-08,1.0,31,31,934030.0
BIOTREN,2024-09,1.0,30,30,919690.0
BIOTREN,2024-10,1.0,31,31,1143390.0
BIOTREN,2024-11,1.0,30,30,1067007.0
BIOTREN,2024-12,1.0,31,31,984266.0
BIOTREN,2025-01,1.0,31,31,887658.0
BIOTREN,2025-02,1.0,28,28,725419.0
BIOTREN,2025-03,1.0,31,31,1087695.0
BIOTREN,2025-04,1.0,30,30,999861.9999999999
BIOTREN,2025-05,1.0,31,31,968139.0
BIOTREN,2025-06,1.0,30,30,916854.0
BIOTREN,2025-07,1.0,31,31,812580.0
BIOTREN,2025-08,1.0,31,31,976165.0
BIOTREN,2025-09,1.0,30,30,927456.0
BIOTREN,2025-10,1.0,31,31,1008880.0
BIOTREN,2025-11,1.0,30,30,939912.0
BIOTREN,2025-12,1.0,31,31,896439.0
BIOTREN,2026-01,1.0,31,31,774269.0
BIOTREN,2026-02,1.0,28,28,740617.0
BIOTREN,2026-03,1.0,31,31,1168630.0
BIOTREN,2026-04,1.0,30,30,1159191.0
BIOTREN,2026-05,1.0,31,31,1039422.0
CORTO_LAJA,2024-01,1.0,31,31,73194.0
CORTO_LAJA,2024-02,1.0,29,29,73556.0
CORTO_LAJA,2024-03,1.0,31,31,54246.0
CORTO_LAJA,2024-04,1.0,30,30,45371.0
CORTO_LAJA,2024-05,1.0,31,31,43774.0
CORTO_LAJA,2024-06,1.0,30,30,32281.0
CORTO_LAJA,2024-07,1.0,31,31,43469.0
CORTO_LAJA,2024-08,1.0,31,31,39348.0
CORTO_LAJA,2024-09,1.0,30,30,43640.0
CORTO_LAJA,2024-10,1.0,31,31,50284.0
CORTO_LAJA,2024-11,1.0,30,30,50570.0
CORTO_LAJA,2024-12,1.0,31,31,52956.0
CORTO_LAJA,2025-01,1.0,31,31,68173.0
CORTO_LAJA,2025-02,1.0,28,28,69269.0
CORTO_LAJA,2025-03,0.9354838709677419,29,31,45684.379310344826
CORTO_LAJA,2025-04,1.0,30,30,38563.0
CORTO_LAJA,2025-05,1.0,31,31,33502.0
CORTO_LAJA,2025-06,1.0,30,30,34068.0
CORTO_LAJA,2025-07,1.0,31,31,34081.0
CORTO_LAJA,2025-08,1.0,31,31,37156.0
CORTO_LAJA,2025-09,1.0,30,30,36755.0
CORTO_LAJA,2025-10,1.0,31,31,41850.0
CORTO_LAJA,2025-11,1.0,30,30,43948.0
CORTO_LAJA,2025-12,1.0,31,31,44504.0
CORTO_LAJA,2026-01,1.0,31,31,47831.0
CORTO_LAJA,2026-02,1.0,28,28,55341.0
CORTO_LAJA,2026-03,1.0,31,31,39187.0
CORTO_LAJA,2026-04,1.0,30,30,40219.0
CORTO_LAJA,2026-05,1.0,31,31,38996.0
LLANQUIHUE_PM,2025-05,0.9090909090909091,20,22,26153.6
LLANQUIHUE_PM,2025-06,0.9523809523809523,20,21,24487.05
LLANQUIHUE_PM,2025-07,0.9565217391304348,22,23,30553.409090909092
LLANQUIHUE_PM,2025-08,0.9523809523809523,20,21,21130.2
LLANQUIHUE_PM,2025-09,0.9090909090909091,20,22,26595.800000000003
LLANQUIHUE_PM,2025-10,0.9565217391304348,22,23,33320.72727272727
LLANQUIHUE_PM,2025-11,1.0,20,20,31210.0
LLANQUIHUE_PM,2025-12,0.9130434782608695,21,23,35637.95238095238
LLANQUIHUE_PM,2026-01,0.9545454545454546,21,22,65359.90476190476
LLANQUIHUE_PM,2026-02,1.0,20,20,64937.0
LLANQUIHUE_PM,2026-03,1.0,22,22,33919.0
LLANQUIHUE_PM,2026-04,0.9545454545454546,21,22,32673.142857142855
LLANQUIHUE_PM,2026-05,0.9047619047619048,19,21,33062.84210526316
TREN_ARAUCANIA,2024-08,1.0,31,31,60202.0
TREN_ARAUCANIA,2024-09,1.0,30,30,53711.0
TREN_ARAUCANIA,2024-10,1.0,31,31,67778.0
TREN_ARAUCANIA,2024-11,1.0,30,30,65914.0
TREN_ARAUCANIA,2024-12,1.0,31,31,48004.0
TREN_ARAUCANIA,2025-01,1.0,31,31,43340.0
TREN_ARAUCANIA,2025-02,1.0,28,28,42891.0
TREN_ARAUCANIA,2025-03,1.0,31,31,63167.0
TREN_ARAUCANIA,2025-04,1.0,30,30,62698.0
TREN_ARAUCANIA,2025-05,1.0,31,31,59389.0
TREN_ARAUCANIA,2025-06,1.0,30,30,46222.0
TREN_ARAUCANIA,2025-07,1.0,31,31,55987.0
TREN_ARAUCANIA,2025-08,1.0,31,31,51601.0
TREN_ARAUCANIA,2025-09,1.0,30,30,44714.0
TREN_ARAUCANIA,2025-10,1.0,31,31,52922.0
TREN_ARAUCANIA,2025-11,1.0,30,30,50758.0
TREN_ARAUCANIA,2025-12,1.0,31,31,43849.0
TREN_ARAUCANIA,2026-01,1.0,31,31,39424.0
TREN_ARAUCANIA,2026-02,0.9642857142857143,27,28,44059.55555555556
TREN_ARAUCANIA,2026-03,1.0,31,31,72866.0
TREN_ARAUCANIA,2026-04,1.0,30,30,80682.0
TREN_ARAUCANIA,2026-05,1.0,31,31,74371.0
