servicio,unit,mes,dt,n_dias_operacionales,feriados_sin_servicio,feriados_como_fin_semana
BIOTREN,BIOTREN_L1,1,Dom,5,0,0
BIOTREN,BIOTREN_L1,1,LV,20,1,0
BIOTREN,BIOTREN_L1,1,Sab,5,0,0
BIOTREN,BIOTREN_L1,2,Dom,4,0,0
BIOTREN,BIOTREN_L1,2,LV,20,0,0
BIOTREN,BIOTREN_L1,2,Sab,4,0,0
BIOTREN,BIOTREN_L1,3,Dom,4,0,0
BIOTREN,BIOTREN_L1,3,LV,22,1,0
BIOTREN,BIOTREN_L1,3,Sab,3,1,0
BIOTREN,BIOTREN_L1,4,Dom,4,0,0
BIOTREN,BIOTREN_L1,4,LV,22,0,0
BIOTREN,BIOTREN_L1,4,Sab,4,0,0
BIOTREN,BIOTREN_L1,5,Dom,5,0,0
BIOTREN,BIOTREN_L1,5,LV,20,1,0
BIOTREN,BIOTREN_L1,5,Sab,4,1,0
BIOTREN,BIOTREN_L1,6,Dom,4,0,0
BIOTREN,BIOTREN_L1,6,LV,20,2,0
BIOTREN,BIOTREN_L1,6,Sab,4,0,0
BIOTREN,BIOTREN_L1,7,Dom,4,0,0
BIOTREN,BIOTREN_L1,7,LV,21,1,0
BIOTREN,BIOTREN_L1,7,Sab,5,0,0
BIOTREN,BIOTREN_L1,8,Dom,4,1,0
BIOTREN,BIOTREN_L1,8,LV,22,0,0
BIOTREN,BIOTREN_L1,8,Sab,4,0,0
BIOTREN,BIOTREN_L1,9,Dom,3,1,0
BIOTREN,BIOTREN_L1,9,LV,21,1,0
BIOTREN,BIOTREN_L1,9,Sab,3,1,0
BIOTREN,BIOTREN_L1,10,Dom,4,1,0
BIOTREN,BIOTREN_L1,10,LV,20,1,0
BIOTREN,BIOTREN_L1,10,Sab,5,0,0
BIOTREN,BIOTREN_L1,11,Dom,4,0,0
BIOTREN,BIOTREN_L1,11,LV,21,1,0
BIOTREN,BIOTREN_L1,11,Sab,4,0,0
BIOTREN,BIOTREN_L1,12,Dom,4,0,0
BIOTREN,BIOTREN_L1,12,LV,22,1,0
BIOTREN,BIOTREN_L1,12,Sab,3,1,0
BIOTREN,BIOTREN_L2,1,Dom,5,0,0
BIOTREN,BIOTREN_L2,1,LV,20,1,0
BIOTREN,BIOTREN_L2,1,Sab,5,0,0
BIOTREN,BIOTREN_L2,2,Dom,4,0,0
BIOTREN,BIOTREN_L2,2,LV,20,0,0
BIOTREN,BIOTREN_L2,2,Sab,4,0,0
BIOTREN,BIOTREN_L2,3,Dom,4,0,0
BIOTREN,BIOTREN_L2,3,LV,22,1,0
BIOTREN,BIOTREN_L2,3,Sab,3,1,0
BIOTREN,BIOTREN_L2,4,Dom,4,0,0
BIOTREN,BIOTREN_L2,4,LV,22,0,0
BIOTREN,BIOTREN_L2,4,Sab,4,0,0
BIOTREN,BIOTREN_L2,5,Dom,5,0,0
BIOTREN,BIOTREN_L2,5,LV,20,1,0
BIOTREN,BIOTREN_L2,5,Sab,4,1,0
BIOTREN,BIOTREN_L2,6,Dom,4,0,0
BIOTREN,BIOTREN_L2,6,LV,20,2,0
BIOTREN,BIOTREN_L2,6,Sab,4,0,0
BIOTREN,BIOTREN_L2,7,Dom,4,0,0
BIOTREN,BIOTREN_L2,7,LV,21,1,0
BIOTREN,BIOTREN_L2,7,Sab,5,0,0
BIOTREN,BIOTREN_L2,8,Dom,4,1,0
BIOTREN,BIOTREN_L2,8,LV,22,0,0
BIOTREN,BIOTREN_L2,8,Sab,4,0,0
BIOTREN,BIOTREN_L2,9,Dom,3,1,0
BIOTREN,BIOTREN_L2,9,LV,21,1,0
BIOTREN,BIOTREN_L2,9,Sab,3,1,0
BIOTREN,BIOTREN_L2,10,Dom,4,1,0
BIOTREN,BIOTREN_L2,10,LV,20,1,0
BIOTREN,BIOTREN_L2,10,Sab,5,0,0
BIOTREN,BIOTREN_L2,11,Dom,4,0,0
BIOTREN,BIOTREN_L2,11,LV,21,1,0
BIOTREN,BIOTREN_L2,11,Sab,4,0,0
BIOTREN,BIOTREN_L2,12,Dom,4,0,0
BIOTREN,BIOTREN_L2,12,LV,22,1,0
BIOTREN,BIOTREN_L2,12,Sab,3,1,0
CORTO_LAJA,CORTO_LAJA,1,Dom,6,0,1
CORTO_LAJA,CORTO_LAJA,1,LV,20,0,0
CORTO_LAJA,CORTO_LAJA,1,Sab,5,0,0
CORTO_LAJA,CORTO_LAJA,2,Dom,4,0,0
CORTO_LAJA,CORTO_LAJA,2,LV,20,0,0
CORTO_LAJA,CORTO_LAJA,2,Sab,4,0,0
CORTO_LAJA,CORTO_LAJA,3,Dom,5,0,1
CORTO_LAJA,CORTO_LAJA,3,LV,22,0,0
CORTO_LAJA,CORTO_LAJA,3,Sab,4,0,1
CORTO_LAJA,CORTO_LAJA,4,Dom,4,0,0
CORTO_LAJA,CORTO_LAJA,4,LV,22,0,0
CORTO_LAJA,CORTO_LAJA,4,Sab,4,0,0
CORTO_LAJA,CORTO_LAJA,5,Dom,6,0,1
CORTO_LAJA,CORTO_LAJA,5,LV,20,0,0
CORTO_LAJA,CORTO_LAJA,5,Sab,5,0,1
CORTO_LAJA,CORTO_LAJA,6,Dom,6,0,2
CORTO_LAJA,CORTO_LAJA,6,LV,20,0,0
CORTO_LAJA,CORTO_LAJA,6,Sab,4,0,0
CORTO_LAJA,CORTO_LAJA,7,Dom,5,0,1
CORTO_LAJA,CORTO_LAJA,7,LV,21,0,0
CORTO_LAJA,CORTO_LAJA,7,Sab,5,0,0
CORTO_LAJA,CORTO_LAJA,8,Dom,5,0,1
CORTO_LAJA,CORTO_LAJA,8,LV,22,0,0
CORTO_LAJA,CORTO_LAJA,8,Sab,4,0,0
CORTO_LAJA,CORTO_LAJA,9,Dom,5,0,2
CORTO_LAJA,CORTO_LAJA,9,LV,21,0,0
CORTO_LAJA,CORTO_LAJA,9,Sab,4,0,1
CORTO_LAJA,CORTO_LAJA,10,Dom,6,0,2
CORTO_LAJA,CORTO_LAJA,10,LV,20,0,0
CORTO_LAJA,CORTO_LAJA,10,Sab,5,0,0
CORTO_LAJA,CORTO_LAJA,11,Dom,5,0,1
CORTO_LAJA,CORTO_LAJA,11,LV,21,0,0
CORTO_LAJA,CORTO_LAJA,11,Sab,4,0,0
CORTO_LAJA,CORTO_LAJA,12,Dom,5,0,1
CORTO_LAJA,CORTO_LAJA,12,LV,22,0,0
CORTO_LAJA,CORTO_LAJA,12,Sab,4,0,1
LLANQUIHUE_PM,LLANQUIHUE_PM,1,Dom,5,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,1,LV,20,1,0
LLANQUIHUE_PM,LLANQUIHUE_PM,1,Sab,5,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,2,Dom,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,2,LV,20,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,2,Sab,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,3,Dom,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,3,LV,22,1,0
LLANQUIHUE_PM,LLANQUIHUE_PM,3,Sab,3,1,0
LLANQUIHUE_PM,LLANQUIHUE_PM,4,Dom,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,4,LV,22,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,4,Sab,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,5,Dom,5,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,5,LV,20,1,0
LLANQUIHUE_PM,LLANQUIHUE_PM,5,Sab,4,1,0
LLANQUIHUE_PM,LLANQUIHUE_PM,6,Dom,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,6,LV,20,2,0
LLANQUIHUE_PM,LLANQUIHUE_PM,6,Sab,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,7,Dom,4,0,0
LLANQUIHUE_PM,LLANQUIHUE_PM,7,LV,21,1,0
