unit,servicio,dt,pax_viaje_observado_mayo,pax_viaje_modelo_base,factor_objetivo,peso_calibracion,factor_min,factor_max,criterio,factor_aplicado
BIOTREN_L1,BIOTREN,LV,293.42335290280494,336.89280821917805,0.8709694767716963,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,0.9096786337401874
BIOTREN_L2,BIOTREN,LV,293.42335290280494,336.89280821917805,0.8709694767716963,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,0.9096786337401874
BIOTREN_L1,BIOTREN,Sab,320.84918032786885,281.9084699453552,1.1381324597663274,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,1.096692721836429
BIOTREN_L2,BIOTREN,Sab,320.84918032786885,281.9084699453552,1.1381324597663274,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,1.096692721836429
BIOTREN_L1,BIOTREN,Dom,262.04375,203.95000000000002,1.284843098798725,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,1.1993901691591073
BIOTREN_L2,BIOTREN,Dom,262.04375,203.95000000000002,1.284843098798725,0.7,0.75,1.25,Factor agregado Biotren aplicado a L1 y L2 por no disponer de afluencia oficial separada por linea.,1.1993901691591073
CORTO_LAJA,CORTO_LAJA,Dom,154.45,160.10000000000002,0.9647095565271703,0.6,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,0.9788257339163021
CORTO_LAJA,CORTO_LAJA,LV,117.87619047619047,158.725,0.7426441359344179,0.6,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,0.8455864815606507
CORTO_LAJA,CORTO_LAJA,Sab,201.6,200.31666666666663,1.006406523005242,0.6,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,1.0038439138031452
TREN_ARAUCANIA,TREN_ARAUCANIA,Dom,120.8,90.64166666666667,1.3327204192332445,0.7,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,1.232904293463271
TREN_ARAUCANIA,TREN_ARAUCANIA,LV,164.7721454173067,107.23333333333335,1.536575804326764,0.7,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,1.3756030630287348
TREN_ARAUCANIA,TREN_ARAUCANIA,Sab,106.45,75.39999999999999,1.4118037135278516,0.7,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,1.288262599469496
LLANQUIHUE_PM,LLANQUIHUE_PM,LV,79.55851063829788,104.77500000000002,0.7593272310980469,0.8,0.65,1.45,Calibracion parcial con mayo 2026 por tipo de dia.,0.8074617848784376
