servicio,origen,destino,distancia_km,fuente_hoja
CORTO_LAJA,Mercado,Mercado,0.0,PAX KM CL
CORTO_LAJA,Mercado,El Arenal,1.4,PAX KM CL
CORTO_LAJA,Mercado,Higueras,4.6,PAX KM CL
CORTO_LAJA,Mercado,Los Cóndores,6.6,PAX KM CL
CORTO_LAJA,Mercado,UTFSM,8.6,PAX KM CL
CORTO_LAJA,Mercado,Lorenzo Arenas,11.5,PAX KM CL
CORTO_LAJA,Mercado,Concepción,14.5,PAX KM CL
CORTO_LAJA,Mercado,Chiguayante,24.6,PAX KM CL
CORTO_LAJA,Mercado,Pedro Medina,25.7,PAX KM CL
CORTO_LAJA,Mercado,Manquimávida,27.7,PAX KM CL
CORTO_LAJA,Mercado,La Leonera,30.1,PAX KM CL
CORTO_LAJA,Mercado,Hualqui,38.0,PAX KM CL
CORTO_LAJA,Mercado,Quilacoya,47.7,PAX KM CL
CORTO_LAJA,Mercado,San Miguel,50.8,PAX KM CL
CORTO_LAJA,Mercado,Unihue,55.4,PAX KM CL
CORTO_LAJA,Mercado,Valle Chanco,62.7,PAX KM CL
CORTO_LAJA,Mercado,Los Acacios,60.7,PAX KM CL
CORTO_LAJA,Mercado,Talcamávida,61.7,PAX KM CL
CORTO_LAJA,Mercado,Gomero,69.4,PAX KM CL
CORTO_LAJA,Mercado,Buenuraqui,76.4,PAX KM CL
CORTO_LAJA,Mercado,San Rosendo,84.7,PAX KM CL
CORTO_LAJA,Mercado,Laja,86.95,PAX KM CL
CORTO_LAJA,El Arenal,Mercado,1.4,PAX KM CL
CORTO_LAJA,El Arenal,El Arenal,0.0,PAX KM CL
CORTO_LAJA,El Arenal,Higueras,3.2,PAX KM CL
CORTO_LAJA,El Arenal,Los Cóndores,5.2,PAX KM CL
CORTO_LAJA,El Arenal,UTFSM,7.2,PAX KM CL
CORTO_LAJA,El Arenal,Lorenzo Arenas,10.1,PAX KM CL
CORTO_LAJA,El Arenal,Concepción,13.1,PAX KM CL
CORTO_LAJA,El Arenal,Chiguayante,23.2,PAX KM CL
CORTO_LAJA,El Arenal,Pedro Medina,24.3,PAX KM CL
CORTO_LAJA,El Arenal,Manquimávida,26.3,PAX KM CL
CORTO_LAJA,El Arenal,La Leonera,28.7,PAX KM CL
CORTO_LAJA,El Arenal,Hualqui,36.6,PAX KM CL
CORTO_LAJA,El Arenal,Quilacoya,46.3,PAX KM CL
CORTO_LAJA,El Arenal,San Miguel,49.4,PAX KM CL
CORTO_LAJA,El Arenal,Unihue,54.0,PAX KM CL
CORTO_LAJA,El Arenal,Valle Chanco,61.3,PAX KM CL
CORTO_LAJA,El Arenal,Los Acacios,59.3,PAX KM CL
CORTO_LAJA,El Arenal,Talcamávida,60.3,PAX KM CL
CORTO_LAJA,El Arenal,Gomero,68.0,PAX KM CL
CORTO_LAJA,El Arenal,Buenuraqui,75.0,PAX KM CL
CORTO_LAJA,El Arenal,San Rosendo,83.3,PAX KM CL
CORTO_LAJA,El Arenal,Laja,85.55,PAX KM CL
CORTO_LAJA,Higueras,Mercado,4.6,PAX KM CL
CORTO_LAJA,Higueras,El Arenal,3.2,PAX KM CL
CORTO_LAJA,Higueras,Higueras,0.0,PAX KM CL
CORTO_LAJA,Higueras,Los Cóndores,2.0,PAX KM CL
CORTO_LAJA,Higueras,UTFSM,4.0,PAX KM CL
CORTO_LAJA,Higueras,Lorenzo Arenas,6.9,PAX KM CL
CORTO_LAJA,Higueras,Concepción,9.9,PAX KM CL
CORTO_LAJA,Higueras,Chiguayante,20.0,PAX KM CL
CORTO_LAJA,Higueras,Pedro Medina,21.1,PAX KM CL
CORTO_LAJA,Higueras,Manquimávida,23.1,PAX KM CL
CORTO_LAJA,Higueras,La Leonera,25.5,PAX KM CL
CORTO_LAJA,Higueras,Hualqui,33.4,PAX KM CL
CORTO_LAJA,Higueras,Quilacoya,43.1,PAX KM CL
CORTO_LAJA,Higueras,San Miguel,46.2,PAX KM CL
CORTO_LAJA,Higueras,Unihue,50.8,PAX KM CL
CORTO_LAJA,Higueras,Valle Chanco,58.1,PAX KM CL
CORTO_LAJA,Higueras,Los Acacios,56.1,PAX KM CL
CORTO_LAJA,Higueras,Talcamávida,57.1,PAX KM CL
CORTO_LAJA,Higueras,Gomero,64.8,PAX KM CL
CORTO_LAJA,Higueras,Buenuraqui,71.8,PAX KM CL
