servicio,origen,destino,distancia_km,fuente_hoja
TREN_ARAUCANIA,Victoria,Victoria,0.0,PAX KM VT
TREN_ARAUCANIA,Victoria,PUA,11.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Perquenco,22.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Quillem,29.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Lautaro,35.5,PAX KM VT
TREN_ARAUCANIA,Victoria,L. Centro,42.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Pillanlelbun,48.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Victoria,Cajon,55.8,PAX KM VT
TREN_ARAUCANIA,Victoria,Temuco,65.5,PAX KM VT
TREN_ARAUCANIA,Victoria,PLC,69.95,PAX KM VT
TREN_ARAUCANIA,Victoria,Quepe,82.5,PAX KM VT
TREN_ARAUCANIA,Victoria,Freire,90.8,PAX KM VT
TREN_ARAUCANIA,Victoria,Pitrufquén,95.52,PAX KM VT
TREN_ARAUCANIA,PUA,Victoria,11.5,PAX KM VT
TREN_ARAUCANIA,PUA,PUA,0.0,PAX KM VT
TREN_ARAUCANIA,PUA,Perquenco,11.0,PAX KM VT
TREN_ARAUCANIA,PUA,Quillem,18.0,PAX KM VT
TREN_ARAUCANIA,PUA,Lautaro,24.0,PAX KM VT
TREN_ARAUCANIA,PUA,L. Centro,31.0,PAX KM VT
TREN_ARAUCANIA,PUA,Pillanlelbun,37.0,PAX KM VT
TREN_ARAUCANIA,PUA,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,PUA,Cajon,44.3,PAX KM VT
TREN_ARAUCANIA,PUA,Temuco,54.0,PAX KM VT
TREN_ARAUCANIA,PUA,PLC,58.45,PAX KM VT
TREN_ARAUCANIA,PUA,Quepe,71.0,PAX KM VT
TREN_ARAUCANIA,PUA,Freire,79.3,PAX KM VT
TREN_ARAUCANIA,PUA,Pitrufquén,84.02,PAX KM VT
TREN_ARAUCANIA,Perquenco,Victoria,22.5,PAX KM VT
TREN_ARAUCANIA,Perquenco,PUA,11.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Perquenco,0.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Quillem,7.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Lautaro,13.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,L. Centro,20.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Pillanlelbun,26.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Coleg. Claret,0.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,Cajon,33.3,PAX KM VT
TREN_ARAUCANIA,Perquenco,Temuco,43.0,PAX KM VT
TREN_ARAUCANIA,Perquenco,PLC,47.45,PAX KM VT
TREN_ARAUCANIA,Perquenco,Quepe,60.0,PAX KM VT
