fecha,nombre,mes,dt_calendario
2027-01-01,Año Nuevo,1,LV
2027-03-26,Viernes Santo,3,LV
2027-03-27,Sábado Santo,3,Sab
2027-05-01,Día Nacional del Trabajo,5,Sab
2027-05-21,Día de las Glorias Navales,5,LV
2027-06-21,Día Nacional de los Pueblos Indígenas,6,LV
2027-06-28,San Pedro y San Pablo,6,LV
2027-07-16,Día de la Virgen del Carmen,7,LV
2027-08-15,Asunción de la Virgen,8,Dom
2027-09-17,Feriado Adicional Fiestas Patrias,9,LV
2027-09-18,Independencia Nacional,9,Sab
2027-09-19,Día de las Glorias del Ejército,9,Dom
2027-10-11,Encuentro de Dos Mundos,10,LV
2027-10-31,Día de las Iglesias Evangélicas y Protestantes,10,Dom
2027-11-01,Día de Todos los Santos,11,LV
2027-12-08,Inmaculada Concepción,12,LV
2027-12-25,Navidad,12,Sab
