mes,mes_nombre,grupo_subsidio_referencial,origen,destino,viajes_observados_base_referencial
1,Enero,sin_subsidio_adulto_mayor,Alborada,Alborada,4.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,C. Raúl Silva H.,33.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Chiguayante,6.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Concepción,64.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Costa Mar,10.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Cristo Redentor,32.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Diagonal Biobío,35.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,El Arenal,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,El Parque,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Higueras,14.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Hito Galvarino,8.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Hualqui,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Huinca,40.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Intermodal Coronel,43.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Juan Pablo II,12.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,La Leonera,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Laguna Quiñenco,24.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Lomas Coloradas,6.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Lorenzo Arenas,4.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Los Canelos,55.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Los Cóndores,1.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Manquimávida,5.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Mercado,2.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,Pedro Medina,0.0
1,Enero,sin_subsidio_adulto_mayor,Alborada,UTFSM,0.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Alborada,31.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,C. Raúl Silva H.,16.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Chiguayante,5.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Concepción,804.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Costa Mar,24.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Cristo Redentor,123.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Diagonal Biobío,97.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,El Arenal,4.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,El Parque,27.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Higueras,20.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Hito Galvarino,7.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Hualqui,7.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Huinca,98.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Intermodal Coronel,194.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Juan Pablo II,220.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,La Leonera,14.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Laguna Quiñenco,75.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Lomas Coloradas,164.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Lorenzo Arenas,10.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Los Canelos,117.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Los Cóndores,5.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Manquimávida,14.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Mercado,6.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,C. Raúl Silva H.,Pedro Medina,25.0
