origen,destino,distancia_km
Hualqui,Hualqui,0.0
Hualqui,La Leonera,8.8
Hualqui,Manquimávida,10.3
Hualqui,Pedro Medina,12.3
Hualqui,Chiguayante,13.4
Hualqui,Concepción,23.5
Hualqui,Lorenzo Arenas,26.5
Hualqui,UTFSM,29.4
Hualqui,Los Cóndores,31.4
Hualqui,Higueras,33.4
Hualqui,El Arenal,36.6
Hualqui,Mercado,38.0
Hualqui,Juan Pablo II,26.5
Hualqui,Diagonal Biobío,28.5
Hualqui,Alborada,30.7
Hualqui,Costa Mar,31.5
Hualqui,El Parque,33.15
Hualqui,Lomas Coloradas,34.8
Hualqui,C. Raúl Silva H.,36.775
Hualqui,Hito Galvarino,43.055
Hualqui,Los Canelos,46.015
Hualqui,Huinca,46.879999999999995
Hualqui,Cristo Redentor,48.05
Hualqui,Laguna Quiñenco,49.64
Hualqui,Intermodal Coronel,50.78
Hualqui,Pasajero Lota,50.78
Hualqui,Concepción Centro,23.5
La Leonera,Hualqui,8.8
La Leonera,La Leonera,0.0
La Leonera,Manquimávida,1.5
La Leonera,Pedro Medina,4.4
La Leonera,Chiguayante,5.5
La Leonera,Concepción,15.6
La Leonera,Lorenzo Arenas,18.6
La Leonera,UTFSM,21.5
La Leonera,Los Cóndores,23.5
La Leonera,Higueras,25.5
La Leonera,El Arenal,28.7
La Leonera,Mercado,30.1
La Leonera,Juan Pablo II,18.6
La Leonera,Diagonal Biobío,20.6
La Leonera,Alborada,22.8
La Leonera,Costa Mar,23.6
La Leonera,El Parque,25.25
La Leonera,Lomas Coloradas,26.9
La Leonera,C. Raúl Silva H.,28.875
La Leonera,Hito Galvarino,35.155
La Leonera,Los Canelos,38.115
La Leonera,Huinca,38.98
La Leonera,Cristo Redentor,40.15
La Leonera,Laguna Quiñenco,41.74
La Leonera,Intermodal Coronel,42.88
La Leonera,Pasajero Lota,42.88
La Leonera,Concepción Centro,15.6
Manquimávida,Hualqui,10.3
Manquimávida,La Leonera,1.5
Manquimávida,Manquimávida,0.0
Manquimávida,Pedro Medina,1.8
Manquimávida,Chiguayante,3.1
Manquimávida,Concepción,13.2
Manquimávida,Lorenzo Arenas,16.2
Manquimávida,UTFSM,19.1
Manquimávida,Los Cóndores,21.1
Manquimávida,Higueras,23.1
Manquimávida,El Arenal,26.3
Manquimávida,Mercado,27.7
Manquimávida,Juan Pablo II,16.2
Manquimávida,Diagonal Biobío,18.2
Manquimávida,Alborada,20.4
Manquimávida,Costa Mar,21.2
Manquimávida,El Parque,22.849999999999998
Manquimávida,Lomas Coloradas,24.499999999999996
Manquimávida,C. Raúl Silva H.,26.474999999999998
Manquimávida,Hito Galvarino,32.754999999999995
Manquimávida,Los Canelos,35.714999999999996
Manquimávida,Huinca,36.57999999999999
Manquimávida,Cristo Redentor,37.74999999999999
Manquimávida,Laguna Quiñenco,39.339999999999996
Manquimávida,Intermodal Coronel,40.48
Manquimávida,Pasajero Lota,40.48
Manquimávida,Concepción Centro,13.2
Pedro Medina,Hualqui,12.3
Pedro Medina,La Leonera,4.4
Pedro Medina,Manquimávida,1.8
Pedro Medina,Pedro Medina,0.0
Pedro Medina,Chiguayante,1.4
Pedro Medina,Concepción,11.5
Pedro Medina,Lorenzo Arenas,14.5
Pedro Medina,UTFSM,17.400000000000002
Pedro Medina,Los Cóndores,19.400000000000002
Pedro Medina,Higueras,21.400000000000002
Pedro Medina,El Arenal,24.6
Pedro Medina,Mercado,26.0
Pedro Medina,Juan Pablo II,14.5
Pedro Medina,Diagonal Biobío,16.5
Pedro Medina,Alborada,18.7
Pedro Medina,Costa Mar,19.5
Pedro Medina,El Parque,21.15
Pedro Medina,Lomas Coloradas,22.799999999999997
Pedro Medina,C. Raúl Silva H.,24.775
Pedro Medina,Hito Galvarino,31.055
Pedro Medina,Los Canelos,34.015
Pedro Medina,Huinca,34.879999999999995
Pedro Medina,Cristo Redentor,36.05
Pedro Medina,Laguna Quiñenco,37.64
Pedro Medina,Intermodal Coronel,38.78
Pedro Medina,Pasajero Lota,38.78
Pedro Medina,Concepción Centro,11.5
Chiguayante,Hualqui,13.4
Chiguayante,La Leonera,5.5
Chiguayante,Manquimávida,3.1
Chiguayante,Pedro Medina,1.4
Chiguayante,Chiguayante,0.0
Chiguayante,Concepción,10.1
Chiguayante,Lorenzo Arenas,13.1
Chiguayante,UTFSM,16.0
Chiguayante,Los Cóndores,18.0
Chiguayante,Higueras,20.0
Chiguayante,El Arenal,23.3
Chiguayante,Mercado,24.700000000000003
Chiguayante,Juan Pablo II,13.1
Chiguayante,Diagonal Biobío,15.1
Chiguayante,Alborada,17.299999999999997
Chiguayante,Costa Mar,18.099999999999998
Chiguayante,El Parque,19.749999999999996
Chiguayante,Lomas Coloradas,21.399999999999995
Chiguayante,C. Raúl Silva H.,23.374999999999996
Chiguayante,Hito Galvarino,29.654999999999998
Chiguayante,Los Canelos,32.614999999999995
Chiguayante,Huinca,33.47999999999999
Chiguayante,Cristo Redentor,34.64999999999999
Chiguayante,Laguna Quiñenco,36.239999999999995
Chiguayante,Intermodal Coronel,37.379999999999995
Chiguayante,Pasajero Lota,37.379999999999995
Chiguayante,Concepción Centro,10.1
Concepción,Hualqui,23.5
Concepción,La Leonera,15.6
Concepción,Manquimávida,13.2
Concepción,Pedro Medina,11.5
Concepción,Chiguayante,10.1
Concepción,Concepción,0.0
Concepción,Lorenzo Arenas,3.0
Concepción,UTFSM,5.9
Concepción,Los Cóndores,7.9
Concepción,Higueras,9.9
Concepción,El Arenal,13.1
Concepción,Mercado,14.5
Concepción,Juan Pablo II,3.0
Concepción,Diagonal Biobío,5.0
Concepción,Alborada,7.199999999999999
Concepción,Costa Mar,8.0
Concepción,El Parque,9.649999999999999
Concepción,Lomas Coloradas,11.299999999999997
Concepción,C. Raúl Silva H.,13.274999999999999
Concepción,Hito Galvarino,19.555
Concepción,Los Canelos,22.515
Concepción,Huinca,23.379999999999995
Concepción,Cristo Redentor,24.549999999999997
Concepción,Laguna Quiñenco,26.14
Concepción,Intermodal Coronel,27.28
Concepción,Pasajero Lota,27.28
Concepción,Concepción Centro,0.0
Lorenzo Arenas,Hualqui,26.5
Lorenzo Arenas,La Leonera,18.6
Lorenzo Arenas,Manquimávida,16.2
Lorenzo Arenas,Pedro Medina,14.5
Lorenzo Arenas,Chiguayante,13.1
Lorenzo Arenas,Concepción,3.0
Lorenzo Arenas,Lorenzo Arenas,0.0
Lorenzo Arenas,UTFSM,2.9000000000000004
Lorenzo Arenas,Los Cóndores,4.9
Lorenzo Arenas,Higueras,6.9
Lorenzo Arenas,El Arenal,10.1
Lorenzo Arenas,Mercado,11.5
Lorenzo Arenas,Juan Pablo II,6.0
Lorenzo Arenas,Diagonal Biobío,8.0
Lorenzo Arenas,Alborada,10.2
Lorenzo Arenas,Costa Mar,11.0
Lorenzo Arenas,El Parque,12.649999999999999
Lorenzo Arenas,Lomas Coloradas,14.299999999999997
Lorenzo Arenas,C. Raúl Silva H.,16.275
Lorenzo Arenas,Hito Galvarino,22.555
Lorenzo Arenas,Los Canelos,25.515
Lorenzo Arenas,Huinca,26.379999999999995
Lorenzo Arenas,Cristo Redentor,27.549999999999997
Lorenzo Arenas,Laguna Quiñenco,29.14
Lorenzo Arenas,Intermodal Coronel,30.28
Lorenzo Arenas,Pasajero Lota,30.28
Lorenzo Arenas,Concepción Centro,3.0
UTFSM,Hualqui,29.4
UTFSM,La Leonera,21.5
UTFSM,Manquimávida,19.1
UTFSM,Pedro Medina,17.400000000000002
UTFSM,Chiguayante,16.0
UTFSM,Concepción,5.9
UTFSM,Lorenzo Arenas,2.9000000000000004
UTFSM,UTFSM,0.0
UTFSM,Los Cóndores,2.0
UTFSM,Higueras,4.0
UTFSM,El Arenal,7.2
UTFSM,Mercado,8.6
UTFSM,Juan Pablo II,8.9
UTFSM,Diagonal Biobío,10.9
UTFSM,Alborada,13.1
UTFSM,Costa Mar,13.9
UTFSM,El Parque,15.549999999999999
UTFSM,Lomas Coloradas,17.199999999999996
UTFSM,C. Raúl Silva H.,19.174999999999997
UTFSM,Hito Galvarino,25.455
UTFSM,Los Canelos,28.415
UTFSM,Huinca,29.279999999999994
UTFSM,Cristo Redentor,30.449999999999996
UTFSM,Laguna Quiñenco,32.04
UTFSM,Intermodal Coronel,33.18
UTFSM,Pasajero Lota,33.18
UTFSM,Concepción Centro,5.9
Los Cóndores,Hualqui,31.4
Los Cóndores,La Leonera,23.5
Los Cóndores,Manquimávida,21.1
Los Cóndores,Pedro Medina,19.400000000000002
Los Cóndores,Chiguayante,18.0
