mes,mes_nombre,tipo_tarjeta,nombre_visual,viajes_observados_tipo_mes,viajes_observados_total_mes,participacion_tipo_mes
1,Enero,adulto_mayor,Adulto Mayor,55024.0,732720.0,0.07509553444699203
1,Enero,convenio_colectivo,Convenio Colectivo,2690.0,732720.0,0.003671252320122284
1,Enero,discapacitado,Discapacitado,20510.0,732720.0,0.0279915929686647
1,Enero,estudiante_basica,Estudiante Básica,11024.0,732720.0,0.015045310623430506
1,Enero,funcionario_especial,Funcionario Especial,389.0,732720.0,0.0005308985697128507
1,Enero,funcionario_normal,Funcionario Normal,10166.0,732720.0,0.013874331258871055
1,Enero,media_superior,Media Superior,110094.0,732720.0,0.15025384867343597
1,Enero,monedero,Monedero,522823.0,732720.0,0.7135372311387707
2,Febrero,adulto_mayor,Adulto Mayor,51413.0,697970.0,0.07366075905841225
2,Febrero,convenio_colectivo,Convenio Colectivo,2452.0,697970.0,0.003513044973279654
2,Febrero,discapacitado,Discapacitado,19749.0,697970.0,0.028294912388784618
2,Febrero,estudiante_basica,Estudiante Básica,11450.0,697970.0,0.01640471653509463
2,Febrero,funcionario_especial,Funcionario Especial,504.0,697970.0,0.0007220940728111523
2,Febrero,funcionario_normal,Funcionario Normal,8419.0,697970.0,0.012062123013883118
2,Febrero,media_superior,Media Superior,97504.0,697970.0,0.13969654856225913
2,Febrero,monedero,Monedero,506479.0,697970.0,0.7256458013954754
3,Marzo,adulto_mayor,Adulto Mayor,70766.0,1102599.0,0.06418108487310437
3,Marzo,convenio_colectivo,Convenio Colectivo,3575.0,1102599.0,0.003242339236658114
3,Marzo,discapacitado,Discapacitado,30807.0,1102599.0,0.027940348213629798
3,Marzo,estudiante_basica,Estudiante Básica,20244.0,1102599.0,0.018360256085848074
3,Marzo,funcionario_especial,Funcionario Especial,533.0,1102599.0,0.00048340330437448247
3,Marzo,funcionario_normal,Funcionario Normal,11365.0,1102599.0,0.010307464454439011
3,Marzo,media_superior,Media Superior,247021.0,1102599.0,0.2240352113506361
3,Marzo,monedero,Monedero,718288.0,1102599.0,0.65144989248131
