tipo_pasajero,origen,destino,tarifa_2026
Normal,Hualqui,Hualqui,430.0
Normal,Hualqui,La Leonera,500.0
Normal,Hualqui,Manquimávida,500.0
Normal,Hualqui,Pedro Medina,500.0
Normal,Hualqui,Chiguayante,500.0
Normal,Hualqui,Concepción,550.0
Normal,Hualqui,Lorenzo Arenas,550.0
Normal,Hualqui,UTFSM,560.0
Normal,Hualqui,Los Cóndores,560.0
Normal,Hualqui,Higueras,560.0
Normal,Hualqui,El Arenal,580.0
Normal,Hualqui,Mercado,580.0
Normal,Hualqui,Juan Pablo II,600.0
Normal,Hualqui,Diagonal Biobío,600.0
Normal,Hualqui,Alborada,600.0
Normal,Hualqui,Costa Mar,600.0
Normal,Hualqui,El Parque,600.0
Normal,Hualqui,Lomas Coloradas,600.0
Normal,Hualqui,C. Raúl Silva H.,600.0
Normal,Hualqui,Hito Galvarino,910.0
Normal,Hualqui,Los Canelos,910.0
Normal,Hualqui,Huinca,960.0
Normal,Hualqui,Cristo Redentor,960.0
Normal,Hualqui,Laguna Quiñenco,970.0
Normal,Hualqui,Intermodal Coronel,970.0
Normal,Hualqui,Pasajero Lota,0.0
Normal,Hualqui,Concepción Centro,0.0
Normal,La Leonera,Hualqui,500.0
Normal,La Leonera,La Leonera,420.0
Normal,La Leonera,Manquimávida,420.0
Normal,La Leonera,Pedro Medina,420.0
Normal,La Leonera,Chiguayante,420.0
Normal,La Leonera,Concepción,510.0
Normal,La Leonera,Lorenzo Arenas,510.0
Normal,La Leonera,UTFSM,540.0
Normal,La Leonera,Los Cóndores,540.0
Normal,La Leonera,Higueras,540.0
Normal,La Leonera,El Arenal,550.0
Normal,La Leonera,Mercado,550.0
Normal,La Leonera,Juan Pablo II,590.0
Normal,La Leonera,Diagonal Biobío,590.0
Normal,La Leonera,Alborada,590.0
Normal,La Leonera,Costa Mar,590.0
Normal,La Leonera,El Parque,590.0
Normal,La Leonera,Lomas Coloradas,590.0
Normal,La Leonera,C. Raúl Silva H.,590.0
Normal,La Leonera,Hito Galvarino,900.0
Normal,La Leonera,Los Canelos,900.0
Normal,La Leonera,Huinca,910.0
Normal,La Leonera,Cristo Redentor,910.0
Normal,La Leonera,Laguna Quiñenco,910.0
Normal,La Leonera,Intermodal Coronel,910.0
Normal,La Leonera,Pasajero Lota,0.0
Normal,La Leonera,Concepción Centro,0.0
Normal,Manquimávida,Hualqui,500.0
Normal,Manquimávida,La Leonera,420.0
Normal,Manquimávida,Manquimávida,420.0
Normal,Manquimávida,Pedro Medina,420.0
Normal,Manquimávida,Chiguayante,420.0
Normal,Manquimávida,Concepción,510.0
Normal,Manquimávida,Lorenzo Arenas,510.0
Normal,Manquimávida,UTFSM,540.0
Normal,Manquimávida,Los Cóndores,540.0
Normal,Manquimávida,Higueras,540.0
Normal,Manquimávida,El Arenal,550.0
Normal,Manquimávida,Mercado,550.0
Normal,Manquimávida,Juan Pablo II,590.0
Normal,Manquimávida,Diagonal Biobío,590.0
Normal,Manquimávida,Alborada,590.0
Normal,Manquimávida,Costa Mar,590.0
Normal,Manquimávida,El Parque,590.0
Normal,Manquimávida,Lomas Coloradas,590.0
Normal,Manquimávida,C. Raúl Silva H.,590.0
Normal,Manquimávida,Hito Galvarino,900.0
Normal,Manquimávida,Los Canelos,900.0
Normal,Manquimávida,Huinca,910.0
Normal,Manquimávida,Cristo Redentor,910.0
Normal,Manquimávida,Laguna Quiñenco,910.0
Normal,Manquimávida,Intermodal Coronel,910.0
Normal,Manquimávida,Pasajero Lota,0.0
Normal,Manquimávida,Concepción Centro,0.0
Normal,Pedro Medina,Hualqui,500.0
Normal,Pedro Medina,La Leonera,420.0
Normal,Pedro Medina,Manquimávida,420.0
Normal,Pedro Medina,Pedro Medina,420.0
Normal,Pedro Medina,Chiguayante,420.0
Normal,Pedro Medina,Concepción,510.0
Normal,Pedro Medina,Lorenzo Arenas,510.0
Normal,Pedro Medina,UTFSM,540.0
Normal,Pedro Medina,Los Cóndores,540.0
Normal,Pedro Medina,Higueras,540.0
Normal,Pedro Medina,El Arenal,550.0
Normal,Pedro Medina,Mercado,550.0
Normal,Pedro Medina,Juan Pablo II,590.0
Normal,Pedro Medina,Diagonal Biobío,590.0
Normal,Pedro Medina,Alborada,590.0
Normal,Pedro Medina,Costa Mar,590.0
Normal,Pedro Medina,El Parque,590.0
Normal,Pedro Medina,Lomas Coloradas,590.0
Normal,Pedro Medina,C. Raúl Silva H.,590.0
Normal,Pedro Medina,Hito Galvarino,900.0
Normal,Pedro Medina,Los Canelos,900.0
Normal,Pedro Medina,Huinca,910.0
Normal,Pedro Medina,Cristo Redentor,910.0
Normal,Pedro Medina,Laguna Quiñenco,910.0
Normal,Pedro Medina,Intermodal Coronel,910.0
Normal,Pedro Medina,Pasajero Lota,0.0
Normal,Pedro Medina,Concepción Centro,0.0
Normal,Chiguayante,Hualqui,500.0
Normal,Chiguayante,La Leonera,420.0
Normal,Chiguayante,Manquimávida,420.0
Normal,Chiguayante,Pedro Medina,420.0
Normal,Chiguayante,Chiguayante,420.0
Normal,Chiguayante,Concepción,510.0
Normal,Chiguayante,Lorenzo Arenas,510.0
Normal,Chiguayante,UTFSM,540.0
Normal,Chiguayante,Los Cóndores,540.0
Normal,Chiguayante,Higueras,540.0
Normal,Chiguayante,El Arenal,550.0
Normal,Chiguayante,Mercado,550.0
Normal,Chiguayante,Juan Pablo II,590.0
Normal,Chiguayante,Diagonal Biobío,590.0
Normal,Chiguayante,Alborada,590.0
Normal,Chiguayante,Costa Mar,590.0
Normal,Chiguayante,El Parque,590.0
Normal,Chiguayante,Lomas Coloradas,590.0
Normal,Chiguayante,C. Raúl Silva H.,590.0
Normal,Chiguayante,Hito Galvarino,900.0
Normal,Chiguayante,Los Canelos,900.0
Normal,Chiguayante,Huinca,910.0
Normal,Chiguayante,Cristo Redentor,910.0
Normal,Chiguayante,Laguna Quiñenco,910.0
Normal,Chiguayante,Intermodal Coronel,910.0
Normal,Chiguayante,Pasajero Lota,0.0
Normal,Chiguayante,Concepción Centro,0.0
Normal,Concepción,Hualqui,550.0
Normal,Concepción,La Leonera,510.0
Normal,Concepción,Manquimávida,510.0
Normal,Concepción,Pedro Medina,510.0
Normal,Concepción,Chiguayante,510.0
Normal,Concepción,Concepción,420.0
Normal,Concepción,Lorenzo Arenas,420.0
Normal,Concepción,UTFSM,500.0
Normal,Concepción,Los Cóndores,500.0
Normal,Concepción,Higueras,500.0
Normal,Concepción,El Arenal,540.0
Normal,Concepción,Mercado,540.0
Normal,Concepción,Juan Pablo II,570.0
Normal,Concepción,Diagonal Biobío,570.0
Normal,Concepción,Alborada,570.0
Normal,Concepción,Costa Mar,570.0
Normal,Concepción,El Parque,570.0
Normal,Concepción,Lomas Coloradas,570.0
Normal,Concepción,C. Raúl Silva H.,570.0
Normal,Concepción,Hito Galvarino,850.0
Normal,Concepción,Los Canelos,850.0
Normal,Concepción,Huinca,850.0
Normal,Concepción,Cristo Redentor,850.0
Normal,Concepción,Laguna Quiñenco,880.0
Normal,Concepción,Intermodal Coronel,880.0
Normal,Concepción,Pasajero Lota,0.0
Normal,Concepción,Concepción Centro,0.0
Normal,Lorenzo Arenas,Hualqui,550.0
Normal,Lorenzo Arenas,La Leonera,510.0
Normal,Lorenzo Arenas,Manquimávida,510.0
Normal,Lorenzo Arenas,Pedro Medina,510.0
Normal,Lorenzo Arenas,Chiguayante,510.0
Normal,Lorenzo Arenas,Concepción,420.0
Normal,Lorenzo Arenas,Lorenzo Arenas,420.0
Normal,Lorenzo Arenas,UTFSM,500.0
Normal,Lorenzo Arenas,Los Cóndores,500.0
Normal,Lorenzo Arenas,Higueras,500.0
Normal,Lorenzo Arenas,El Arenal,540.0
Normal,Lorenzo Arenas,Mercado,540.0
Normal,Lorenzo Arenas,Juan Pablo II,570.0
Normal,Lorenzo Arenas,Diagonal Biobío,570.0
Normal,Lorenzo Arenas,Alborada,570.0
Normal,Lorenzo Arenas,Costa Mar,570.0
Normal,Lorenzo Arenas,El Parque,570.0
Normal,Lorenzo Arenas,Lomas Coloradas,570.0
Normal,Lorenzo Arenas,C. Raúl Silva H.,570.0
Normal,Lorenzo Arenas,Hito Galvarino,850.0
Normal,Lorenzo Arenas,Los Canelos,850.0
Normal,Lorenzo Arenas,Huinca,850.0
Normal,Lorenzo Arenas,Cristo Redentor,850.0
Normal,Lorenzo Arenas,Laguna Quiñenco,880.0
Normal,Lorenzo Arenas,Intermodal Coronel,880.0
Normal,Lorenzo Arenas,Pasajero Lota,0.0
Normal,Lorenzo Arenas,Concepción Centro,0.0
Normal,UTFSM,Hualqui,560.0
Normal,UTFSM,La Leonera,540.0
Normal,UTFSM,Manquimávida,540.0
Normal,UTFSM,Pedro Medina,540.0
Normal,UTFSM,Chiguayante,540.0
Normal,UTFSM,Concepción,500.0
Normal,UTFSM,Lorenzo Arenas,500.0
Normal,UTFSM,UTFSM,420.0
Normal,UTFSM,Los Cóndores,420.0
Normal,UTFSM,Higueras,420.0
Normal,UTFSM,El Arenal,490.0
Normal,UTFSM,Mercado,490.0
Normal,UTFSM,Juan Pablo II,560.0
Normal,UTFSM,Diagonal Biobío,560.0
Normal,UTFSM,Alborada,560.0
Normal,UTFSM,Costa Mar,590.0
Normal,UTFSM,El Parque,590.0
Normal,UTFSM,Lomas Coloradas,590.0
Normal,UTFSM,C. Raúl Silva H.,590.0
Normal,UTFSM,Hito Galvarino,870.0
Normal,UTFSM,Los Canelos,870.0
Normal,UTFSM,Huinca,880.0
Normal,UTFSM,Cristo Redentor,880.0
Normal,UTFSM,Laguna Quiñenco,900.0
Normal,UTFSM,Intermodal Coronel,900.0
Normal,UTFSM,Pasajero Lota,0.0
Normal,UTFSM,Concepción Centro,0.0
Normal,Los Cóndores,Hualqui,560.0
Normal,Los Cóndores,La Leonera,540.0
Normal,Los Cóndores,Manquimávida,540.0
Normal,Los Cóndores,Pedro Medina,540.0
Normal,Los Cóndores,Chiguayante,540.0
Normal,Los Cóndores,Concepción,500.0
Normal,Los Cóndores,Lorenzo Arenas,500.0
Normal,Los Cóndores,UTFSM,420.0
Normal,Los Cóndores,Los Cóndores,420.0
Normal,Los Cóndores,Higueras,420.0
Normal,Los Cóndores,El Arenal,490.0
Normal,Los Cóndores,Mercado,490.0
Normal,Los Cóndores,Juan Pablo II,560.0
Normal,Los Cóndores,Diagonal Biobío,560.0
Normal,Los Cóndores,Alborada,560.0
Normal,Los Cóndores,Costa Mar,590.0
Normal,Los Cóndores,El Parque,590.0
Normal,Los Cóndores,Lomas Coloradas,590.0
Normal,Los Cóndores,C. Raúl Silva H.,590.0
Normal,Los Cóndores,Hito Galvarino,870.0
Normal,Los Cóndores,Los Canelos,870.0
Normal,Los Cóndores,Huinca,880.0
Normal,Los Cóndores,Cristo Redentor,880.0
Normal,Los Cóndores,Laguna Quiñenco,900.0
Normal,Los Cóndores,Intermodal Coronel,900.0
Normal,Los Cóndores,Pasajero Lota,0.0
Normal,Los Cóndores,Concepción Centro,0.0
Normal,Higueras,Hualqui,560.0
Normal,Higueras,La Leonera,540.0
Normal,Higueras,Manquimávida,540.0
