tipo_tarjeta,nombre_visual,archivo,mes,mes_nombre,estado,detalle,n_estaciones,n_filas_estaciones_detectadas,n_columnas_estaciones_detectadas,orden_filas_ok,orden_columnas_ok,total_viajes_observados,celdas_no_nulas_numericas,celdas_cero,celdas_negativas,viajes_diagonal,tipo_declarado_en_archivo,fuente_declarada_mes,archivo_fuente_declarado,hojas_faltantes_en_archivo,hojas_extra_en_archivo,advertencia_tipo_declarado
monedero,Monedero,monedero_ano_tipo.xlsx,1,Enero,OK,,27,27,27,True,True,522823.0,729,104,0,11843.0,Tipo pasajero: Monedero,Mes año tipo: Enero,monedero_enero_2026.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,2,Febrero,OK,,27,27,27,True,True,506479.0,729,104,0,11697.0,Tipo pasajero: Monedero,Mes año tipo: Febrero,monedero_febrero_2026.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,3,Marzo,OK,,27,27,27,True,True,718288.0,729,104,0,15396.0,Tipo pasajero: Monedero,Mes año tipo: Marzo,monedero_marzo_2026.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,4,Abril,OK,,27,27,27,True,True,682215.0,729,104,0,13669.0,Tipo pasajero: Monedero,Mes año tipo: Abril,monedero_abril_2026.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,5,Mayo,OK,,27,27,27,True,True,615183.0,729,104,0,12403.0,Tipo pasajero: Monedero,Mes año tipo: Mayo,monedero_mayo_2026.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,6,Junio,OK,,27,27,27,True,True,473303.0,729,104,0,9233.0,Tipo pasajero: Monedero,Mes año tipo: Junio,monedero_junio_2024.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,7,Julio,OK,,27,27,27,True,True,679195.0,729,104,0,11269.0,Tipo pasajero: Monedero,Mes año tipo: Julio,monedero_julio_2024.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,8,Agosto,OK,,27,27,27,True,True,587361.0,729,104,0,11840.0,Tipo pasajero: Monedero,Mes año tipo: Agosto,monedero_agosto_2024.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,9,Septiembre,OK,,27,27,27,True,True,576100.0,729,104,0,10223.0,Tipo pasajero: Monedero,Mes año tipo: Septiembre,monedero_septiembre_2024.xlsx,,,
monedero,Monedero,monedero_ano_tipo.xlsx,10,Octubre,OK,,27,27,27,True,True,707767.0,729,104,0,11269.0,Tipo pasajero: Monedero,Mes año tipo: Octubre,monedero_octubre_2024.xlsx,,,
