anio_base,mes,periodo_base,tipo_pasajero,nombre_visual,origen,destino,viajes_observados
2024,1,2024-01,normal,Normal,Mercado,Mercado,0.0
2024,1,2024-01,normal,Normal,Mercado,El Arenal,0.0
2024,1,2024-01,normal,Normal,Mercado,Higueras,0.0
2024,1,2024-01,normal,Normal,Mercado,Los Cóndores,1.0
2024,1,2024-01,normal,Normal,Mercado,UTFSM,0.0
2024,1,2024-01,normal,Normal,Mercado,Lorenzo Arenas,2.0
2024,1,2024-01,normal,Normal,Mercado,Concepción,37.0
2024,1,2024-01,normal,Normal,Mercado,Chiguayante,1.0
2024,1,2024-01,normal,Normal,Mercado,Pedro Medina,0.0
2024,1,2024-01,normal,Normal,Mercado,Manquimávida,1.0
2024,1,2024-01,normal,Normal,Mercado,La Leonera,5.0
2024,1,2024-01,normal,Normal,Mercado,Hualqui,59.0
2024,1,2024-01,normal,Normal,Mercado,Quilacoya,33.0
2024,1,2024-01,normal,Normal,Mercado,San Miguel,10.0
2024,1,2024-01,normal,Normal,Mercado,Unihue,43.0
2024,1,2024-01,normal,Normal,Mercado,Valle Chanco,5.0
2024,1,2024-01,normal,Normal,Mercado,Los Acacios,28.0
2024,1,2024-01,normal,Normal,Mercado,Talcamávida,36.0
2024,1,2024-01,normal,Normal,Mercado,Gomero,1.0
2024,1,2024-01,normal,Normal,Mercado,Buenuraqui,6.0
2024,1,2024-01,normal,Normal,Mercado,San Rosendo,52.0
2024,1,2024-01,normal,Normal,Mercado,Laja,175.0
2024,1,2024-01,normal,Normal,El Arenal,Mercado,0.0
2024,1,2024-01,normal,Normal,El Arenal,El Arenal,0.0
2024,1,2024-01,normal,Normal,El Arenal,Higueras,0.0
2024,1,2024-01,normal,Normal,El Arenal,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,El Arenal,UTFSM,0.0
2024,1,2024-01,normal,Normal,El Arenal,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,El Arenal,Concepción,14.0
2024,1,2024-01,normal,Normal,El Arenal,Chiguayante,2.0
2024,1,2024-01,normal,Normal,El Arenal,Pedro Medina,4.0
2024,1,2024-01,normal,Normal,El Arenal,Manquimávida,0.0
2024,1,2024-01,normal,Normal,El Arenal,La Leonera,0.0
2024,1,2024-01,normal,Normal,El Arenal,Hualqui,23.0
2024,1,2024-01,normal,Normal,El Arenal,Quilacoya,12.0
2024,1,2024-01,normal,Normal,El Arenal,San Miguel,21.0
2024,1,2024-01,normal,Normal,El Arenal,Unihue,17.0
2024,1,2024-01,normal,Normal,El Arenal,Valle Chanco,4.0
2024,1,2024-01,normal,Normal,El Arenal,Los Acacios,1.0
2024,1,2024-01,normal,Normal,El Arenal,Talcamávida,21.0
2024,1,2024-01,normal,Normal,El Arenal,Gomero,1.0
