tipo_pasajero,matriz_tarifaria_aplicada,origen,destino,tarifa
normal,Matriz Tarifaria Adulto,Mercado,Mercado,0.0
normal,Matriz Tarifaria Adulto,Mercado,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Mercado,Higueras,580.0
normal,Matriz Tarifaria Adulto,Mercado,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Mercado,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Mercado,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Mercado,Concepción,580.0
normal,Matriz Tarifaria Adulto,Mercado,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Mercado,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Mercado,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Mercado,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Mercado,Hualqui,580.0
normal,Matriz Tarifaria Adulto,Mercado,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,Mercado,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,Mercado,Unihue,1360.0
normal,Matriz Tarifaria Adulto,Mercado,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,Mercado,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,Mercado,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,Mercado,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Mercado,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Mercado,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Mercado,Laja,2270.0
normal,Matriz Tarifaria Adulto,El Arenal,Mercado,580.0
normal,Matriz Tarifaria Adulto,El Arenal,El Arenal,0.0
normal,Matriz Tarifaria Adulto,El Arenal,Higueras,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,El Arenal,UTFSM,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Concepción,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,El Arenal,La Leonera,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Hualqui,580.0
normal,Matriz Tarifaria Adulto,El Arenal,Quilacoya,1220.0
normal,Matriz Tarifaria Adulto,El Arenal,San Miguel,1220.0
normal,Matriz Tarifaria Adulto,El Arenal,Unihue,1360.0
normal,Matriz Tarifaria Adulto,El Arenal,Valle Chanco,1360.0
normal,Matriz Tarifaria Adulto,El Arenal,Los Acacios,1360.0
normal,Matriz Tarifaria Adulto,El Arenal,Talcamávida,1360.0
normal,Matriz Tarifaria Adulto,El Arenal,Gomero,1360.0
normal,Matriz Tarifaria Adulto,El Arenal,Buenuraqui,2120.0
