tipo_pasajero,origen,destino,matriz_tarifaria_aplicada,tarifa,tiene_tarifa
normal,Mercado,Mercado,Matriz Tarifaria Adulto,0.0,True
normal,Mercado,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Mercado,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,Mercado,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,Mercado,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Mercado,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Mercado,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Mercado,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Mercado,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Mercado,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Mercado,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Mercado,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,El Arenal,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,El Arenal,Matriz Tarifaria Adulto,0.0,True
normal,El Arenal,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,El Arenal,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,El Arenal,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,El Arenal,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,El Arenal,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,El Arenal,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,El Arenal,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,El Arenal,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,El Arenal,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,El Arenal,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,El Arenal,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Higueras,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Higueras,Matriz Tarifaria Adulto,0.0,True
normal,Higueras,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Higueras,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,Higueras,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,Higueras,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Higueras,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Higueras,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Higueras,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Higueras,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Higueras,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Higueras,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Higueras,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Los Cóndores,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Los Cóndores,Matriz Tarifaria Adulto,0.0,True
normal,Los Cóndores,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Los Cóndores,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,Los Cóndores,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,Los Cóndores,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Los Cóndores,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Los Cóndores,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Los Cóndores,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Los Cóndores,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Los Cóndores,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Los Cóndores,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Los Cóndores,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,UTFSM,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,UTFSM,Matriz Tarifaria Adulto,0.0,True
normal,UTFSM,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,UTFSM,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,UTFSM,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,UTFSM,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,UTFSM,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,UTFSM,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,UTFSM,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,UTFSM,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,UTFSM,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,UTFSM,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,UTFSM,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Lorenzo Arenas,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Lorenzo Arenas,Matriz Tarifaria Adulto,0.0,True
normal,Lorenzo Arenas,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Lorenzo Arenas,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,Lorenzo Arenas,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,Lorenzo Arenas,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Lorenzo Arenas,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Lorenzo Arenas,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Lorenzo Arenas,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Lorenzo Arenas,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Lorenzo Arenas,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Lorenzo Arenas,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Lorenzo Arenas,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Concepción,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Concepción,Matriz Tarifaria Adulto,0.0,True
normal,Concepción,Chiguayante,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Pedro Medina,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Manquimávida,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,La Leonera,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Hualqui,Matriz Tarifaria Adulto,580.0,True
normal,Concepción,Quilacoya,Matriz Tarifaria Adulto,1220.0,True
normal,Concepción,San Miguel,Matriz Tarifaria Adulto,1220.0,True
normal,Concepción,Unihue,Matriz Tarifaria Adulto,1360.0,True
normal,Concepción,Valle Chanco,Matriz Tarifaria Adulto,1360.0,True
normal,Concepción,Los Acacios,Matriz Tarifaria Adulto,1360.0,True
normal,Concepción,Talcamávida,Matriz Tarifaria Adulto,1360.0,True
normal,Concepción,Gomero,Matriz Tarifaria Adulto,1360.0,True
normal,Concepción,Buenuraqui,Matriz Tarifaria Adulto,2120.0,True
normal,Concepción,San Rosendo,Matriz Tarifaria Adulto,2270.0,True
normal,Concepción,Laja,Matriz Tarifaria Adulto,2270.0,True
normal,Chiguayante,Mercado,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,El Arenal,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,Higueras,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,Los Cóndores,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,UTFSM,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,Lorenzo Arenas,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,Concepción,Matriz Tarifaria Adulto,580.0,True
normal,Chiguayante,Chiguayante,Matriz Tarifaria Adulto,0.0,True
