archivo,mes,hoja,tipo_pasajero,suma_od_sin_totales,control_total_hoja,diferencia
MOD Laja Talcahuano 01-24.xlsx,1,NORMAL,normal,21114.0,21114.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,Adulto Mayor,adulto_mayor,12527.0,12527.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,DISCAPACITADOS,discapacitado,1363.0,1363.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,DELEG,delegacion,17.0,17.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,IDAYVUELTA,ida_y_vuelta,24909.0,24909.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,Estudiante,estudiante_media_superior,10223.0,10223.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,E.BÁSICOS,estudiante_basica,2062.0,2062.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,FUNCIONARIOS,funcionario,979.0,979.0,0.0
MOD Laja Talcahuano 01-24.xlsx,1,TOTAL,control_total,73194.0,73194.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,NORMAL,normal,21697.0,21697.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,Adulto Mayor,adulto_mayor,11256.0,11256.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,DISCAPACITADOS,discapacitado,1415.0,1415.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,DELEG,delegacion,3.0,3.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,IDAYVUELTA,ida_y_vuelta,26478.0,26478.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,Estudiante,estudiante_media_superior,9979.0,9979.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,E.BÁSICOS,estudiante_basica,1968.0,1968.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,FUNCIONARIOS,funcionario,760.0,760.0,0.0
MOD Laja Talcahuano 02-24.xlsx,2,TOTAL,control_total,73556.0,73556.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,NORMAL,normal,17540.0,17540.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,Adulto Mayor,adulto_mayor,9332.0,9332.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,DISCAPACITADOS,discapacitado,1162.0,1162.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,DELEG,delegacion,34.0,34.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,IDAYVUELTA,ida_y_vuelta,13849.0,13849.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,Estudiante,estudiante_media_superior,10477.0,10477.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,E.BÁSICOS,estudiante_basica,1035.0,1035.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,FUNCIONARIOS,funcionario,817.0,817.0,0.0
MOD Laja Talcahuano 03-24.xlsx,3,TOTAL,control_total,54246.0,54246.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,NORMAL,normal,14286.0,14286.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,Adulto Mayor,adulto_mayor,7813.0,7813.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,DISCAPACITADOS,discapacitado,1077.0,1077.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,DELEG,delegacion,25.0,25.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,IDAYVUELTA,ida_y_vuelta,10439.0,10439.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,Estudiante,estudiante_media_superior,9738.0,9738.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,E.BÁSICOS,estudiante_basica,1079.0,1079.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,FUNCIONARIOS,funcionario,914.0,914.0,0.0
MOD Laja Talcahuano 04-24.xlsx,4,TOTAL,control_total,45371.0,45371.0,0.0
