mes,anio_base,archivo,tipo_pasajero,tipo_pasajero_visual,origen,destino,viajes_observados
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,PUA,82.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Perquenco,64.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Quillem,4.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Lautaro,38.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,L. Centro,42.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Pillanlelbun,17.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Cajon,17.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Victoria,Temuco,369.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Victoria,116.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Perquenco,7.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Quillem,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Lautaro,1.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,L. Centro,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Pillanlelbun,5.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Cajon,1.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PUA,Temuco,68.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,Victoria,66.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,PUA,9.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,Quillem,18.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,Lautaro,72.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,L. Centro,77.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,Cajon,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Perquenco,Temuco,288.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,Victoria,7.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,PUA,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,Perquenco,17.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,Lautaro,18.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,L. Centro,15.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quillem,Temuco,29.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Victoria,65.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,PUA,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Perquenco,41.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Quillem,21.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Pillanlelbun,21.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Cajon,20.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Lautaro,Temuco,311.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Victoria,27.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,PUA,1.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Perquenco,14.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Quillem,10.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Pillanlelbun,24.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Cajon,7.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,L. Centro,Temuco,164.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,Victoria,18.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,PUA,3.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,Lautaro,14.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,L. Centro,48.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,Cajon,2.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pillanlelbun,Temuco,40.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,Victoria,11.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,PUA,1.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,Lautaro,11.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,L. Centro,17.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,Pillanlelbun,1.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Cajon,Temuco,32.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Victoria,308.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,PUA,53.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Perquenco,181.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Quillem,10.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Lautaro,234.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,L. Centro,81.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Pillanlelbun,20.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Cajon,3.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,PLC,5.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Quepe,16.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Freire,91.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Temuco,Pitrufquén,208.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PLC,Temuco,46.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PLC,Freire,10.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,PLC,Pitrufquén,25.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quepe,Temuco,46.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quepe,Freire,13.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Quepe,Pitrufquén,18.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Freire,Temuco,122.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Freire,PLC,11.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Freire,Quepe,9.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Freire,Pitrufquén,10.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pitrufquén,Temuco,175.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pitrufquén,PLC,33.0
4,2026,MOD-Tren-Araucania-abr-2026.xlsx,adulto_mayor,Adulto Mayor,Pitrufquén,Quepe,16.0
