mes,anio_base,tipo_pasajero,tipo_pasajero_visual,viajes_observados,viajes_mes_total,participacion_tipo_mes
1,2026,adulto_mayor,Adulto Mayor,4623.0,39424.0,0.11726359577922078
1,2026,delegacion,Delegación,51.0,39424.0,0.0012936282467532468
1,2026,discapacitado,Discapacitado,1240.0,39424.0,0.03145292207792208
1,2026,estudiante,Estudiante,5692.0,39424.0,0.14437905844155843
1,2026,estudiante_basica,Estudiante Básica,6012.0,39424.0,0.15249594155844157
1,2026,funcionario,Funcionario,229.0,39424.0,0.005808644480519481
1,2026,normal,Normal,21540.0,39424.0,0.5463676948051948
1,2026,sindicato,Sindicato,37.0,39424.0,0.0009385146103896104
2,2026,adulto_mayor,Adulto Mayor,4548.0,44966.0,0.10114308588711471
2,2026,delegacion,Delegación,1.0,44966.0,2.2239025041142196e-05
2,2026,discapacitado,Discapacitado,1341.0,44966.0,0.029822532580171684
2,2026,estudiante,Estudiante,6467.0,44966.0,0.1438197749410666
2,2026,estudiante_basica,Estudiante Básica,7632.0,44966.0,0.16972823911399723
2,2026,funcionario,Funcionario,782.0,44966.0,0.017390917582173197
2,2026,normal,Normal,24134.0,44966.0,0.5367166303429257
2,2026,sindicato,Sindicato,61.0,44966.0,0.001356580527509674
3,2026,adulto_mayor,Adulto Mayor,3956.0,72866.0,0.054291439079954984
3,2026,claret,Claret,10953.0,72866.0,0.15031702028380864
3,2026,delegacion,Delegación,10.0,72866.0,0.0001372382180989762
3,2026,discapacitado,Discapacitado,1427.0,72866.0,0.019583893722723903
3,2026,estudiante,Estudiante,15174.0,72866.0,0.20824527214338648
3,2026,estudiante_basica,Estudiante Básica,20899.0,72866.0,0.2868141520050504
3,2026,funcionario,Funcionario,284.0,72866.0,0.003897565394010924
3,2026,normal,Normal,20121.0,72866.0,0.27613701863695
3,2026,sindicato,Sindicato,42.0,72866.0,0.0005764005160157
4,2026,adulto_mayor,Adulto Mayor,4132.0,80682.0,0.05121340571626881
4,2026,claret,Claret,11756.0,80682.0,0.14570784065838724
4,2026,delegacion,Delegación,23.0,80682.0,0.00028506978012443916
4,2026,discapacitado,Discapacitado,1647.0,80682.0,0.0204134751245631
4,2026,estudiante,Estudiante,17128.0,80682.0,0.21229022582484322
4,2026,estudiante_basica,Estudiante Básica,20656.0,80682.0,0.2560174512282789
4,2026,funcionario,Funcionario,274.0,80682.0,0.00339604868496071
4,2026,normal,Normal,25040.0,80682.0,0.3103542301876503
4,2026,sindicato,Sindicato,26.0,80682.0,0.00032225279492327903
5,2026,adulto_mayor,Adulto Mayor,4002.0,74371.0,0.05381129741431472
5,2026,claret,Claret,10523.0,74371.0,0.1414933240107031
5,2026,delegacion,Delegación,83.0,74371.0,0.0011160264081429589
5,2026,discapacitado,Discapacitado,1616.0,74371.0,0.02172889970553038
5,2026,estudiante,Estudiante,14801.0,74371.0,0.19901574538462571
5,2026,estudiante_basica,Estudiante Básica,18660.0,74371.0,0.25090425031262187
5,2026,funcionario,Funcionario,284.0,74371.0,0.0038186927700313293
5,2026,normal,Normal,24366.0,74371.0,0.32762770434712457
5,2026,sindicato,Sindicato,36.0,74371.0,0.0004840596469053798
6,2024,adulto_mayor,Adulto Mayor,2810.0,47559.0,0.05908450556151307
6,2024,claret,Claret,5277.0,47559.0,0.1109569166719233
6,2024,discapacitado,Discapacitado,678.0,47559.0,0.014255976786728065
6,2024,estudiante,Estudiante,11251.0,47559.0,0.236569313904834
6,2024,estudiante_basica,Estudiante Básica,9627.0,47559.0,0.20242225446287768
6,2024,funcionario,Funcionario,182.0,47559.0,0.003826825627115793
6,2024,normal,Normal,17732.0,47559.0,0.3728421539561387
6,2024,sindicato,Sindicato,2.0,47559.0,4.2053028869404316e-05
7,2024,adulto_mayor,Adulto Mayor,3635.0,60872.0,0.059715468524116175
7,2024,claret,Claret,11877.0,60872.0,0.19511433828361152
7,2024,discapacitado,Discapacitado,947.0,60872.0,0.015557234853463005
7,2024,estudiante,Estudiante,8739.0,60872.0,0.14356354317255882
7,2024,estudiante_basica,Estudiante Básica,13510.0,60872.0,0.2219411223551058
7,2024,funcionario,Funcionario,145.0,60872.0,0.0023820475752398475
7,2024,normal,Normal,22009.0,60872.0,0.36156196609278485
7,2024,sindicato,Sindicato,10.0,60872.0,0.0001642791431199895
8,2024,adulto_mayor,Adulto Mayor,3291.0,60202.0,0.05466595794159662
8,2024,claret,Claret,5943.0,60202.0,0.09871765057639281
8,2024,discapacitado,Discapacitado,862.0,60202.0,0.014318461180691671
8,2024,estudiante,Estudiante,15551.0,60202.0,0.25831367728646887
8,2024,estudiante_basica,Estudiante Básica,14367.0,60202.0,0.23864655659280423
8,2024,funcionario,Funcionario,191.0,60202.0,0.0031726520713597555
8,2024,normal,Normal,19933.0,60202.0,0.3311019567456231
8,2024,sindicato,Sindicato,64.0,60202.0,0.0010630876050629547
9,2024,adulto_mayor,Adulto Mayor,3332.0,53711.0,0.062035709631174246
9,2024,claret,Claret,6212.0,53711.0,0.11565601087300553
9,2024,discapacitado,Discapacitado,876.0,53711.0,0.01630950829439035
9,2024,estudiante,Estudiante,12329.0,53711.0,0.22954329653143676
9,2024,estudiante_basica,Estudiante Básica,12357.0,53711.0,0.23006460501573234
9,2024,funcionario,Funcionario,148.0,53711.0,0.0027554877027052187
9,2024,normal,Normal,18399.0,53711.0,0.34255552866265754
9,2024,sindicato,Sindicato,58.0,53711.0,0.001079853288897991
10,2024,adulto_mayor,Adulto Mayor,4101.0,67778.0,0.060506358995544275
10,2024,claret,Claret,8043.0,67778.0,0.11866682404319986
