mes,anio_base,tipo_pasajero,tipo_pasajero_visual,origen,destino,viajes_observados,viajes_tipo_mes,participacion_od_tipo_mes
1,2026,adulto_mayor,Adulto Mayor,Cajon,L. Centro,3.0,4623.0,0.0006489292667099286
1,2026,adulto_mayor,Adulto Mayor,Cajon,Lautaro,1.0,4623.0,0.00021630975556997622
1,2026,adulto_mayor,Adulto Mayor,Cajon,PLC,1.0,4623.0,0.00021630975556997622
1,2026,adulto_mayor,Adulto Mayor,Cajon,Perquenco,4.0,4623.0,0.0008652390222799049
1,2026,adulto_mayor,Adulto Mayor,Cajon,Pillanlelbun,2.0,4623.0,0.00043261951113995244
1,2026,adulto_mayor,Adulto Mayor,Cajon,Temuco,31.0,4623.0,0.006705602422669262
1,2026,adulto_mayor,Adulto Mayor,Cajon,Victoria,17.0,4623.0,0.0036772658446895955
1,2026,adulto_mayor,Adulto Mayor,Freire,PLC,3.0,4623.0,0.0006489292667099286
1,2026,adulto_mayor,Adulto Mayor,Freire,Pitrufquén,10.0,4623.0,0.002163097555699762
1,2026,adulto_mayor,Adulto Mayor,Freire,Quepe,10.0,4623.0,0.002163097555699762
1,2026,adulto_mayor,Adulto Mayor,Freire,Temuco,123.0,4623.0,0.026606099935107073
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Cajon,2.0,4623.0,0.00043261951113995244
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Perquenco,29.0,4623.0,0.00627298291152931
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Pillanlelbun,19.0,4623.0,0.004109885355829548
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Quillem,6.0,4623.0,0.0012978585334198572
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Temuco,123.0,4623.0,0.026606099935107073
1,2026,adulto_mayor,Adulto Mayor,L. Centro,Victoria,38.0,4623.0,0.008219770711659096
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Cajon,1.0,4623.0,0.00021630975556997622
1,2026,adulto_mayor,Adulto Mayor,Lautaro,PUA,2.0,4623.0,0.00043261951113995244
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Perquenco,62.0,4623.0,0.013411204845338524
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Pillanlelbun,22.0,4623.0,0.004758814622539477
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Quillem,20.0,4623.0,0.004326195111399524
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Temuco,268.0,4623.0,0.057971014492753624
1,2026,adulto_mayor,Adulto Mayor,Lautaro,Victoria,72.0,4623.0,0.015574302401038288
1,2026,adulto_mayor,Adulto Mayor,PLC,Freire,7.0,4623.0,0.0015141682889898333
1,2026,adulto_mayor,Adulto Mayor,PLC,Pitrufquén,29.0,4623.0,0.00627298291152931
1,2026,adulto_mayor,Adulto Mayor,PLC,Quepe,1.0,4623.0,0.00021630975556997622
1,2026,adulto_mayor,Adulto Mayor,PLC,Temuco,44.0,4623.0,0.009517629245078953
