tipo_tarifa,origen,destino,tarifa
normal,Victoria,Victoria,0.0
normal,Victoria,PUA,1100.0
normal,Victoria,Perquenco,1300.0
normal,Victoria,Quillem,1300.0
normal,Victoria,Lautaro,1400.0
normal,Victoria,L. Centro,1400.0
normal,Victoria,Pillanlelbun,1500.0
normal,Victoria,Coleg. Claret,0.0
normal,Victoria,Cajon,900.0
normal,Victoria,Temuco,1800.0
normal,Victoria,PLC,1900.0
normal,Victoria,Quepe,2000.0
normal,Victoria,Freire,2550.0
normal,Victoria,Pitrufquén,2650.0
normal,PUA,Victoria,1100.0
normal,PUA,PUA,0.0
normal,PUA,Perquenco,1200.0
normal,PUA,Quillem,1200.0
normal,PUA,Lautaro,1300.0
normal,PUA,L. Centro,1300.0
normal,PUA,Pillanlelbun,1400.0
normal,PUA,Coleg. Claret,0.0
normal,PUA,Cajon,800.0
normal,PUA,Temuco,1500.0
normal,PUA,PLC,1650.0
normal,PUA,Quepe,1750.0
normal,PUA,Freire,2300.0
normal,PUA,Pitrufquén,2400.0
normal,Perquenco,Victoria,1300.0
normal,Perquenco,PUA,1200.0
normal,Perquenco,Perquenco,0.0
normal,Perquenco,Quillem,1100.0
normal,Perquenco,Lautaro,1100.0
normal,Perquenco,L. Centro,1100.0
normal,Perquenco,Pillanlelbun,1300.0
normal,Perquenco,Coleg. Claret,0.0
normal,Perquenco,Cajon,800.0
normal,Perquenco,Temuco,1400.0
normal,Perquenco,PLC,1650.0
normal,Perquenco,Quepe,1750.0
normal,Perquenco,Freire,2300.0
normal,Perquenco,Pitrufquén,2400.0
normal,Quillem,Victoria,1300.0
normal,Quillem,PUA,1200.0
normal,Quillem,Perquenco,1100.0
normal,Quillem,Quillem,0.0
normal,Quillem,Lautaro,1100.0
normal,Quillem,L. Centro,1100.0
normal,Quillem,Pillanlelbun,1300.0
normal,Quillem,Coleg. Claret,0.0
normal,Quillem,Cajon,700.0
normal,Quillem,Temuco,1400.0
normal,Quillem,PLC,1650.0
normal,Quillem,Quepe,1750.0
normal,Quillem,Freire,2300.0
normal,Quillem,Pitrufquén,2400.0
normal,Lautaro,Victoria,1400.0
normal,Lautaro,PUA,1300.0
normal,Lautaro,Perquenco,1100.0
normal,Lautaro,Quillem,1100.0
normal,Lautaro,Lautaro,0.0
normal,Lautaro,L. Centro,1100.0
normal,Lautaro,Pillanlelbun,1100.0
normal,Lautaro,Coleg. Claret,0.0
normal,Lautaro,Cajon,600.0
normal,Lautaro,Temuco,1300.0
normal,Lautaro,PLC,1550.0
normal,Lautaro,Quepe,1650.0
normal,Lautaro,Freire,2200.0
normal,Lautaro,Pitrufquén,2300.0
normal,L. Centro,Victoria,1400.0
normal,L. Centro,PUA,1300.0
normal,L. Centro,Perquenco,1100.0
normal,L. Centro,Quillem,1100.0
normal,L. Centro,Lautaro,1100.0
normal,L. Centro,L. Centro,0.0
normal,L. Centro,Pillanlelbun,1100.0
normal,L. Centro,Coleg. Claret,0.0
normal,L. Centro,Cajon,600.0
normal,L. Centro,Temuco,1300.0
normal,L. Centro,PLC,1550.0
normal,L. Centro,Quepe,1650.0
normal,L. Centro,Freire,2200.0
normal,L. Centro,Pitrufquén,2300.0
normal,Pillanlelbun,Victoria,1500.0
normal,Pillanlelbun,PUA,1400.0
normal,Pillanlelbun,Perquenco,1300.0
normal,Pillanlelbun,Quillem,1300.0
normal,Pillanlelbun,Lautaro,1100.0
normal,Pillanlelbun,L. Centro,1100.0
normal,Pillanlelbun,Pillanlelbun,0.0
normal,Pillanlelbun,Coleg. Claret,0.0
normal,Pillanlelbun,Cajon,600.0
normal,Pillanlelbun,Temuco,1200.0
normal,Pillanlelbun,PLC,1450.0
normal,Pillanlelbun,Quepe,1550.0
normal,Pillanlelbun,Freire,2100.0
normal,Pillanlelbun,Pitrufquén,2200.0
normal,Coleg. Claret,Victoria,0.0
normal,Coleg. Claret,PUA,0.0
normal,Coleg. Claret,Perquenco,0.0
normal,Coleg. Claret,Quillem,0.0
normal,Coleg. Claret,Lautaro,0.0
normal,Coleg. Claret,L. Centro,0.0
normal,Coleg. Claret,Pillanlelbun,0.0
normal,Coleg. Claret,Coleg. Claret,0.0
normal,Coleg. Claret,Cajon,0.0
normal,Coleg. Claret,Temuco,1000.0
normal,Coleg. Claret,PLC,0.0
normal,Coleg. Claret,Quepe,0.0
normal,Coleg. Claret,Freire,0.0
normal,Coleg. Claret,Pitrufquén,0.0
normal,Cajon,Victoria,900.0
normal,Cajon,PUA,800.0
normal,Cajon,Perquenco,800.0
normal,Cajon,Quillem,700.0
normal,Cajon,Lautaro,600.0
normal,Cajon,L. Centro,600.0
normal,Cajon,Pillanlelbun,600.0
normal,Cajon,Coleg. Claret,0.0
normal,Cajon,Cajon,0.0
normal,Cajon,Temuco,600.0
normal,Cajon,PLC,1300.0
normal,Cajon,Quepe,1400.0
normal,Cajon,Freire,1950.0
normal,Cajon,Pitrufquén,2050.0
normal,Temuco,Victoria,1800.0
normal,Temuco,PUA,1500.0
normal,Temuco,Perquenco,1400.0
normal,Temuco,Quillem,1400.0
normal,Temuco,Lautaro,1300.0
normal,Temuco,L. Centro,1300.0
normal,Temuco,Pillanlelbun,1200.0
normal,Temuco,Coleg. Claret,1000.0
normal,Temuco,Cajon,600.0
normal,Temuco,Temuco,0.0
normal,Temuco,PLC,700.0
normal,Temuco,Quepe,800.0
normal,Temuco,Freire,1350.0
normal,Temuco,Pitrufquén,1450.0
normal,PLC,Victoria,1900.0
normal,PLC,PUA,1650.0
normal,PLC,Perquenco,1650.0
normal,PLC,Quillem,1650.0
normal,PLC,Lautaro,1550.0
normal,PLC,L. Centro,1550.0
normal,PLC,Pillanlelbun,1450.0
normal,PLC,Coleg. Claret,0.0
normal,PLC,Cajon,1300.0
normal,PLC,Temuco,700.0
normal,PLC,PLC,0.0
normal,PLC,Quepe,600.0
normal,PLC,Freire,1300.0
normal,PLC,Pitrufquén,1400.0
normal,Quepe,Victoria,2000.0
normal,Quepe,PUA,1750.0
normal,Quepe,Perquenco,1750.0
normal,Quepe,Quillem,1750.0
normal,Quepe,Lautaro,1650.0
normal,Quepe,L. Centro,1650.0
normal,Quepe,Pillanlelbun,1550.0
normal,Quepe,Coleg. Claret,0.0
normal,Quepe,Cajon,1400.0
normal,Quepe,Temuco,800.0
normal,Quepe,PLC,600.0
normal,Quepe,Quepe,0.0
normal,Quepe,Freire,550.0
