archivo,mes,anio_base,tipo_pasajero,viajes_matriz
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,adulto_mayor,4132.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,claret,11756.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,discapacitado,1647.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,estudiante,17128.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,estudiante_basica,20656.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,funcionario,274.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,normal,25040.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,sindicato,26.0
MOD-Tren-Araucania-abr-2026.xlsx,4,2026,delegacion,23.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,adulto_mayor,3291.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,claret,5943.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,discapacitado,862.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,estudiante,15551.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,estudiante_basica,14367.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,funcionario,191.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,normal,19933.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,sindicato,64.0
MOD-Tren-Araucania-ago-2024.xlsx,8,2024,delegacion,0.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,adulto_mayor,4287.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,claret,3941.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,discapacitado,1125.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,estudiante,6756.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,estudiante_basica,9106.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,funcionario,190.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,normal,21875.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,sindicato,28.0
MOD-Tren-Araucania-dic-2024.xlsx,12,2024,delegacion,0.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,adulto_mayor,4623.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,claret,0.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,discapacitado,1240.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,estudiante,5692.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,estudiante_basica,6012.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,funcionario,229.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,normal,21540.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,sindicato,37.0
MOD-Tren-Araucania-ene-2026.xlsx,1,2026,delegacion,51.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,adulto_mayor,4548.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,claret,0.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,discapacitado,1341.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,estudiante,6467.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,estudiante_basica,7632.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,funcionario,782.0
