unit,mes,dt,servicios_dia
TA_TEMUCO_VICTORIA,1,LV,9.0
TA_TEMUCO_VICTORIA,1,Sab,8.0
TA_TEMUCO_VICTORIA,1,Dom,6.0
TA_TEMUCO_VICTORIA,2,LV,9.0
TA_TEMUCO_VICTORIA,2,Sab,8.0
TA_TEMUCO_VICTORIA,2,Dom,6.0
TA_TEMUCO_VICTORIA,3,LV,9.0
TA_TEMUCO_VICTORIA,3,Sab,8.0
TA_TEMUCO_VICTORIA,3,Dom,6.0
TA_TEMUCO_VICTORIA,4,LV,9.0
TA_TEMUCO_VICTORIA,4,Sab,8.0
TA_TEMUCO_VICTORIA,4,Dom,6.0
TA_TEMUCO_VICTORIA,5,LV,9.0
TA_TEMUCO_VICTORIA,5,Sab,8.0
TA_TEMUCO_VICTORIA,5,Dom,6.0
TA_TEMUCO_VICTORIA,6,LV,9.0
TA_TEMUCO_VICTORIA,6,Sab,8.0
TA_TEMUCO_VICTORIA,6,Dom,6.0
TA_TEMUCO_VICTORIA,7,LV,9.0
TA_TEMUCO_VICTORIA,7,Sab,8.0
TA_TEMUCO_VICTORIA,7,Dom,6.0
TA_TEMUCO_VICTORIA,8,LV,9.0
TA_TEMUCO_VICTORIA,8,Sab,8.0
TA_TEMUCO_VICTORIA,8,Dom,6.0
TA_TEMUCO_VICTORIA,9,LV,9.0
TA_TEMUCO_VICTORIA,9,Sab,8.0
TA_TEMUCO_VICTORIA,9,Dom,6.0
TA_TEMUCO_VICTORIA,10,LV,9.0
TA_TEMUCO_VICTORIA,10,Sab,8.0
TA_TEMUCO_VICTORIA,10,Dom,6.0
TA_TEMUCO_VICTORIA,11,LV,9.0
TA_TEMUCO_VICTORIA,11,Sab,8.0
TA_TEMUCO_VICTORIA,11,Dom,6.0
TA_TEMUCO_VICTORIA,12,LV,9.0
TA_TEMUCO_VICTORIA,12,Sab,8.0
TA_TEMUCO_VICTORIA,12,Dom,6.0
TA_TEMUCO_PITRUFQUEN,1,LV,6.6
TA_TEMUCO_PITRUFQUEN,1,Sab,4.0
TA_TEMUCO_PITRUFQUEN,1,Dom,0.0
TA_TEMUCO_PITRUFQUEN,2,LV,6.6
TA_TEMUCO_PITRUFQUEN,2,Sab,4.0
TA_TEMUCO_PITRUFQUEN,2,Dom,0.0
TA_TEMUCO_PITRUFQUEN,3,LV,6.6
TA_TEMUCO_PITRUFQUEN,3,Sab,4.0
TA_TEMUCO_PITRUFQUEN,3,Dom,0.0
TA_TEMUCO_PITRUFQUEN,4,LV,6.6
TA_TEMUCO_PITRUFQUEN,4,Sab,4.0
TA_TEMUCO_PITRUFQUEN,4,Dom,0.0
TA_TEMUCO_PITRUFQUEN,5,LV,6.6
TA_TEMUCO_PITRUFQUEN,5,Sab,4.0
TA_TEMUCO_PITRUFQUEN,5,Dom,0.0
TA_TEMUCO_PITRUFQUEN,6,LV,6.6
TA_TEMUCO_PITRUFQUEN,6,Sab,4.0
TA_TEMUCO_PITRUFQUEN,6,Dom,0.0
TA_TEMUCO_PITRUFQUEN,7,LV,6.6
TA_TEMUCO_PITRUFQUEN,7,Sab,4.0
TA_TEMUCO_PITRUFQUEN,7,Dom,0.0
TA_TEMUCO_PITRUFQUEN,8,LV,6.6
TA_TEMUCO_PITRUFQUEN,8,Sab,4.0
TA_TEMUCO_PITRUFQUEN,8,Dom,0.0
TA_TEMUCO_PITRUFQUEN,9,LV,6.6
TA_TEMUCO_PITRUFQUEN,9,Sab,4.0
TA_TEMUCO_PITRUFQUEN,9,Dom,0.0
TA_TEMUCO_PITRUFQUEN,10,LV,6.6
TA_TEMUCO_PITRUFQUEN,10,Sab,4.0
TA_TEMUCO_PITRUFQUEN,10,Dom,0.0
TA_TEMUCO_PITRUFQUEN,11,LV,6.6
TA_TEMUCO_PITRUFQUEN,11,Sab,4.0
TA_TEMUCO_PITRUFQUEN,11,Dom,0.0
TA_TEMUCO_PITRUFQUEN,12,LV,6.6
TA_TEMUCO_PITRUFQUEN,12,Sab,4.0
TA_TEMUCO_PITRUFQUEN,12,Dom,0.0
TA_CLARET,1,LV,0.0
TA_CLARET,1,Sab,0.0
TA_CLARET,1,Dom,0.0
TA_CLARET,2,LV,0.0
TA_CLARET,2,Sab,0.0
TA_CLARET,2,Dom,0.0
TA_CLARET,3,LV,3.0
TA_CLARET,3,Sab,0.0
TA_CLARET,3,Dom,0.0
TA_CLARET,4,LV,3.0
TA_CLARET,4,Sab,0.0
TA_CLARET,4,Dom,0.0
TA_CLARET,5,LV,3.0
TA_CLARET,5,Sab,0.0
TA_CLARET,5,Dom,0.0
TA_CLARET,6,LV,3.0
TA_CLARET,6,Sab,0.0
TA_CLARET,6,Dom,0.0
TA_CLARET,7,LV,3.0
TA_CLARET,7,Sab,0.0
TA_CLARET,7,Dom,0.0
TA_CLARET,8,LV,3.0
TA_CLARET,8,Sab,0.0
TA_CLARET,8,Dom,0.0
TA_CLARET,9,LV,3.0
TA_CLARET,9,Sab,0.0
TA_CLARET,9,Dom,0.0
TA_CLARET,10,LV,3.0
TA_CLARET,10,Sab,0.0
TA_CLARET,10,Dom,0.0
TA_CLARET,11,LV,3.0
TA_CLARET,11,Sab,0.0
TA_CLARET,11,Dom,0.0
TA_CLARET,12,LV,3.0
TA_CLARET,12,Sab,0.0
TA_CLARET,12,Dom,0.0
