servicio,anio,mes_num,mes,afluencia,tipo_dato,fuente
Biotren,2026,1,Enero,781451.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,2,Febrero,746327.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,3,Marzo,1169450.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,4,Abril,1157284.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,5,Mayo,1039422.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,6,Junio,1058680.691289,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,7,Julio,978541.650333,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,8,Agosto,1093914.485,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,9,Septiembre,1019308.9545,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,10,Octubre,1086498.61,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,11,Noviembre,1086131.61,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2026,12,Diciembre,1037381.4545,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,1,Enero,47831.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,2,Febrero,55341.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,3,Marzo,39187.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,4,Abril,40219.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,5,Mayo,38996.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,6,Junio,34900.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,7,Julio,36509.38,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,8,Agosto,37955.67,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,9,Septiembre,36423.12,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,10,Octubre,44279.52,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,11,Noviembre,45333.88,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2026,12,Diciembre,46750.38,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,1,Enero,39424.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,2,Febrero,42486.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,3,Marzo,72866.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,4,Abril,80682.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,5,Mayo,74371.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,6,Junio,72037.0,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,7,Julio,63326.266667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,8,Agosto,62405.016667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,9,Septiembre,61647.916667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,10,Octubre,65493.716667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,11,Noviembre,64964.416667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2026,12,Diciembre,62492.116667,cierre_2026_estimado,Cierre-2026-EFESur.xlsx
Biotren,2025,1,Enero,895289.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,2,Febrero,735008.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,3,Marzo,1098261.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,4,Abril,1007173.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,5,Mayo,968459.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,6,Junio,919687.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,7,Julio,820579.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,8,Agosto,978368.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,9,Septiembre,928503.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,10,Octubre,1010594.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,11,Noviembre,937259.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2025,12,Diciembre,902604.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,1,Enero,855046.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,2,Febrero,782790.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,3,Marzo,1107393.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,4,Abril,1165612.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,5,Mayo,1064381.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,6,Junio,725422.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,7,Julio,979099.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,8,Agosto,931941.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,9,Septiembre,913921.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,10,Octubre,1141272.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,11,Noviembre,1065309.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2024,12,Diciembre,986111.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,1,Enero,575801.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,2,Febrero,499382.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,3,Marzo,908583.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,4,Abril,926197.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,5,Mayo,1077422.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,6,Junio,917543.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,7,Julio,885232.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,8,Agosto,979886.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,9,Septiembre,806283.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,10,Octubre,987360.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,11,Noviembre,1041355.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2023,12,Diciembre,945139.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,1,Enero,495114.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,2,Febrero,437562.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,3,Marzo,826830.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,4,Abril,821462.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,5,Mayo,917285.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,6,Junio,737235.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,7,Julio,668959.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,8,Agosto,901891.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,9,Septiembre,841169.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,10,Octubre,812585.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,11,Noviembre,926437.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2022,12,Diciembre,683318.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,1,Enero,166838.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,2,Febrero,178058.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,3,Marzo,240471.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,4,Abril,209478.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,5,Mayo,256783.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,6,Junio,271059.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,7,Julio,300110.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,8,Agosto,335343.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,9,Septiembre,351080.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,10,Octubre,422292.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,11,Noviembre,536376.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2021,12,Diciembre,545493.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,1,Enero,403668.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,2,Febrero,347483.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,3,Marzo,301199.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,4,Abril,142964.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,5,Mayo,143094.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,6,Junio,122195.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,7,Julio,94714.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,8,Agosto,168395.0,historico_observado,Cierre-2026-EFESur.xlsx
Biotren,2020,9,Septiembre,101192.0,historico_observado,Cierre-2026-EFESur.xlsx
