servicio,anio,tipo_dato,afluencia_anual
Biotren,2020,historico_observado,2372260.0
Biotren,2021,historico_observado,3813381.0
Biotren,2022,historico_observado,9069847.0
Biotren,2023,historico_observado,10550183.0
Biotren,2024,historico_observado,11718297.0
Biotren,2025,historico_observado,11201784.0
Biotren,2026,cierre_2026_estimado,12254391.455622
Laja Talcahuano,2020,historico_observado,204462.0
Laja Talcahuano,2021,historico_observado,274164.0
Laja Talcahuano,2022,historico_observado,469855.0
Laja Talcahuano,2023,historico_observado,539419.0
Laja Talcahuano,2024,historico_observado,602775.0
Laja Talcahuano,2025,historico_observado,524332.0
Laja Talcahuano,2026,cierre_2026_estimado,503725.95
Tren Araucanía,2020,historico_observado,98608.0
Tren Araucanía,2021,historico_observado,274164.0
Tren Araucanía,2022,historico_observado,476913.0
Tren Araucanía,2023,historico_observado,663111.0
Tren Araucanía,2024,historico_observado,726692.0
Tren Araucanía,2025,historico_observado,617538.0
Tren Araucanía,2026,cierre_2026_estimado,762195.450002
