origen,destino,tarifa_estudiante_bt_sin_subsidio,es_diagonal,origen_en_modelo,destino_en_modelo,tarifa_disponible,fuente
Hualqui,Hualqui,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,La Leonera,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Manquimávida,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Pedro Medina,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Chiguayante,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Concepción,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Lorenzo Arenas,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,UTFSM,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Los Cóndores,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Higueras,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,El Arenal,350,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Mercado,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Juan Pablo II,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Diagonal Biobío,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Costa Mar,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Huinca,570,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Cristo Redentor,590,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Laguna Quiñenco,580,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Intermodal Coronel,590,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Hualqui,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Hualqui,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,La Leonera,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Manquimávida,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Pedro Medina,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Chiguayante,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Concepción,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Lorenzo Arenas,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,UTFSM,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Los Cóndores,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Higueras,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,El Arenal,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Mercado,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Juan Pablo II,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Diagonal Biobío,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Costa Mar,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
La Leonera,Huinca,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
