origen,Hualqui,La Leonera,Manquimávida,Pedro Medina,Chiguayante,Concepción,Lorenzo Arenas,UTFSM,Los Cóndores,Higueras,El Arenal,Mercado,Juan Pablo II,Diagonal Biobío,Alborada,Costa Mar,El Parque,Lomas Coloradas,C. Raúl Silva H.,Hito Galvarino,Los Canelos,Huinca,Cristo Redentor,Laguna Quiñenco,Intermodal Coronel,Pasajero Lota
Hualqui,,500.0,500.0,500.0,500.0,550.0,550.0,560.0,560.0,560.0,580.0,580.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,910.0,910.0,960.0,960.0,970.0,970.0,
La Leonera,500.0,,420.0,420.0,420.0,510.0,510.0,540.0,540.0,540.0,550.0,550.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,900.0,900.0,910.0,910.0,910.0,910.0,
Manquimávida,500.0,420.0,,420.0,420.0,510.0,510.0,540.0,540.0,540.0,550.0,550.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,900.0,900.0,910.0,910.0,910.0,910.0,
Pedro Medina,500.0,420.0,420.0,,420.0,510.0,510.0,540.0,540.0,540.0,550.0,550.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,900.0,900.0,910.0,910.0,910.0,910.0,
Chiguayante,500.0,420.0,420.0,420.0,,510.0,510.0,540.0,540.0,540.0,550.0,550.0,590.0,590.0,590.0,590.0,590.0,590.0,590.0,900.0,900.0,910.0,910.0,910.0,910.0,
Concepción,550.0,510.0,510.0,510.0,510.0,,420.0,500.0,500.0,500.0,540.0,540.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,850.0,850.0,850.0,850.0,880.0,880.0,
Lorenzo Arenas,550.0,510.0,510.0,510.0,510.0,420.0,,500.0,500.0,500.0,540.0,540.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,850.0,850.0,850.0,850.0,880.0,880.0,
UTFSM,560.0,540.0,540.0,540.0,540.0,500.0,500.0,,420.0,420.0,490.0,490.0,560.0,560.0,560.0,590.0,590.0,590.0,590.0,870.0,870.0,880.0,880.0,900.0,900.0,
Los Cóndores,560.0,540.0,540.0,540.0,540.0,500.0,500.0,420.0,,420.0,490.0,490.0,560.0,560.0,560.0,590.0,590.0,590.0,590.0,870.0,870.0,880.0,880.0,900.0,900.0,
Higueras,560.0,540.0,540.0,540.0,540.0,500.0,500.0,420.0,420.0,,490.0,490.0,560.0,560.0,560.0,590.0,590.0,590.0,590.0,870.0,870.0,880.0,880.0,900.0,900.0,
El Arenal,580.0,550.0,550.0,550.0,550.0,540.0,540.0,490.0,490.0,490.0,,420.0,560.0,560.0,560.0,590.0,590.0,590.0,590.0,880.0,880.0,900.0,900.0,910.0,910.0,
