origen,destino,tarifa_versionada_anterior,tarifa_presupuesto_2026_normalizada,diferencia_nueva_menos_anterior
Hualqui,La Leonera,500,320,-180
Hualqui,Manquimávida,500,320,-180
Hualqui,Pedro Medina,500,320,-180
Hualqui,Chiguayante,500,320,-180
Hualqui,Concepción,550,330,-220
Hualqui,Lorenzo Arenas,550,330,-220
Hualqui,UTFSM,560,340,-220
Hualqui,Los Cóndores,560,350,-210
Hualqui,Higueras,560,350,-210
Hualqui,El Arenal,580,350,-230
Hualqui,Mercado,580,360,-220
Hualqui,Juan Pablo II,600,370,-230
Hualqui,Diagonal Biobío,600,370,-230
Hualqui,Alborada,600,370,-230
Hualqui,Costa Mar,600,360,-240
Hualqui,El Parque,600,370,-230
Hualqui,Lomas Coloradas,600,370,-230
Hualqui,C. Raúl Silva H.,600,370,-230
Hualqui,Hito Galvarino,910,370,-540
Hualqui,Los Canelos,910,560,-350
Hualqui,Huinca,960,570,-390
Hualqui,Cristo Redentor,960,590,-370
Hualqui,Laguna Quiñenco,970,580,-390
Hualqui,Intermodal Coronel,970,590,-380
La Leonera,Hualqui,500,320,-180
La Leonera,Manquimávida,420,290,-130
La Leonera,Pedro Medina,420,290,-130
La Leonera,Chiguayante,420,290,-130
La Leonera,Concepción,510,320,-190
La Leonera,Lorenzo Arenas,510,320,-190
La Leonera,UTFSM,540,320,-220
La Leonera,Los Cóndores,540,330,-210
La Leonera,Higueras,540,330,-210
La Leonera,El Arenal,550,330,-220
La Leonera,Mercado,550,340,-210
La Leonera,Juan Pablo II,590,360,-230
La Leonera,Diagonal Biobío,590,370,-220
La Leonera,Alborada,590,370,-220
La Leonera,Costa Mar,590,370,-220
La Leonera,El Parque,590,370,-220
La Leonera,Lomas Coloradas,590,370,-220
La Leonera,C. Raúl Silva H.,590,370,-220
La Leonera,Hito Galvarino,900,370,-530
La Leonera,Los Canelos,900,560,-340
La Leonera,Huinca,910,550,-360
La Leonera,Cristo Redentor,910,550,-360
La Leonera,Laguna Quiñenco,910,550,-360
La Leonera,Intermodal Coronel,910,560,-350
Manquimávida,Hualqui,500,320,-180
Manquimávida,La Leonera,420,290,-130
Manquimávida,Pedro Medina,420,290,-130
Manquimávida,Chiguayante,420,290,-130
Manquimávida,Concepción,510,320,-190
Manquimávida,Lorenzo Arenas,510,320,-190
Manquimávida,UTFSM,540,320,-220
Manquimávida,Los Cóndores,540,330,-210
Manquimávida,Higueras,540,330,-210
Manquimávida,El Arenal,550,330,-220
Manquimávida,Mercado,550,340,-210
Manquimávida,Juan Pablo II,590,360,-230
Manquimávida,Diagonal Biobío,590,370,-220
Manquimávida,Alborada,590,370,-220
Manquimávida,Costa Mar,590,370,-220
Manquimávida,El Parque,590,370,-220
Manquimávida,Lomas Coloradas,590,370,-220
Manquimávida,C. Raúl Silva H.,590,370,-220
Manquimávida,Hito Galvarino,900,370,-530
Manquimávida,Los Canelos,900,560,-340
Manquimávida,Huinca,910,550,-360
Manquimávida,Cristo Redentor,910,550,-360
Manquimávida,Laguna Quiñenco,910,550,-360
Manquimávida,Intermodal Coronel,910,560,-350
Pedro Medina,Hualqui,500,320,-180
Pedro Medina,La Leonera,420,290,-130
Pedro Medina,Manquimávida,420,290,-130
Pedro Medina,Chiguayante,420,290,-130
Pedro Medina,Concepción,510,320,-190
Pedro Medina,Lorenzo Arenas,510,320,-190
Pedro Medina,UTFSM,540,320,-220
Pedro Medina,Los Cóndores,540,330,-210
Pedro Medina,Higueras,540,330,-210
Pedro Medina,El Arenal,550,330,-220
Pedro Medina,Mercado,550,340,-210
Pedro Medina,Juan Pablo II,590,360,-230
Pedro Medina,Diagonal Biobío,590,370,-220
Pedro Medina,Alborada,590,370,-220
Pedro Medina,Costa Mar,590,370,-220
Pedro Medina,El Parque,590,370,-220
Pedro Medina,Lomas Coloradas,590,370,-220
Pedro Medina,C. Raúl Silva H.,590,370,-220
