fecha,anio,mes,TA_TEMUCO_VICTORIA,TA_TEMUCO_PITRUFQUEN,TA_CLARET,total,share_TA_TEMUCO_VICTORIA,share_TA_TEMUCO_PITRUFQUEN,share_TA_CLARET
2024-05-01,2024,5,40459,7671,17957,66087,0.6122081498630593,0.11607426574061465,0.27171758439632604
2024-06-01,2024,6,28007,5970,13536,47513,0.5894597268116094,0.12564982215393683,0.2848904510344537
2024-07-01,2024,7,32281,7674,20873,60828,0.5306931018609851,0.12615900572104952,0.3431478924179654
2024-08-01,2024,8,29459,8756,21980,60195,0.4893928067115209,0.14546058642744414,0.36514660686103495
2024-09-01,2024,9,27316,8166,18225,53707,0.5086115403951068,0.1520472191706854,0.3393412404342078
2024-10-01,2024,10,34773,11646,21347,67766,0.5131334297435292,0.17185609302600124,0.31501047723046954
2024-11-01,2024,11,34674,11397,19837,65908,0.5260969836742125,0.17292286217151182,0.30098015415427565
2024-12-01,2024,12,31631,8564,7809,48004,0.658924256311974,0.1784017998500125,0.1626739438380135
2025-01-01,2025,1,33140,10193,0,43333,0.7647751136547204,0.23522488634527958,0.0
2025-02-01,2025,2,30730,12158,0,42888,0.7165174407759747,0.2834825592240254,0.0
2025-03-01,2025,3,28608,9945,24612,63165,0.45290904773213014,0.15744478746141058,0.38964616480645925
2025-04-01,2025,4,25014,9730,27944,62688,0.39902373660030627,0.15521311893823378,0.4457631444614599
2025-05-01,2025,5,24753,9304,25326,59383,0.41683646834952764,0.15667783709142347,0.4264856945590489
2025-06-01,2025,6,23047,8534,14630,46211,0.4987340676462314,0.18467464456514682,0.3165912877886218
2025-07-01,2025,7,22857,10457,22634,55948,0.4085400729248588,0.18690569814828054,0.40455422892686066
2025-08-01,2025,8,20401,8298,22888,51587,0.39546785042743327,0.16085447884156862,0.4436776707309981
2025-09-01,2025,9,17309,8330,19068,44707,0.3871653208669783,0.18632428926118952,0.42651038987183215
2025-10-01,2025,10,19358,10686,22874,52918,0.36581125514947654,0.20193506935258324,0.4322536754979402
2025-11-01,2025,11,20429,10358,19965,50752,0.4025260088272383,0.2040904791929382,0.39338351197982346
2025-12-01,2025,12,27229,9545,7069,43843,0.6210569532194421,0.21770864220057934,0.16123440457997856
2026-01-01,2026,1,30855,8561,0,39416,0.7828039374873148,0.2171960625126852,0.0
2026-02-01,2026,2,33759,8719,0,42478,0.7947408070059796,0.20525919299402043,0.0
2026-03-01,2026,3,32525,9046,31287,72858,0.44641631667078424,0.1241593236158006,0.42942435971341514
2026-04-01,2026,4,41139,11376,28154,80669,0.5099728520249415,0.14102071427685975,0.34900643369819884
2026-05-01,2026,5,40663,9732,23969,74364,0.5468102845462859,0.13086977569791836,0.3223199397557958
