mes,servicio,proyeccion_anterior,proyeccion_recalibrada,proyeccion_vigente_pre_redistribucion,diferencia,factor_o_ajuste_aplicado,periodo
1,BIOTREN,776005.2993013947,964083.0,939864.2019511156,24218.798048884375,"base=0.985285; impacto_l2_fds=70267; ajuste_ocupacion=163859; redistribucion_participacion=24219; servicios_comerciales=3545; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-01
2,BIOTREN,737118.4159516896,877878.0,876200.9714540172,1677.0285459827865,"base=0.985285; impacto_l2_fds=56533; ajuste_ocupacion=139083; redistribucion_participacion=1677; servicios_comerciales=3452; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-02
3,BIOTREN,1235382.1781312937,1228842.0,1235382.1781312937,-6540.178131293738,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-6540; servicios_comerciales=3699; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-03
4,BIOTREN,1225538.4954370204,1211538.0,1225538.4954370204,-14000.495437020436,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-14000; servicios_comerciales=3760; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-04
5,BIOTREN,1174997.360906239,1122976.0,1174997.360906239,-52021.3609062389,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-52021; servicios_comerciales=3544; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-05
6,BIOTREN,1022044.7562630655,1035920.0,1034998.8869763782,921.1130236218451,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=12954; redistribucion_participacion=921; servicios_comerciales=3512; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-06
7,BIOTREN,991824.8808192116,1045852.0,1044033.101141743,1818.8988582569873,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=52208; redistribucion_participacion=1819; servicios_comerciales=3730; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-07
8,BIOTREN,1155146.1465741917,1132173.0,1155146.1465741917,-22973.14657419175,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-22973; servicios_comerciales=3826; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-08
9,BIOTREN,1084389.1535286796,1071312.0,1084389.1535286796,-13077.153528679628,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-13077; servicios_comerciales=3576; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-09
10,BIOTREN,1172083.7578422085,1171792.0,1172083.7578422085,-291.75784220849164,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=0; redistribucion_participacion=-292; servicios_comerciales=3573; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-10
11,BIOTREN,1093539.622866871,1136444.0,1096479.1172378366,39964.88276216341,"base=0.985285; impacto_l2_fds=0; ajuste_ocupacion=2939; redistribucion_participacion=39965; servicios_comerciales=3669; criterio=participación histórica reciente, oferta mensual y conservación del total anual",2027-11
