unit,mes,dt,servicios_dia,tasa_sup,pax_x_viaje,n_dias,servicio,nivel_factor,elasticidad,f_sup_base,viajes_programados_base,viajes_operados_base,afl_base_sin_estacionalidad,servicios_dia_plan,f_sup_plan,viajes_programados_plan,viajes_operados_plan,factor_estacionalidad,participacion_historica_utilizada,fuerza_estacionalidad,demanda_base_mensual,ratio_oferta_operada,afl,pax_por_viaje_resultante,pax_por_viaje_base,variacion_servicios_dia,variacion_pct_oferta_operada,variacion_pct_demanda,periodo
BIOTREN_L1,1,Dom,0.0,0.0,414.1,5,BIOTREN,0.972,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1085826410194541,0.07203324264547414,0.55,0.0,,0.0,,,0.0,,,2027-01
BIOTREN_L1,1,LV,40.0,0.0287,164.1,21,BIOTREN,0.972,0.55,0.9713,840.0,815.892,130139.01663840002,40.0,0.9713,840.0,815.892,1.1085826410194541,0.07203324264547414,0.55,144269.85476467217,1.0,144269.85476467217,176.82469587233624,176.82469587233624,0.0,0.0,0.0,2027-01
BIOTREN_L1,1,Sab,8.0,0.0,426.6,5,BIOTREN,0.972,0.55,1.0,40.0,40.0,16586.208,8.0,1.0,40.0,40.0,1.1085826410194541,0.07203324264547414,0.55,18387.182269137997,1.0,18387.182269137997,459.67955672844994,459.67955672844994,0.0,0.0,0.0,2027-01
BIOTREN_L1,2,Dom,0.0,0.0,414.1,4,BIOTREN,0.972,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0790515568682049,0.06485400683704386,0.55,0.0,,0.0,,,0.0,,,2027-02
BIOTREN_L1,2,LV,40.0,0.0,159.0,20,BIOTREN,0.972,0.55,1.0,800.0,800.0,123638.4,40.0,1.0,800.0,800.0,1.0790515568682049,0.06485400683704386,0.55,133412.20800869385,1.0,133412.20800869385,166.7652600108673,166.7652600108673,0.0,0.0,0.0,2027-02
BIOTREN_L1,2,Sab,8.0,0.0,453.2,4,BIOTREN,0.972,0.55,1.0,32.0,32.0,14096.3328,8.0,1.0,32.0,32.0,1.0790515568682049,0.06485400683704386,0.55,15210.669853972342,1.0,15210.669853972342,475.3334329366357,475.3334329366357,0.0,0.0,0.0,2027-02
BIOTREN_L1,3,Dom,0.0,0.0,459.5,4,BIOTREN,0.972,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0637006473834945,0.09828478786854365,0.55,0.0,,0.0,,,0.0,,,2027-03
BIOTREN_L1,3,LV,40.0,0.0246,227.8,23,BIOTREN,0.972,0.55,0.9754,920.0,897.368,198696.6583488,40.0,0.9754,920.0,897.368,1.0637006473834945,0.09828478786854365,0.55,211353.76411855558,1.0,211353.76411855558,235.52629926468916,235.52629926468916,0.0,0.0,0.0,2027-03
BIOTREN_L1,3,Sab,8.0,0.0,516.8,4,BIOTREN,0.972,0.55,1.0,32.0,32.0,16074.547199999999,8.0,1.0,32.0,32.0,1.0637006473834945,0.09828478786854365,0.55,17098.506263036536,1.0,17098.506263036536,534.3283207198917,534.3283207198917,0.0,0.0,0.0,2027-03
BIOTREN_L1,4,Dom,0.0,0.0,414.1,4,BIOTREN,0.972,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9868656752543946,0.09702542736958793,0.55,0.0,,0.0,,,0.0,,,2027-04
BIOTREN_L1,4,LV,40.0,0.0602,245.2,22,BIOTREN,0.972,0.55,0.9398,880.0,827.024,197108.26882559998,40.0,0.9398,880.0,827.024,0.9868656752543946,0.09702542736958793,0.55,194519.38481280048,1.0,194519.38481280048,235.20403859235097,235.20403859235097,0.0,0.0,0.0,2027-04
BIOTREN_L1,4,Sab,8.0,0.0,455.1,4,BIOTREN,0.972,0.55,1.0,32.0,32.0,14155.430400000001,8.0,1.0,32.0,32.0,0.9868656752543946,0.09702542736958793,0.55,13969.508380212586,1.0,13969.508380212586,436.5471368816433,436.5471368816433,0.0,0.0,0.0,2027-04
BIOTREN_L1,5,Dom,0.0,0.0,414.1,5,BIOTREN,0.972,0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9647707658372521,0.08933552600223983,0.55,0.0,,0.0,,,0.0,,,2027-05
