mes,afluencia_2027_vigente,participacion_2027_vigente,participacion_2024,participacion_2025,participacion_cierre_2026,participacion_promedio_reciente,participacion_ponderada_reciente,participacion_2027_redistribuida,diferencia_pp_vs_ponderado_vigente,afluencia_2027_redistribuida,diferencia_afluencia,servicios_comerciales_2027,pasajeros_por_servicio_vigente,pasajeros_por_servicio_redistribuido,diagnostico,recomendacion,observacion_metodologica
1,939864.2019511156,0.07177110886738873,0.07296674593586423,0.07992378713961991,0.06376905804175942,0.07221986370574786,0.0717226351995368,0.07362054123391913,0.004847366785193374,964083.0,24218.798048884375,3545.0,265.12389335715534,271.95571227080393,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
2,876200.9714540172,0.06690957606576536,0.0668006622463998,0.0656152627117252,0.06090282024225726,0.06443958173346075,0.06402663560760669,0.06703764457764576,0.2882940458158678,877878.0,1677.0285459827865,3452.0,253.82415163789605,254.30996523754345,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
3,1235382.1781312937,0.0943378294602868,0.09450118903796345,0.0980434009439925,0.09543109539425447,0.09599189512540347,0.09611292574759003,0.0938384072024625,-0.17750962873032267,1228842.0,-6540.178131293738,3699.0,333.9773393163811,332.20924574209243,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
4,1225538.4954370204,0.0935861336080136,0.09946940242255338,0.08991183904278104,0.09443830843750856,0.09460651663428099,0.09411181764561513,0.09251701698449191,-0.05256840376015315,1211538.0,-14000.495437020436,3760.0,325.9410892119735,322.21755319148934,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
5,1174997.360906239,0.08972664703414499,0.09083068981781227,0.0864557824003748,0.08482036858086003,0.08736894693301571,0.08689534372692825,0.08575413207441845,0.28313033072167315,1122976.0,-52021.3609062389,3544.0,331.54553072975136,316.8668171557562,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
6,1034998.8869763782,0.07903590501755425,0.06190507033573223,0.08210183306516176,0.08639194325747644,0.07679961555279015,0.07876868645973026,0.07910625026583967,0.026721855782399495,1035920.0,921.1130236218451,3512.0,294.70355551719194,294.96583143507974,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
7,1044033.101141743,0.07972578720164815,0.08355301115853268,0.07325431377716264,0.07985232509314612,0.07888655000961381,0.07846819264889854,0.07986469037476732,0.12575945527496107,1045852.0,1818.8988582569873,3730.0,279.9016356948373,280.3892761394102,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
8,1155146.1465741917,0.08821074328760638,0.07952870626166925,0.08734037364048441,0.08926714059702574,0.08537874016639313,0.08615816357839716,0.08645644517166046,0.2052579709209218,1132173.0,-22973.14657419175,3826.0,301.92005921960055,295.9155776267642,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
9,1084389.1535286796,0.08280750754306351,0.07799094015111581,0.08288885056166054,0.08317907569635921,0.08135295546971186,0.08178046301290381,0.08180889951424553,0.10270445301596987,1071312.0,-13077.153528679628,3576.0,303.2408147451565,299.5838926174497,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
10,1172083.7578422085,0.08950415476103706,0.09739230879708886,0.09021723682584845,0.08866197998771636,0.09209050853688455,0.09138890208340572,0.08948188200971967,-0.18847473223686656,1171792.0,-291.75784220849164,3573.0,328.0391149852249,327.957458718164,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
11,1096479.1172378366,0.08373073677104279,0.0909098822124068,0.08367051176848259,0.08863203154014725,0.08773747517367887,0.0874649622881295,0.08678259274568682,-0.37342255170867145,1136444.0,39964.88276216341,3669.0,298.8495822398028,309.7421640774053,Participación 2027 vigente bajo el patrón reciente.,Aumentar participación usando promedio ponderado reciente y oferta mensual.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
12,1056186.628819276,0.08065387038244837,0.08415139162286124,0.08057680812270616,0.08465385313148911,0.08312735095901884,0.08310127200125811,0.08373149784514275,-0.24474016188097414,1096489.0,40302.37118072389,3765.0,280.52765705691263,291.2321381142098,Participación 2027 vigente dentro del rango reciente.,Mantener ajuste acotado por oferta y suavización.,Participación objetivo combina 80% patrón histórico ponderado 2024-2026 y 20% participación de servicios comerciales 2027; total anual Biotren conservado.
