servicio,indicador,valor
BIOTREN,total_pre_ajuste_ocupacion,12673200.020848522
BIOTREN,total_anterior_motor,12991161.62555808
BIOTREN,total_intermedio_base,12800000.000000002
BIOTREN,total_recalibrado,13095299.0
BIOTREN,total_vigente_pre_redistribucion,13095300.0
BIOTREN,servicios_comerciales_anuales,43651.0
BIOTREN,pasajeros_por_servicio_pre_ajuste_ocupacion,290.33011891705854
BIOTREN,pasajeros_por_servicio_recalibrado,299.9999770910174
BIOTREN,objetivo_ocupacion_pasajeros_por_servicio,300.0
BIOTREN,objetivo_total_ocupacion,13095300.0
BIOTREN,impacto_l2_fds_ene_feb,126799.97915148106
BIOTREN,ajuste_ocupacion_total,422099.9791514781
BIOTREN,participaciones_redistribuidas_suman,0.9999999999999999
LLANQUIHUE_PM,total_anterior,420852.0564
LLANQUIHUE_PM,total_recalibrado,412132.0025562038
LLANQUIHUE_PM,promedio_laboral_mar_dic,1499.8438400778057
TREN_ARAUCANIA,servicios_lv_victoria_temuco,11.0
TREN_ARAUCANIA,ratio_marzo_vs_promedio_abr_dic,1.1543110522200917
TREN_ARAUCANIA,ratio_marzo_vs_promedio_anual,1.175318499231611
