nombre_original_o_clave,nombre_homologado,criterio
alborada,Alborada,"normalización de tildes, mayúsculas y equivalencias de estación"
c raul silva h,C. Raúl Silva H.,"normalización de tildes, mayúsculas y equivalencias de estación"
raul silva h,C. Raúl Silva H.,"normalización de tildes, mayúsculas y equivalencias de estación"
chiguayante,Chiguayante,"normalización de tildes, mayúsculas y equivalencias de estación"
concepcion,Concepción,"normalización de tildes, mayúsculas y equivalencias de estación"
concepcion centro,Concepción Centro,"normalización de tildes, mayúsculas y equivalencias de estación"
mall,Concepción Centro,"normalización de tildes, mayúsculas y equivalencias de estación"
costa mar,Costa Mar,"normalización de tildes, mayúsculas y equivalencias de estación"
cristo redentor,Cristo Redentor,"normalización de tildes, mayúsculas y equivalencias de estación"
diagonal bio bio,Diagonal Biobío,"normalización de tildes, mayúsculas y equivalencias de estación"
diagonal biobio,Diagonal Biobío,"normalización de tildes, mayúsculas y equivalencias de estación"
arenal,El Arenal,"normalización de tildes, mayúsculas y equivalencias de estación"
el arenal,El Arenal,"normalización de tildes, mayúsculas y equivalencias de estación"
el parque,El Parque,"normalización de tildes, mayúsculas y equivalencias de estación"
megacentro,El Parque,"normalización de tildes, mayúsculas y equivalencias de estación"
higueras,Higueras,"normalización de tildes, mayúsculas y equivalencias de estación"
hito galvarino,Hito Galvarino,"normalización de tildes, mayúsculas y equivalencias de estación"
hualqui,Hualqui,"normalización de tildes, mayúsculas y equivalencias de estación"
huinca,Huinca,"normalización de tildes, mayúsculas y equivalencias de estación"
coronel,Intermodal Coronel,"normalización de tildes, mayúsculas y equivalencias de estación"
intermodal coronel,Intermodal Coronel,"normalización de tildes, mayúsculas y equivalencias de estación"
juan pablo ii,Juan Pablo II,"normalización de tildes, mayúsculas y equivalencias de estación"
la leonera,La Leonera,"normalización de tildes, mayúsculas y equivalencias de estación"
leonera,La Leonera,"normalización de tildes, mayúsculas y equivalencias de estación"
valle del sol,La Leonera,"normalización de tildes, mayúsculas y equivalencias de estación"
lag quinenco,Laguna Quiñenco,"normalización de tildes, mayúsculas y equivalencias de estación"
laguna quinenco,Laguna Quiñenco,"normalización de tildes, mayúsculas y equivalencias de estación"
lomas coloradas,Lomas Coloradas,"normalización de tildes, mayúsculas y equivalencias de estación"
lorenzo arenas,Lorenzo Arenas,"normalización de tildes, mayúsculas y equivalencias de estación"
los canelos,Los Canelos,"normalización de tildes, mayúsculas y equivalencias de estación"
los condores,Los Cóndores,"normalización de tildes, mayúsculas y equivalencias de estación"
manquimavida,Manquimávida,"normalización de tildes, mayúsculas y equivalencias de estación"
mercado,Mercado,"normalización de tildes, mayúsculas y equivalencias de estación"
mercado de thno,Mercado,"normalización de tildes, mayúsculas y equivalencias de estación"
lota,Pasajero Lota,"normalización de tildes, mayúsculas y equivalencias de estación"
pasajero lota,Pasajero Lota,"normalización de tildes, mayúsculas y equivalencias de estación"
pedro medina,Pedro Medina,"normalización de tildes, mayúsculas y equivalencias de estación"
utfsm,UTFSM,"normalización de tildes, mayúsculas y equivalencias de estación"
