,Alborada,C. Raúl Silva H.,Chiguayante,Concepción,Costa Mar,Cristo Redentor,Diagonal Biobío,El Arenal,El Parque,Higueras,Hito Galvarino,Hualqui,Huinca,Intermodal Coronel,Juan Pablo II,La Leonera,Laguna Quiñenco,Lomas Coloradas,Lorenzo Arenas,Los Canelos,Los Cóndores,Manquimávida,Mercado,Pedro Medina,UTFSM
Alborada,0.0,6.074999999999999,17.299999999999997,7.199999999999999,0.8000000000000007,17.349999999999998,2.1999999999999993,20.3,2.4499999999999993,17.1,12.355,30.7,16.179999999999996,20.080000000000002,4.199999999999999,22.8,18.94,4.099999999999998,10.2,15.315000000000001,15.1,20.4,21.7,18.7,13.1
C. Raúl Silva H.,6.074999999999999,0.0,23.374999999999996,13.274999999999999,5.274999999999999,11.274999999999999,8.274999999999999,26.375,3.625,23.175,6.280000000000001,36.775,10.104999999999997,14.005000000000003,10.274999999999999,28.875,12.865000000000002,1.9750000000000014,16.275,9.240000000000002,21.174999999999997,26.474999999999998,27.775,24.775,19.174999999999997
Chiguayante,17.299999999999997,23.374999999999996,0.0,10.1,18.099999999999998,34.64999999999999,15.1,23.3,19.749999999999996,20.0,29.654999999999998,13.4,33.47999999999999,37.379999999999995,13.1,5.5,36.239999999999995,21.399999999999995,13.1,32.614999999999995,18.0,3.1,24.700000000000003,1.4,16.0
Concepción,7.199999999999999,13.274999999999999,10.1,0.0,8.0,24.549999999999997,5.0,13.1,9.649999999999999,9.9,19.555,23.5,23.379999999999995,27.28,3.0,15.6,26.14,11.299999999999997,3.0,22.515,7.9,13.2,14.5,11.5,5.9
Costa Mar,0.8000000000000007,5.274999999999999,18.099999999999998,8.0,0.0,16.549999999999997,3.0,21.1,1.6499999999999986,17.900000000000002,11.555,31.5,15.379999999999995,19.28,5.0,23.6,18.14,3.299999999999997,11.0,14.515,15.9,21.2,22.5,19.5,13.9
Cristo Redentor,17.349999999999998,11.274999999999999,34.64999999999999,24.549999999999997,16.549999999999997,0.0,19.549999999999997,37.65,14.899999999999999,34.45,4.994999999999997,48.05,1.1700000000000017,2.730000000000004,21.549999999999997,40.15,1.5900000000000034,13.25,27.549999999999997,2.0349999999999966,32.449999999999996,37.74999999999999,39.05,36.05,30.449999999999996
Diagonal Biobío,2.1999999999999993,8.274999999999999,15.1,5.0,3.0,19.549999999999997,0.0,18.1,4.649999999999999,14.9,14.555,28.5,18.379999999999995,22.28,2.0,20.6,21.14,6.299999999999997,8.0,17.515,12.9,18.2,19.5,16.5,10.9
El Arenal,20.3,26.375,23.3,13.1,21.1,37.65,18.1,0.0,22.75,3.2,32.655,36.6,36.48,40.38,16.1,28.7,39.24,24.4,10.1,35.615,5.2,26.3,1.3999999999999986,24.6,7.2
El Parque,2.4499999999999993,3.625,19.749999999999996,9.649999999999999,1.6499999999999986,14.899999999999999,4.649999999999999,22.75,0.0,19.55,9.905000000000001,33.15,13.729999999999997,17.630000000000003,6.649999999999999,25.25,16.490000000000002,1.6499999999999986,12.649999999999999,12.865000000000002,17.549999999999997,22.849999999999998,24.15,21.15,15.549999999999999
Higueras,17.1,23.175,20.0,9.9,17.900000000000002,34.45,14.9,3.2,19.55,0.0,29.455000000000002,33.4,33.28,37.18000000000001,12.9,25.5,36.040000000000006,21.2,6.9,32.415000000000006,2.0,23.1,4.6,21.400000000000002,4.0
