,Alborada,C. Raúl Silva H.,Chiguayante,Concepción,Costa Mar,Cristo Redentor,Diagonal Biobío,El Arenal,El Parque,Higueras,Hito Galvarino,Hualqui,Huinca,Intermodal Coronel,Juan Pablo II,La Leonera,Laguna Quiñenco,Lomas Coloradas,Lorenzo Arenas,Los Canelos,Los Cóndores,Manquimávida,Mercado,Pedro Medina,UTFSM
Alborada,440.0,510.0,590.0,570.0,510.0,680.0,440.0,560.0,510.0,560.0,650.0,600.0,680.0,790.0,440.0,590.0,790.0,510.0,570.0,650.0,560.0,590.0,560.0,590.0,560.0
C. Raúl Silva H.,510.0,430.0,590.0,570.0,430.0,630.0,510.0,590.0,430.0,590.0,610.0,600.0,630.0,650.0,510.0,590.0,650.0,430.0,570.0,610.0,590.0,590.0,590.0,590.0,590.0
Chiguayante,590.0,590.0,420.0,510.0,590.0,910.0,590.0,550.0,590.0,540.0,900.0,500.0,910.0,910.0,590.0,420.0,910.0,590.0,510.0,900.0,540.0,420.0,550.0,420.0,540.0
Concepción,570.0,570.0,510.0,420.0,570.0,850.0,570.0,540.0,570.0,500.0,850.0,550.0,850.0,880.0,570.0,510.0,880.0,570.0,420.0,850.0,500.0,510.0,540.0,510.0,500.0
Costa Mar,510.0,430.0,590.0,570.0,430.0,630.0,510.0,590.0,430.0,590.0,610.0,600.0,630.0,650.0,510.0,590.0,650.0,430.0,570.0,610.0,590.0,590.0,590.0,590.0,590.0
Cristo Redentor,680.0,630.0,910.0,850.0,630.0,440.0,680.0,900.0,630.0,880.0,460.0,960.0,440.0,450.0,680.0,910.0,450.0,630.0,850.0,460.0,880.0,910.0,900.0,910.0,880.0
Diagonal Biobío,440.0,510.0,590.0,570.0,510.0,680.0,440.0,560.0,510.0,560.0,650.0,600.0,680.0,790.0,440.0,590.0,790.0,510.0,570.0,650.0,560.0,590.0,560.0,590.0,560.0
El Arenal,560.0,590.0,550.0,540.0,590.0,900.0,560.0,420.0,590.0,490.0,880.0,580.0,900.0,910.0,560.0,550.0,910.0,590.0,540.0,880.0,490.0,550.0,420.0,550.0,490.0
El Parque,510.0,430.0,590.0,570.0,430.0,630.0,510.0,590.0,430.0,590.0,610.0,600.0,630.0,650.0,510.0,590.0,650.0,430.0,570.0,610.0,590.0,590.0,590.0,590.0,590.0
Higueras,560.0,590.0,540.0,500.0,590.0,880.0,560.0,490.0,590.0,420.0,870.0,560.0,880.0,900.0,560.0,540.0,900.0,590.0,500.0,870.0,420.0,540.0,490.0,540.0,420.0
Hito Galvarino,650.0,610.0,900.0,850.0,610.0,460.0,650.0,880.0,610.0,870.0,440.0,910.0,460.0,530.0,650.0,900.0,530.0,610.0,850.0,440.0,870.0,900.0,880.0,900.0,870.0
Hualqui,600.0,600.0,500.0,550.0,600.0,960.0,600.0,580.0,600.0,560.0,910.0,430.0,960.0,970.0,600.0,500.0,970.0,600.0,550.0,910.0,560.0,500.0,580.0,500.0,560.0
Huinca,680.0,630.0,910.0,850.0,630.0,440.0,680.0,900.0,630.0,880.0,460.0,960.0,440.0,450.0,680.0,910.0,450.0,630.0,850.0,460.0,880.0,910.0,900.0,910.0,880.0
Intermodal Coronel,790.0,650.0,910.0,880.0,650.0,450.0,790.0,910.0,650.0,900.0,530.0,970.0,450.0,440.0,790.0,910.0,440.0,650.0,880.0,530.0,900.0,910.0,910.0,910.0,900.0
Juan Pablo II,440.0,510.0,590.0,570.0,510.0,680.0,440.0,560.0,510.0,560.0,650.0,600.0,680.0,790.0,440.0,590.0,790.0,510.0,570.0,650.0,560.0,590.0,560.0,590.0,560.0
La Leonera,590.0,590.0,420.0,510.0,590.0,910.0,590.0,550.0,590.0,540.0,900.0,500.0,910.0,910.0,590.0,420.0,910.0,590.0,510.0,900.0,540.0,420.0,550.0,420.0,540.0
Laguna Quiñenco,790.0,650.0,910.0,880.0,650.0,450.0,790.0,910.0,650.0,900.0,530.0,970.0,450.0,440.0,790.0,910.0,440.0,650.0,880.0,530.0,900.0,910.0,910.0,910.0,900.0
Lomas Coloradas,510.0,430.0,590.0,570.0,430.0,630.0,510.0,590.0,430.0,590.0,610.0,600.0,630.0,650.0,510.0,590.0,650.0,430.0,570.0,610.0,590.0,590.0,590.0,590.0,590.0
Lorenzo Arenas,570.0,570.0,510.0,420.0,570.0,850.0,570.0,540.0,570.0,500.0,850.0,550.0,850.0,880.0,570.0,510.0,880.0,570.0,420.0,850.0,500.0,510.0,540.0,510.0,500.0
Los Canelos,650.0,610.0,900.0,850.0,610.0,460.0,650.0,880.0,610.0,870.0,440.0,910.0,460.0,530.0,650.0,900.0,530.0,610.0,850.0,440.0,870.0,900.0,880.0,900.0,870.0
Los Cóndores,560.0,590.0,540.0,500.0,590.0,880.0,560.0,490.0,590.0,420.0,870.0,560.0,880.0,900.0,560.0,540.0,900.0,590.0,500.0,870.0,420.0,540.0,490.0,540.0,420.0
Manquimávida,590.0,590.0,420.0,510.0,590.0,910.0,590.0,550.0,590.0,540.0,900.0,500.0,910.0,910.0,590.0,420.0,910.0,590.0,510.0,900.0,540.0,420.0,550.0,420.0,540.0
Mercado,560.0,590.0,550.0,540.0,590.0,900.0,560.0,420.0,590.0,490.0,880.0,580.0,900.0,910.0,560.0,550.0,910.0,590.0,540.0,880.0,490.0,550.0,420.0,550.0,490.0
Pedro Medina,590.0,590.0,420.0,510.0,590.0,910.0,590.0,550.0,590.0,540.0,900.0,500.0,910.0,910.0,590.0,420.0,910.0,590.0,510.0,900.0,540.0,420.0,550.0,420.0,540.0
UTFSM,560.0,590.0,540.0,500.0,590.0,880.0,560.0,490.0,590.0,420.0,870.0,560.0,880.0,900.0,560.0,540.0,900.0,590.0,500.0,870.0,420.0,540.0,490.0,540.0,420.0
