anio,mes,bloque,origen,destino,viajes
2023,1,Total Mes Tarjetas,Alborada,Alborada,85.0
2023,1,Total Mes Tarjetas,Alborada,C. Raúl Silva H.,404.0
2023,1,Total Mes Tarjetas,Alborada,Chiguayante,51.0
2023,1,Total Mes Tarjetas,Alborada,Concepción,793.0
2023,1,Total Mes Tarjetas,Alborada,Costa Mar,94.0
2023,1,Total Mes Tarjetas,Alborada,Cristo Redentor,495.0
2023,1,Total Mes Tarjetas,Alborada,Diagonal Biobío,373.0
2023,1,Total Mes Tarjetas,Alborada,El Arenal,51.0
2023,1,Total Mes Tarjetas,Alborada,El Parque,102.0
2023,1,Total Mes Tarjetas,Alborada,Higueras,31.0
2023,1,Total Mes Tarjetas,Alborada,Hito Galvarino,292.0
2023,1,Total Mes Tarjetas,Alborada,Hualqui,60.0
2023,1,Total Mes Tarjetas,Alborada,Huinca,180.0
2023,1,Total Mes Tarjetas,Alborada,Intermodal Coronel,415.0
2023,1,Total Mes Tarjetas,Alborada,Juan Pablo II,485.0
2023,1,Total Mes Tarjetas,Alborada,La Leonera,74.0
2023,1,Total Mes Tarjetas,Alborada,Laguna Quiñenco,430.0
2023,1,Total Mes Tarjetas,Alborada,Lomas Coloradas,510.0
2023,1,Total Mes Tarjetas,Alborada,Lorenzo Arenas,24.0
2023,1,Total Mes Tarjetas,Alborada,Los Canelos,512.0
2023,1,Total Mes Tarjetas,Alborada,Los Cóndores,52.0
2023,1,Total Mes Tarjetas,Alborada,Manquimávida,66.0
2023,1,Total Mes Tarjetas,Alborada,Mercado,20.0
2023,1,Total Mes Tarjetas,Alborada,Pedro Medina,24.0
2023,1,Total Mes Tarjetas,Alborada,UTFSM,45.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Alborada,346.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,C. Raúl Silva H.,473.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Chiguayante,91.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Concepción,9053.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Costa Mar,785.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Cristo Redentor,923.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Diagonal Biobío,2380.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,El Arenal,78.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,El Parque,576.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Higueras,298.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Hito Galvarino,414.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Hualqui,114.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Huinca,453.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Intermodal Coronel,1657.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Juan Pablo II,4629.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,La Leonera,90.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Laguna Quiñenco,1005.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Lomas Coloradas,1200.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Lorenzo Arenas,111.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Los Canelos,987.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Los Cóndores,202.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Manquimávida,78.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Mercado,318.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,Pedro Medina,45.0
2023,1,Total Mes Tarjetas,C. Raúl Silva H.,UTFSM,132.0
2023,1,Total Mes Tarjetas,Chiguayante,Alborada,38.0
2023,1,Total Mes Tarjetas,Chiguayante,C. Raúl Silva H.,117.0
2023,1,Total Mes Tarjetas,Chiguayante,Chiguayante,272.0
2023,1,Total Mes Tarjetas,Chiguayante,Concepción,2542.0
2023,1,Total Mes Tarjetas,Chiguayante,Costa Mar,286.0
2023,1,Total Mes Tarjetas,Chiguayante,Cristo Redentor,87.0
2023,1,Total Mes Tarjetas,Chiguayante,Diagonal Biobío,191.0
2023,1,Total Mes Tarjetas,Chiguayante,El Arenal,339.0
2023,1,Total Mes Tarjetas,Chiguayante,El Parque,141.0
2023,1,Total Mes Tarjetas,Chiguayante,Higueras,622.0
2023,1,Total Mes Tarjetas,Chiguayante,Hito Galvarino,108.0
2023,1,Total Mes Tarjetas,Chiguayante,Hualqui,497.0
2023,1,Total Mes Tarjetas,Chiguayante,Huinca,90.0
2023,1,Total Mes Tarjetas,Chiguayante,Intermodal Coronel,243.0
2023,1,Total Mes Tarjetas,Chiguayante,Juan Pablo II,466.0
2023,1,Total Mes Tarjetas,Chiguayante,La Leonera,136.0
2023,1,Total Mes Tarjetas,Chiguayante,Laguna Quiñenco,188.0
2023,1,Total Mes Tarjetas,Chiguayante,Lomas Coloradas,272.0
2023,1,Total Mes Tarjetas,Chiguayante,Lorenzo Arenas,480.0
2023,1,Total Mes Tarjetas,Chiguayante,Los Canelos,145.0
2023,1,Total Mes Tarjetas,Chiguayante,Los Cóndores,456.0
2023,1,Total Mes Tarjetas,Chiguayante,Manquimávida,102.0
2023,1,Total Mes Tarjetas,Chiguayante,Mercado,753.0
2023,1,Total Mes Tarjetas,Chiguayante,Pedro Medina,35.0
