alpha,beta,funcion,lambda,train_MAE,train_RMSE,train_MAPE_pct,train_Correlacion,train_Desviacion_abs_total,train_Desviacion_pct_total,train_CPC,train_R2,valid_MAE,valid_RMSE,valid_MAPE_pct,valid_Correlacion,valid_Desviacion_abs_total,valid_Desviacion_pct_total,valid_CPC,valid_R2,score
0.75,0.25,exponencial,0.05,20408.32139742413,49071.61784799928,87.10252070526953,0.9358727096266037,0.0,0.0,0.8032424323049693,0.8724022246992018,680.8176344228613,1602.5153441765538,90.35977204101961,0.9548212203942089,0.0,0.0,0.8102389152007899,0.9060326598728072,1261.7523550230246
0.75,0.25,potencial,0.05,20428.44346798285,49114.87268141757,87.23916789753142,0.9357555536941675,0.0,0.0,0.8030484344948102,0.8721771800296892,681.635970981891,1603.9791953001936,90.51265343755264,0.9547410097155485,0.0,0.0,0.8100108241154231,0.9058609086033943,1262.9540097862875
0.5,0.5,exponencial,0.05,20465.861594758753,49286.81649012249,86.90848976193308,0.9352686054278203,3.725290298461914e-09,-1.1493022577361418e-14,0.8026876846090768,0.8712806363660384,682.9954878509502,1610.1630453755686,90.13084551454892,0.954364508892356,0.0,0.0,0.8096318923973954,0.9051336370770621,1267.958947391096
0.25,0.75,exponencial,0.05,20523.502583531743,49503.025224427365,86.71431350095423,0.9346579993403333,3.725290298461914e-09,-1.1493022577361418e-14,0.8021319651782793,0.8701488410992525,685.2063005281044,1617.8490101490502,89.90302427640862,0.9539023466170142,0.0,0.0,0.8090156830181241,0.9042258038413624,1274.199936964059
0.5,0.5,potencial,0.05,20540.71916394929,49510.345472998335,87.12400956466699,0.9346409264563705,3.725290298461914e-09,-1.1493022577361418e-14,0.8019659793325542,0.8701104348387575,685.8622545088612,1617.828017908337,90.35981446567327,0.9539147563909527,0.0,0.0,0.808832852062119,0.9042282892425633,1274.2059823550824
0.75,0.25,exponencial,0.1,20628.292280828857,49877.101892010796,86.09241775390201,0.933658921701114,0.0,0.0,0.8011216828744011,0.8681789486390807,689.5779049117282,1634.6034850952951,89.16855751693237,0.9529524522602676,4.656612873077393e-10,1.3844434348460384e-14,0.8077972063685694,0.9022318535604696,1287.7803406283726
0.25,0.75,potencial,0.05,20704.480751577874,50087.6451937267,87.04565430302833,0.9329930551548263,0.0,0.0,0.8003871463145803,0.8670637027010378,691.9083329150736,1637.5889103200525,90.23613973682369,0.9527254636354461,0.0,0.0,0.807147657174186,0.901874401693676,1290.274752542665
0.75,0.25,potencial,0.1,20670.422576777266,49966.69723706536,86.36993561137825,0.9334105317250462,3.725290298461914e-09,-1.1493022577361418e-14,0.80071550274838,0.8677049371222694,691.2197801100106,1637.6869498186659,89.47373248724494,0.9527777284574789,0.0,0.0,0.8073395742465767,0.9018626521362993,1290.3132581168638
0.5,0.5,exponencial,0.1,20748.016138001953,50318.50035549795,85.71954531564646,0.9323874371124533,3.725290298461914e-09,-1.1493022577361418e-14,0.7999674196464897,0.8658354655364026,694.1205807197024,1650.3411262371797,88.72135774161204,0.951981929621995,0.0,0.0,0.8065310477886097,0.9003402059778353,1300.5788035781288
0.25,0.75,exponencial,0.1,20869.72487618081,50763.78584885366,85.35495515025349,0.9310891950107277,0.0,0.0,0.7987940200892711,0.8634504239713202,698.6999990136684,1666.2252220674764,88.28127959802097,0.9509887695435828,0.0,0.0,0.8052546481490073,0.8984125757460248,1313.5070728965368
