periodo,mes,tipo_pasajero,origen,destino,factor_od
2027-01,1,Normal,Hualqui,Hualqui,0.0001396968657536971
2027-01,1,Normal,Hualqui,La Leonera,0.00022709448431357043
2027-01,1,Normal,Hualqui,Manquimávida,0.00017927188732715966
2027-01,1,Normal,Hualqui,Pedro Medina,0.0002609751509991145
2027-01,1,Normal,Hualqui,Chiguayante,0.0004292165706279763
2027-01,1,Normal,Hualqui,Concepción,0.006664501862971645
2027-01,1,Normal,Hualqui,Lorenzo Arenas,0.0006542478816835833
2027-01,1,Normal,Hualqui,UTFSM,0.0007346616655894572
2027-01,1,Normal,Hualqui,Los Cóndores,0.0006803154578462139
2027-01,1,Normal,Hualqui,Higueras,0.0007224499601651935
2027-01,1,Normal,Hualqui,El Arenal,0.0006240480538218384
2027-01,1,Normal,Hualqui,Mercado,0.0009539359871120263
2027-01,1,Normal,Hualqui,Juan Pablo II,0.0007083422873874813
2027-01,1,Normal,Hualqui,Diagonal Biobío,0.00029758676426161376
2027-01,1,Normal,Hualqui,Alborada,0.00015297398932008003
2027-01,1,Normal,Hualqui,Costa Mar,0.0004544536171699373
2027-01,1,Normal,Hualqui,El Parque,0.00035511480782084913
2027-01,1,Normal,Hualqui,Lomas Coloradas,0.0004332736597946071
2027-01,1,Normal,Hualqui,C. Raúl Silva H.,0.00032999576675953924
2027-01,1,Normal,Hualqui,Hito Galvarino,0.00017750767235295896
2027-01,1,Normal,Hualqui,Los Canelos,0.00034523587951477557
2027-01,1,Normal,Hualqui,Huinca,0.00020806740869840328
2027-01,1,Normal,Hualqui,Cristo Redentor,0.00025892111746906134
2027-01,1,Normal,Hualqui,Laguna Quiñenco,0.0002961641688222687
2027-01,1,Normal,Hualqui,Intermodal Coronel,0.0005223323495144702
2027-01,1,Normal,Hualqui,Pasajero Lota,0.0
2027-01,1,Normal,Hualqui,Concepción Centro,0.0
2027-01,1,Normal,La Leonera,Hualqui,0.00045895792393469185
2027-01,1,Normal,La Leonera,La Leonera,8.358911547994417e-05
2027-01,1,Normal,La Leonera,Manquimávida,6.733604987719555e-05
2027-01,1,Normal,La Leonera,Pedro Medina,9.552650701617752e-05
2027-01,1,Normal,La Leonera,Chiguayante,0.0002366661240588425
2027-01,1,Normal,La Leonera,Concepción,0.0038680599271464244
2027-01,1,Normal,La Leonera,Lorenzo Arenas,0.0004246953968712532
2027-01,1,Normal,La Leonera,UTFSM,0.0005649464769750755
2027-01,1,Normal,La Leonera,Los Cóndores,0.000557299827261674
2027-01,1,Normal,La Leonera,Higueras,0.000536852558124888
2027-01,1,Normal,La Leonera,El Arenal,0.0003840801697899723
2027-01,1,Normal,La Leonera,Mercado,0.0006528577955771424
2027-01,1,Normal,La Leonera,Juan Pablo II,0.000745872156999129
2027-01,1,Normal,La Leonera,Diagonal Biobío,0.0003594807430190792
2027-01,1,Normal,La Leonera,Alborada,0.00017253084300109843
2027-01,1,Normal,La Leonera,Costa Mar,0.0004498926671513295
2027-01,1,Normal,La Leonera,El Parque,0.0004393459486058476
2027-01,1,Normal,La Leonera,Lomas Coloradas,0.0005317395903582815
2027-01,1,Normal,La Leonera,C. Raúl Silva H.,0.00032766071795652595
2027-01,1,Normal,La Leonera,Hito Galvarino,0.0002501068386864968
2027-01,1,Normal,La Leonera,Los Canelos,0.0003495661236284821
2027-01,1,Normal,La Leonera,Huinca,0.0001691803897664678
2027-01,1,Normal,La Leonera,Cristo Redentor,0.00024293390781176616
2027-01,1,Normal,La Leonera,Laguna Quiñenco,0.00023569075605699884
2027-01,1,Normal,La Leonera,Intermodal Coronel,0.0004613654123421899
2027-01,1,Normal,La Leonera,Pasajero Lota,0.0
2027-01,1,Normal,La Leonera,Concepción Centro,0.0
2027-01,1,Normal,Manquimávida,Hualqui,0.00026777818527570644
2027-01,1,Normal,Manquimávida,La Leonera,6.0614637985632733e-05
2027-01,1,Normal,Manquimávida,Manquimávida,6.679506643543779e-05
2027-01,1,Normal,Manquimávida,Pedro Medina,0.0001198091463933178
2027-01,1,Normal,Manquimávida,Chiguayante,0.00013817567554101902
2027-01,1,Normal,Manquimávida,Concepción,0.003846170485779735
2027-01,1,Normal,Manquimávida,Lorenzo Arenas,0.00048597757535705005
2027-01,1,Normal,Manquimávida,UTFSM,0.00040609414204509576
2027-01,1,Normal,Manquimávida,Los Cóndores,0.0003777334998826994
2027-01,1,Normal,Manquimávida,Higueras,0.0004882476578572965
2027-01,1,Normal,Manquimávida,El Arenal,0.00027787115430815204
2027-01,1,Normal,Manquimávida,Mercado,0.0005715165053749115
2027-01,1,Normal,Manquimávida,Juan Pablo II,0.0006556940317581863
2027-01,1,Normal,Manquimávida,Diagonal Biobío,0.00018262163414209257
2027-01,1,Normal,Manquimávida,Alborada,9.019342985421185e-05
2027-01,1,Normal,Manquimávida,Costa Mar,0.00028485534593039705
2027-01,1,Normal,Manquimávida,El Parque,0.00026963237957909863
2027-01,1,Normal,Manquimávida,Lomas Coloradas,0.0003362760261639178
2027-01,1,Normal,Manquimávida,C. Raúl Silva H.,0.0002170956004111308
2027-01,1,Normal,Manquimávida,Hito Galvarino,0.00019793355974411067
2027-01,1,Normal,Manquimávida,Los Canelos,0.0002557406109041928
2027-01,1,Normal,Manquimávida,Huinca,0.00011475812550938973
2027-01,1,Normal,Manquimávida,Cristo Redentor,0.00016520818652342268
2027-01,1,Normal,Manquimávida,Laguna Quiñenco,0.00017664495545618392
2027-01,1,Normal,Manquimávida,Intermodal Coronel,0.00043345323446561217
2027-01,1,Normal,Manquimávida,Pasajero Lota,0.0
2027-01,1,Normal,Manquimávida,Concepción Centro,0.0
2027-01,1,Normal,Pedro Medina,Hualqui,0.00036482533536716746
2027-01,1,Normal,Pedro Medina,La Leonera,7.329154751866197e-05
2027-01,1,Normal,Pedro Medina,Manquimávida,5.4565308244177304e-05
2027-01,1,Normal,Pedro Medina,Pedro Medina,7.492527434458858e-05
2027-01,1,Normal,Pedro Medina,Chiguayante,5.67942524408254e-05
2027-01,1,Normal,Pedro Medina,Concepción,0.0020644608574673447
2027-01,1,Normal,Pedro Medina,Lorenzo Arenas,0.0002690966727844062
2027-01,1,Normal,Pedro Medina,UTFSM,0.00027256831429503666
2027-01,1,Normal,Pedro Medina,Los Cóndores,0.00032324008893999483
2027-01,1,Normal,Pedro Medina,Higueras,0.00048496735667033345
2027-01,1,Normal,Pedro Medina,El Arenal,0.00020087707726905261
2027-01,1,Normal,Pedro Medina,Mercado,0.00041297797528459053
2027-01,1,Normal,Pedro Medina,Juan Pablo II,0.00039747053049625427
2027-01,1,Normal,Pedro Medina,Diagonal Biobío,0.00017786979250477316
2027-01,1,Normal,Pedro Medina,Alborada,6.832418617640325e-05
2027-01,1,Normal,Pedro Medina,Costa Mar,0.00032396457354009014
2027-01,1,Normal,Pedro Medina,El Parque,0.00017352497110432216
2027-01,1,Normal,Pedro Medina,Lomas Coloradas,0.00027572585714305526
2027-01,1,Normal,Pedro Medina,C. Raúl Silva H.,0.0001905338635043951
2027-01,1,Normal,Pedro Medina,Hito Galvarino,0.00018204387699607936
2027-01,1,Normal,Pedro Medina,Los Canelos,0.00024463431817008753
2027-01,1,Normal,Pedro Medina,Huinca,9.679748126637978e-05
2027-01,1,Normal,Pedro Medina,Cristo Redentor,0.00014822566997078006
2027-01,1,Normal,Pedro Medina,Laguna Quiñenco,0.00016134352335211156
2027-01,1,Normal,Pedro Medina,Intermodal Coronel,0.00029838777103501497
2027-01,1,Normal,Pedro Medina,Pasajero Lota,0.0
2027-01,1,Normal,Pedro Medina,Concepción Centro,0.0
2027-01,1,Normal,Chiguayante,Hualqui,0.0007113615360722182
2027-01,1,Normal,Chiguayante,La Leonera,0.0001724481711806132
2027-01,1,Normal,Chiguayante,Manquimávida,0.00013154430231711767
2027-01,1,Normal,Chiguayante,Pedro Medina,4.384697545552732e-05
2027-01,1,Normal,Chiguayante,Chiguayante,0.00015036088528666292
2027-01,1,Normal,Chiguayante,Concepción,0.0032533312764336207
2027-01,1,Normal,Chiguayante,Lorenzo Arenas,0.00044833579600004703
2027-01,1,Normal,Chiguayante,UTFSM,0.0005898089055295667
2027-01,1,Normal,Chiguayante,Los Cóndores,0.00047693644565851363
2027-01,1,Normal,Chiguayante,Higueras,0.0007625833031539151
2027-01,1,Normal,Chiguayante,El Arenal,0.00034150984504936803
2027-01,1,Normal,Chiguayante,Mercado,0.0009678468639867484
2027-01,1,Normal,Chiguayante,Juan Pablo II,0.0004911443798805736
2027-01,1,Normal,Chiguayante,Diagonal Biobío,0.00031097498896750565
2027-01,1,Normal,Chiguayante,Alborada,0.00011927196694321287
2027-01,1,Normal,Chiguayante,Costa Mar,0.0004457805163404165
2027-01,1,Normal,Chiguayante,El Parque,0.0003261644632212591
2027-01,1,Normal,Chiguayante,Lomas Coloradas,0.00045595614922842566
2027-01,1,Normal,Chiguayante,C. Raúl Silva H.,0.0002957898735435685
2027-01,1,Normal,Chiguayante,Hito Galvarino,0.00018738827005683283
2027-01,1,Normal,Chiguayante,Los Canelos,0.0003016104783218546
2027-01,1,Normal,Chiguayante,Huinca,0.0001772493809003219
2027-01,1,Normal,Chiguayante,Cristo Redentor,0.00026050395522583776
2027-01,1,Normal,Chiguayante,Laguna Quiñenco,0.0002612319560617602
2027-01,1,Normal,Chiguayante,Intermodal Coronel,0.0005116709120447657
2027-01,1,Normal,Chiguayante,Pasajero Lota,0.0
2027-01,1,Normal,Chiguayante,Concepción Centro,0.0
2027-01,1,Normal,Concepción,Hualqui,0.009496431591168102
2027-01,1,Normal,Concepción,La Leonera,0.0038114541085421372
2027-01,1,Normal,Concepción,Manquimávida,0.004185297509996467
2027-01,1,Normal,Concepción,Pedro Medina,0.0022376250279093957
2027-01,1,Normal,Concepción,Chiguayante,0.003481329292350035
2027-01,1,Normal,Concepción,Concepción,0.014583523317615867
2027-01,1,Normal,Concepción,Lorenzo Arenas,0.0012877782785943824
2027-01,1,Normal,Concepción,UTFSM,0.0019396124066175461
2027-01,1,Normal,Concepción,Los Cóndores,0.0040618072348592394
2027-01,1,Normal,Concepción,Higueras,0.003350226307170372
2027-01,1,Normal,Concepción,El Arenal,0.0025509614122279554
2027-01,1,Normal,Concepción,Mercado,0.0030733596065799667
2027-01,1,Normal,Concepción,Juan Pablo II,0.006296152102555688
2027-01,1,Normal,Concepción,Diagonal Biobío,0.005653719422618891
2027-01,1,Normal,Concepción,Alborada,0.004065638622041364
2027-01,1,Normal,Concepción,Costa Mar,0.0183538238085943
2027-01,1,Normal,Concepción,El Parque,0.009447032079377466
2027-01,1,Normal,Concepción,Lomas Coloradas,0.0270951274890073
2027-01,1,Normal,Concepción,C. Raúl Silva H.,0.01991114036486742
2027-01,1,Normal,Concepción,Hito Galvarino,0.01077782541943324
2027-01,1,Normal,Concepción,Los Canelos,0.027034536112765958
2027-01,1,Normal,Concepción,Huinca,0.015226400334677634
2027-01,1,Normal,Concepción,Cristo Redentor,0.023299133219737846
