mes,tipo_pasajero,participacion,total_historico_ponderado
1,Normal,0.7886672587481848,634088.2
1,Estudiante,0.14277213926647855,114788.75
1,Adulto Mayor,0.06856060198533669,55122.7
2,Normal,0.7970671471904218,582384.4441124359
2,Estudiante,0.13430908335503267,98134.16739692149
2,Adulto Mayor,0.06862376945454549,50140.58849064264
3,Normal,0.7259053521349217,812641.2782880587
3,Estudiante,0.21409107799753485,239672.0822932412
3,Adulto Mayor,0.06000356986754334,67173.18941870006
4,Normal,0.6996984676984296,766207.8857264231
4,Estudiante,0.24081389600153297,263704.31639762106
4,Adulto Mayor,0.05948763630003753,65142.19787595582
5,Normal,0.7008041580457554,713821.35
5,Estudiante,0.2379155518940119,242334.75
5,Adulto Mayor,0.0612802900602327,62418.55
6,Normal,0.7101986397651578,559686.1000000001
6,Estudiante,0.23337666282859715,183917.10000000003
6,Adulto Mayor,0.05642469740624498,44466.600000000006
7,Normal,0.7643884523850237,668291.6
7,Estudiante,0.17328473959281135,151499.85
7,Adulto Mayor,0.06232680802216491,54491.25
8,Normal,0.7097674875226947,674531.3999999999
8,Estudiante,0.23202660646603332,220507.75
8,Adulto Mayor,0.058205906011271895,55316.3
9,Normal,0.7030965866554344,628298.5
9,Estudiante,0.23819252605313107,212852.69999999998
9,Adulto Mayor,0.05871088729143451,52465.0
10,Normal,0.6972346564701961,725274.75
10,Estudiante,0.2424025045179312,252151.0
10,Adulto Mayor,0.06036283901187268,62790.4
11,Normal,0.705880738777072,695828.1499999999
11,Estudiante,0.23327369737911546,229951.59999999998
11,Adulto Mayor,0.06084556384381251,59979.05
12,Normal,0.7624824845795798,706797.55
12,Estudiante,0.17070561914213087,158238.8
12,Adulto Mayor,0.06681189627828937,61932.549999999996
