periodo,mes,tipo_pasajero,origen,destino,ingresos_proyectados
2027-01,1,Normal,Hualqui,Hualqui,40690.88113380388
2027-01,1,Normal,Hualqui,La Leonera,76916.33227026208
2027-01,1,Normal,Hualqui,Manquimávida,60718.93861293934
2027-01,1,Normal,Hualqui,Pedro Medina,88391.6291018883
2027-01,1,Normal,Hualqui,Chiguayante,145374.57597049634
2027-01,1,Normal,Hualqui,Concepción,2482975.072614846
2027-01,1,Normal,Hualqui,Lorenzo Arenas,243751.3282961349
2027-01,1,Normal,Hualqui,UTFSM,278687.43118621525
2027-01,1,Normal,Hualqui,Los Cóndores,258071.67601607885
2027-01,1,Normal,Hualqui,Higueras,274055.0283067752
2027-01,1,Normal,Hualqui,El Arenal,245181.67238772975
2027-01,1,Normal,Hualqui,Mercado,374791.04251439555
2027-01,1,Normal,Hualqui,Juan Pablo II,287896.5074072505
2027-01,1,Normal,Hualqui,Diagonal Biobío,120950.26882769946
2027-01,1,Normal,Hualqui,Alborada,62174.28781759816
2027-01,1,Normal,Hualqui,Costa Mar,184706.76040585764
2027-01,1,Normal,Hualqui,El Parque,144331.793711327
2027-01,1,Normal,Hualqui,Lomas Coloradas,176098.44227497012
2027-01,1,Normal,Hualqui,C. Raúl Silva H.,134122.48626246292
2027-01,1,Normal,Hualqui,Hito Galvarino,109420.95423520305
2027-01,1,Normal,Hualqui,Los Canelos,212813.55826480495
2027-01,1,Normal,Hualqui,Huinca,135306.06620249272
2027-01,1,Normal,Hualqui,Cristo Redentor,168376.191546048
2027-01,1,Normal,Hualqui,Laguna Quiñenco,194601.51869385413
2027-01,1,Normal,Hualqui,Intermodal Coronel,343210.55407429853
2027-01,1,Normal,Hualqui,Pasajero Lota,0.0
2027-01,1,Normal,Hualqui,Concepción Centro,0.0
2027-01,1,Normal,La Leonera,Hualqui,155447.89774236243
2027-01,1,Normal,La Leonera,La Leonera,23781.595963846736
2027-01,1,Normal,La Leonera,Manquimávida,19157.503016826584
2027-01,1,Normal,La Leonera,Pedro Medina,27177.854205687563
2027-01,1,Normal,La Leonera,Chiguayante,67332.90702241534
2027-01,1,Normal,La Leonera,Concepción,1336304.2399154364
2027-01,1,Normal,La Leonera,Lorenzo Arenas,146720.13107364177
2027-01,1,Normal,La Leonera,UTFSM,206653.63121793268
2027-01,1,Normal,La Leonera,Los Cóndores,203856.53805189158
2027-01,1,Normal,La Leonera,Higueras,196377.06417636262
2027-01,1,Normal,La Leonera,El Arenal,143095.68923264567
2027-01,1,Normal,La Leonera,Mercado,243233.42775052052
2027-01,1,Normal,La Leonera,Juan Pablo II,298097.53408192116
2027-01,1,Normal,La Leonera,Diagonal Biobío,143671.16675203823
2027-01,1,Normal,La Leonera,Alborada,68954.20129184762
2027-01,1,Normal,La Leonera,Costa Mar,179805.47124714087
2027-01,1,Normal,La Leonera,El Parque,175590.33764607806
2027-01,1,Normal,La Leonera,Lomas Coloradas,212516.6614306528
2027-01,1,Normal,La Leonera,C. Raúl Silva H.,130953.87878712076
2027-01,1,Normal,La Leonera,Hito Galvarino,152479.00616398442
2027-01,1,Normal,La Leonera,Los Canelos,213114.90481185788
2027-01,1,Normal,La Leonera,Huinca,104287.77213258245
2027-01,1,Normal,La Leonera,Cristo Redentor,149751.6116148159
2027-01,1,Normal,La Leonera,Laguna Quiñenco,145286.7196686182
2027-01,1,Normal,La Leonera,Intermodal Coronel,284399.2206106962
2027-01,1,Normal,La Leonera,Pasajero Lota,0.0
2027-01,1,Normal,La Leonera,Concepción Centro,0.0
2027-01,1,Normal,Manquimávida,Hualqui,90695.79974894729
2027-01,1,Normal,Manquimávida,La Leonera,17245.221722857226
2027-01,1,Normal,Manquimávida,Manquimávida,19003.59003950717
2027-01,1,Normal,Manquimávida,Pedro Medina,34086.40821163948
2027-01,1,Normal,Manquimávida,Chiguayante,39311.79399232337
2027-01,1,Normal,Manquimávida,Concepción,1328742.0630467685
2027-01,1,Normal,Manquimávida,Lorenzo Arenas,167891.37363043395
2027-01,1,Normal,Manquimávida,UTFSM,148546.51279408266
2027-01,1,Normal,Manquimávida,Los Cóndores,138172.38015427478
2027-01,1,Normal,Manquimávida,Higueras,178597.7177344405
2027-01,1,Normal,Manquimávida,El Arenal,103525.68935110376
2027-01,1,Normal,Manquimávida,Mercado,212928.32766965515
2027-01,1,Normal,Manquimávida,Juan Pablo II,262056.6703625813
2027-01,1,Normal,Manquimávida,Diagonal Biobío,72987.11756019088
2027-01,1,Normal,Manquimávida,Alborada,36046.9804076125
2027-01,1,Normal,Manquimávida,Costa Mar,113846.15365392051
2027-01,1,Normal,Manquimávida,El Parque,107762.09663670782
2027-01,1,Normal,Manquimávida,Lomas Coloradas,134397.09906003173
2027-01,1,Normal,Manquimávida,C. Raúl Silva H.,86765.0877369696
2027-01,1,Normal,Manquimávida,Hito Galvarino,120671.28046071727
2027-01,1,Normal,Manquimávida,Los Canelos,155913.6663005084
2027-01,1,Normal,Manquimávida,Huinca,70740.28650723449
2027-01,1,Normal,Manquimávida,Cristo Redentor,101839.18913045782
2027-01,1,Normal,Manquimávida,Laguna Quiñenco,108889.15014567474
2027-01,1,Normal,Manquimávida,Intermodal Coronel,267193.3325634185
2027-01,1,Normal,Manquimávida,Pasajero Lota,0.0
2027-01,1,Normal,Manquimávida,Concepción Centro,0.0
2027-01,1,Normal,Pedro Medina,Hualqui,123565.42608478498
2027-01,1,Normal,Pedro Medina,La Leonera,20851.87719293542
2027-01,1,Normal,Pedro Medina,Manquimávida,15524.151761327463
2027-01,1,Normal,Pedro Medina,Pedro Medina,21316.68210283791
2027-01,1,Normal,Pedro Medina,Chiguayante,16158.299520952509
2027-01,1,Normal,Pedro Medina,Concepción,713212.2689237327
2027-01,1,Normal,Pedro Medina,Lorenzo Arenas,92965.21552452318
2027-01,1,Normal,Pedro Medina,UTFSM,99703.66078856906
2027-01,1,Normal,Pedro Medina,Los Cóndores,118239.05601168038
2027-01,1,Normal,Pedro Medina,Higueras,177397.8055668241
2027-01,1,Normal,Pedro Medina,El Arenal,74840.21848504448
2027-01,1,Normal,Pedro Medina,Mercado,153862.0649005813
2027-01,1,Normal,Pedro Medina,Juan Pablo II,158854.28072267456
2027-01,1,Normal,Pedro Medina,Diagonal Biobío,71087.98208350036
2027-01,1,Normal,Pedro Medina,Alborada,27306.651986157565
2027-01,1,Normal,Pedro Medina,Costa Mar,129476.66647156376
2027-01,1,Normal,Pedro Medina,El Parque,69351.51755221702
2027-01,1,Normal,Pedro Medina,Lomas Coloradas,110197.43440706663
2027-01,1,Normal,Pedro Medina,C. Raúl Silva H.,76149.34320417038
2027-01,1,Normal,Pedro Medina,Hito Galvarino,110984.04821067152
2027-01,1,Normal,Pedro Medina,Los Canelos,149142.65401169457
2027-01,1,Normal,Pedro Medina,Huinca,59668.816718360344
2027-01,1,Normal,Pedro Medina,Cristo Redentor,91370.66604143703
2027-01,1,Normal,Pedro Medina,Laguna Quiñenco,99456.89699402745
2027-01,1,Normal,Pedro Medina,Intermodal Coronel,183935.00520836707
2027-01,1,Normal,Pedro Medina,Pasajero Lota,0.0
2027-01,1,Normal,Pedro Medina,Concepción Centro,0.0
2027-01,1,Normal,Chiguayante,Hualqui,240936.36812977033
2027-01,1,Normal,Chiguayante,La Leonera,49062.520977454435
2027-01,1,Normal,Chiguayante,Manquimávida,37425.1292299222
2027-01,1,Normal,Chiguayante,Pedro Medina,12474.722917366511
2027-01,1,Normal,Chiguayante,Chiguayante,42778.55797519097
2027-01,1,Normal,Chiguayante,Concepción,1123933.046651367
2027-01,1,Normal,Chiguayante,Lorenzo Arenas,154887.2138448763
2027-01,1,Normal,Chiguayante,UTFSM,215748.14078845383
2027-01,1,Normal,Chiguayante,Los Cóndores,174460.15219571747
