periodo,mes,tipo_pasajero,origen,destino,viajes_proyectados
2027-01,1,Normal,Hualqui,Hualqui,94.62995612512528
2027-01,1,Normal,Hualqui,La Leonera,153.83266454052415
2027-01,1,Normal,Hualqui,Manquimávida,121.43787722587865
2027-01,1,Normal,Hualqui,Pedro Medina,176.78325820377663
2027-01,1,Normal,Hualqui,Chiguayante,290.7491519409927
2027-01,1,Normal,Hualqui,Concepción,4514.500132026993
2027-01,1,Normal,Hualqui,Lorenzo Arenas,443.1842332656998
2027-01,1,Normal,Hualqui,UTFSM,497.6561271182415
2027-01,1,Normal,Hualqui,Los Cóndores,460.84227860014056
2027-01,1,Normal,Hualqui,Higueras,489.3839791192414
2027-01,1,Normal,Hualqui,El Arenal,422.72702135815456
2027-01,1,Normal,Hualqui,Mercado,646.1914526110265
2027-01,1,Normal,Hualqui,Juan Pablo II,479.82751234541774
2027-01,1,Normal,Hualqui,Diagonal Biobío,201.58378137949907
2027-01,1,Normal,Hualqui,Alborada,103.62381302933032
2027-01,1,Normal,Hualqui,Costa Mar,307.8446006764294
2027-01,1,Normal,Hualqui,El Parque,240.55298951887835
2027-01,1,Normal,Hualqui,Lomas Coloradas,293.49740379161693
2027-01,1,Normal,Hualqui,C. Raúl Silva H.,223.5374771041049
2027-01,1,Normal,Hualqui,Hito Galvarino,120.24280685187146
2027-01,1,Normal,Hualqui,Los Canelos,233.86105303824718
2027-01,1,Normal,Hualqui,Huinca,140.94381896092992
2027-01,1,Normal,Hualqui,Cristo Redentor,175.39186619379993
2027-01,1,Normal,Hualqui,Laguna Quiñenco,200.62012236479805
2027-01,1,Normal,Hualqui,Intermodal Coronel,353.82531347865825
2027-01,1,Normal,Hualqui,Pasajero Lota,0.0
2027-01,1,Normal,Hualqui,Concepción Centro,0.0
2027-01,1,Normal,La Leonera,Hualqui,310.8957954847249
2027-01,1,Normal,La Leonera,La Leonera,56.622847532968436
2027-01,1,Normal,La Leonera,Manquimávida,45.61310242101568
2027-01,1,Normal,La Leonera,Pedro Medina,64.70917668020851
2027-01,1,Normal,La Leonera,Chiguayante,160.3164452914652
2027-01,1,Normal,La Leonera,Concepción,2620.204391991053
2027-01,1,Normal,La Leonera,Lorenzo Arenas,287.6865315169447
2027-01,1,Normal,La Leonera,UTFSM,382.6919096628384
2027-01,1,Normal,La Leonera,Los Cóndores,377.5121075035028
2027-01,1,Normal,La Leonera,Higueras,363.6612299562272
2027-01,1,Normal,La Leonera,El Arenal,260.17398042299214
2027-01,1,Normal,La Leonera,Mercado,442.2425959100373
2027-01,1,Normal,La Leonera,Juan Pablo II,505.2500577659682
2027-01,1,Normal,La Leonera,Diagonal Biobío,243.51045212209877
2027-01,1,Normal,La Leonera,Alborada,116.87152761330115
2027-01,1,Normal,La Leonera,Costa Mar,304.7550360121033
2027-01,1,Normal,La Leonera,El Parque,297.61074177301373
2027-01,1,Normal,La Leonera,Lomas Coloradas,360.1977312383947
2027-01,1,Normal,La Leonera,C. Raúl Silva H.,221.95572675783188
2027-01,1,Normal,La Leonera,Hito Galvarino,169.42111795998264
2027-01,1,Normal,La Leonera,Los Canelos,236.79433867984218
2027-01,1,Normal,La Leonera,Huinca,114.60194739844226
2027-01,1,Normal,La Leonera,Cristo Redentor,164.5622105657318
2027-01,1,Normal,La Leonera,Laguna Quiñenco,159.6557358995804
2027-01,1,Normal,La Leonera,Intermodal Coronel,312.5266160557102
2027-01,1,Normal,La Leonera,Pasajero Lota,0.0
2027-01,1,Normal,La Leonera,Concepción Centro,0.0
2027-01,1,Normal,Manquimávida,Hualqui,181.39159949789462
2027-01,1,Normal,Manquimávida,La Leonera,41.060051721088655
2027-01,1,Normal,Manquimávida,Manquimávida,45.24664295120755
2027-01,1,Normal,Manquimávida,Pedro Medina,81.15811478961785
2027-01,1,Normal,Manquimávida,Chiguayante,93.59950950553188
2027-01,1,Normal,Manquimávida,Concepción,2605.3765942093514
2027-01,1,Normal,Manquimávida,Lorenzo Arenas,329.1987718243804
2027-01,1,Normal,Manquimávida,UTFSM,275.08613480385685
2027-01,1,Normal,Manquimávida,Los Cóndores,255.87477806347175
2027-01,1,Normal,Manquimávida,Higueras,330.7365143230381
2027-01,1,Normal,Manquimávida,El Arenal,188.22852609291593
2027-01,1,Normal,Manquimávida,Mercado,387.1424139448275
2027-01,1,Normal,Manquimávida,Juan Pablo II,444.1638480721718
2027-01,1,Normal,Manquimávida,Diagonal Biobío,123.70697891557779
2027-01,1,Normal,Manquimávida,Alborada,61.09657696205513
2027-01,1,Normal,Manquimávida,Costa Mar,192.9595824642721
2027-01,1,Normal,Manquimávida,El Parque,182.6476214181489
2027-01,1,Normal,Manquimávida,Lomas Coloradas,227.7916933220878
2027-01,1,Normal,Manquimávida,C. Raúl Silva H.,147.0594707406265
2027-01,1,Normal,Manquimávida,Hito Galvarino,134.07920051190808
2027-01,1,Normal,Manquimávida,Los Canelos,173.2374070005649
2027-01,1,Normal,Manquimávida,Huinca,77.73657857937859
2027-01,1,Normal,Manquimávida,Cristo Redentor,111.91119684665696
2027-01,1,Normal,Manquimávida,Laguna Quiñenco,119.65840675348878
2027-01,1,Normal,Manquimávida,Intermodal Coronel,293.61904677298753
2027-01,1,Normal,Manquimávida,Pasajero Lota,0.0
2027-01,1,Normal,Manquimávida,Concepción Centro,0.0
2027-01,1,Normal,Pedro Medina,Hualqui,247.1308521695699
2027-01,1,Normal,Pedro Medina,La Leonera,49.647326649846235
2027-01,1,Normal,Pedro Medina,Manquimávida,36.962266098398715
2027-01,1,Normal,Pedro Medina,Pedro Medina,50.754005006756934
2027-01,1,Normal,Pedro Medina,Chiguayante,38.472141716553594
2027-01,1,Normal,Pedro Medina,Concepción,1398.4554292622213
2027-01,1,Normal,Pedro Medina,Lorenzo Arenas,182.28473632259448
2027-01,1,Normal,Pedro Medina,UTFSM,184.6364088677205
2027-01,1,Normal,Pedro Medina,Los Cóndores,218.96121483644504
2027-01,1,Normal,Pedro Medina,Higueras,328.51445475337795
2027-01,1,Normal,Pedro Medina,El Arenal,136.07312451826263
2027-01,1,Normal,Pedro Medina,Mercado,279.74920891014773
2027-01,1,Normal,Pedro Medina,Juan Pablo II,269.24454359775353
2027-01,1,Normal,Pedro Medina,Diagonal Biobío,120.48810522627181
2027-01,1,Normal,Pedro Medina,Alborada,46.28246099348742
2027-01,1,Normal,Pedro Medina,Costa Mar,219.45197707044704
2027-01,1,Normal,Pedro Medina,El Parque,117.54494500375766
2027-01,1,Normal,Pedro Medina,Lomas Coloradas,186.77531255435022
2027-01,1,Normal,Pedro Medina,C. Raúl Silva H.,129.06668339689895
2027-01,1,Normal,Pedro Medina,Hito Galvarino,123.31560912296833
2027-01,1,Normal,Pedro Medina,Los Canelos,165.71406001299397
2027-01,1,Normal,Pedro Medina,Huinca,65.57012826193444
2027-01,1,Normal,Pedro Medina,Cristo Redentor,100.40732532026047
2027-01,1,Normal,Pedro Medina,Laguna Quiñenco,109.29329340003018
2027-01,1,Normal,Pedro Medina,Intermodal Coronel,202.12637934985392
2027-01,1,Normal,Pedro Medina,Pasajero Lota,0.0
2027-01,1,Normal,Pedro Medina,Concepción Centro,0.0
2027-01,1,Normal,Chiguayante,Hualqui,481.8727362595408
2027-01,1,Normal,Chiguayante,La Leonera,116.81552613679632
2027-01,1,Normal,Chiguayante,Manquimávida,89.10745054743384
2027-01,1,Normal,Chiguayante,Pedro Medina,29.701721231825047
2027-01,1,Normal,Chiguayante,Chiguayante,101.85370946474046
2027-01,1,Normal,Chiguayante,Concepción,2203.7902875517016
2027-01,1,Normal,Chiguayante,Lorenzo Arenas,303.7004193036792
2027-01,1,Normal,Chiguayante,UTFSM,399.53359405269254
2027-01,1,Normal,Chiguayante,Los Cóndores,323.07435591799526
2027-01,1,Normal,Chiguayante,Higueras,516.5701043460837
2027-01,1,Normal,Chiguayante,El Arenal,231.33705598162112
2027-01,1,Normal,Chiguayante,Mercado,655.6146108273175
2027-01,1,Normal,Chiguayante,Juan Pablo II,332.69873929129693
2027-01,1,Normal,Chiguayante,Diagonal Biobío,210.65289763831075
2027-01,1,Normal,Chiguayante,Alborada,80.79423212467408
2027-01,1,Normal,Chiguayante,Costa Mar,301.9694856798382
2027-01,1,Normal,Chiguayante,El Parque,220.94217130555742
2027-01,1,Normal,Chiguayante,Lomas Coloradas,308.86240835596647
2027-01,1,Normal,Chiguayante,C. Raúl Silva H.,200.3665766205173
2027-01,1,Normal,Chiguayante,Hito Galvarino,126.93587417419873
2027-01,1,Normal,Chiguayante,Los Canelos,204.30942510046845
2027-01,1,Normal,Chiguayante,Huinca,120.06784151747645
2027-01,1,Normal,Chiguayante,Cristo Redentor,176.46407255053424
2027-01,1,Normal,Chiguayante,Laguna Quiñenco,176.95721666504758
2027-01,1,Normal,Chiguayante,Intermodal Coronel,346.6033092157446
2027-01,1,Normal,Chiguayante,Pasajero Lota,0.0
2027-01,1,Normal,Chiguayante,Concepción Centro,0.0
2027-01,1,Normal,Concepción,Hualqui,6432.835124604134
2027-01,1,Normal,Concepción,La Leonera,2581.8598944101614
2027-01,1,Normal,Concepción,Manquimávida,2835.0995393114613
2027-01,1,Normal,Concepción,Pedro Medina,1515.7559697071765
2027-01,1,Normal,Concepción,Chiguayante,2358.2349998677664
2027-01,1,Normal,Concepción,Concepción,9878.805542630495
2027-01,1,Normal,Concepción,Lorenzo Arenas,872.3345462677331
2027-01,1,Normal,Concepción,UTFSM,1313.8837149115457
2027-01,1,Normal,Concepción,Los Cóndores,2751.4478463757073
2027-01,1,Normal,Concepción,Higueras,2269.4264953355437
2027-01,1,Normal,Concepción,El Arenal,1728.0084647112446
2027-01,1,Normal,Concepción,Mercado,2081.8783811525673
2027-01,1,Normal,Concepción,Juan Pablo II,4264.981852008315
2027-01,1,Normal,Concepción,Diagonal Biobío,3829.801177139403
2027-01,1,Normal,Concepción,Alborada,2754.0432088341777
2027-01,1,Normal,Concepción,Costa Mar,12432.788182934544
2027-01,1,Normal,Concepción,El Parque,6399.3721431111035
2027-01,1,Normal,Concepción,Lomas Coloradas,18354.103448606398
2027-01,1,Normal,Concepción,C. Raúl Silva H.,13487.706606465144
2027-01,1,Normal,Concepción,Hito Galvarino,7300.844876244014
2027-01,1,Normal,Concepción,Los Canelos,18313.059154274208
2027-01,1,Normal,Concepción,Huinca,10314.287209239012
2027-01,1,Normal,Concepción,Cristo Redentor,15782.715971771122
2027-01,1,Normal,Concepción,Laguna Quiñenco,14382.309903526457
2027-01,1,Normal,Concepción,Intermodal Coronel,18988.866714544853
2027-01,1,Normal,Concepción,Pasajero Lota,0.0
2027-01,1,Normal,Concepción,Concepción Centro,0.0
2027-01,1,Normal,Lorenzo Arenas,Hualqui,536.9735137772809
2027-01,1,Normal,Lorenzo Arenas,La Leonera,314.553311056746
2027-01,1,Normal,Lorenzo Arenas,Manquimávida,254.4411579623955
2027-01,1,Normal,Lorenzo Arenas,Pedro Medina,224.9479186522296
2027-01,1,Normal,Lorenzo Arenas,Chiguayante,292.9710668225358
2027-01,1,Normal,Lorenzo Arenas,Concepción,880.1414195344286
2027-01,1,Normal,Lorenzo Arenas,Lorenzo Arenas,41.247898197744135
2027-01,1,Normal,Lorenzo Arenas,UTFSM,86.45994159328065
2027-01,1,Normal,Lorenzo Arenas,Los Cóndores,196.5759412906282
2027-01,1,Normal,Lorenzo Arenas,Higueras,275.9790511930262
2027-01,1,Normal,Lorenzo Arenas,El Arenal,215.97826209966595
2027-01,1,Normal,Lorenzo Arenas,Mercado,299.3243075716124
2027-01,1,Normal,Lorenzo Arenas,Juan Pablo II,128.07835701341907
2027-01,1,Normal,Lorenzo Arenas,Diagonal Biobío,80.06744682446664
2027-01,1,Normal,Lorenzo Arenas,Alborada,63.57277415293046
2027-01,1,Normal,Lorenzo Arenas,Costa Mar,206.51658458369403
2027-01,1,Normal,Lorenzo Arenas,El Parque,88.67138763068087
2027-01,1,Normal,Lorenzo Arenas,Lomas Coloradas,190.0413317941336
2027-01,1,Normal,Lorenzo Arenas,C. Raúl Silva H.,167.33585845087504
2027-01,1,Normal,Lorenzo Arenas,Hito Galvarino,107.07788225867856
2027-01,1,Normal,Lorenzo Arenas,Los Canelos,213.72678181243018
2027-01,1,Normal,Lorenzo Arenas,Huinca,90.84667372172466
2027-01,1,Normal,Lorenzo Arenas,Cristo Redentor,207.01169480031498
2027-01,1,Normal,Lorenzo Arenas,Laguna Quiñenco,139.8175607197878
2027-01,1,Normal,Lorenzo Arenas,Intermodal Coronel,214.32284303832074
2027-01,1,Normal,Lorenzo Arenas,Pasajero Lota,0.0
2027-01,1,Normal,Lorenzo Arenas,Concepción Centro,0.0
2027-01,1,Normal,UTFSM,Hualqui,575.020912899103
2027-01,1,Normal,UTFSM,La Leonera,364.6233440199419
2027-01,1,Normal,UTFSM,Manquimávida,276.1296117714367
2027-01,1,Normal,UTFSM,Pedro Medina,256.9025086791337
2027-01,1,Normal,UTFSM,Chiguayante,446.67863201661095
2027-01,1,Normal,UTFSM,Concepción,1498.937826571135
2027-01,1,Normal,UTFSM,Lorenzo Arenas,105.92743134092714
2027-01,1,Normal,UTFSM,UTFSM,64.33427200412464
2027-01,1,Normal,UTFSM,Los Cóndores,123.32272284565845
2027-01,1,Normal,UTFSM,Higueras,305.79641418739374
2027-01,1,Normal,UTFSM,El Arenal,162.2120495874116
2027-01,1,Normal,UTFSM,Mercado,238.7950259599178
2027-01,1,Normal,UTFSM,Juan Pablo II,179.65048288655547
2027-01,1,Normal,UTFSM,Diagonal Biobío,153.97853670427696
2027-01,1,Normal,UTFSM,Alborada,109.69676409246092
2027-01,1,Normal,UTFSM,Costa Mar,396.3277564838916
2027-01,1,Normal,UTFSM,El Parque,187.7937675260111
2027-01,1,Normal,UTFSM,Lomas Coloradas,271.233509802763
2027-01,1,Normal,UTFSM,C. Raúl Silva H.,246.90498620010243
2027-01,1,Normal,UTFSM,Hito Galvarino,159.60050904044374
2027-01,1,Normal,UTFSM,Los Canelos,200.55884650452123
2027-01,1,Normal,UTFSM,Huinca,149.7921878828123
2027-01,1,Normal,UTFSM,Cristo Redentor,195.41797446658148
2027-01,1,Normal,UTFSM,Laguna Quiñenco,200.6945574007467
2027-01,1,Normal,UTFSM,Intermodal Coronel,354.1844838757528
2027-01,1,Normal,UTFSM,Pasajero Lota,0.0
2027-01,1,Normal,UTFSM,Concepción Centro,0.0
2027-01,1,Normal,Los Cóndores,Hualqui,547.0068725026256
2027-01,1,Normal,Los Cóndores,La Leonera,430.42629024294195
