tipo_pasajero,mes,anio_base,peso,total_base,periodo
Normal,1,2026,0.5,605048.0,2027-01
Normal,1,2025,0.3,707898.0,2027-01
Normal,1,2024,0.15,651799.0,2027-01
Normal,1,2023,0.05,428499.0,2027-01
Estudiante,1,2026,0.5,117105.0,2027-01
Estudiante,1,2025,0.3,126217.0,2027-01
Estudiante,1,2024,0.15,99436.0,2027-01
Estudiante,1,2023,0.05,69115.0,2027-01
Adulto Mayor,1,2026,0.5,58410.0,2027-01
Adulto Mayor,1,2025,0.3,60301.0,2027-01
Adulto Mayor,1,2024,0.15,43970.0,2027-01
Adulto Mayor,1,2023,0.05,24638.0,2027-01
Normal,2,2026,0.5,586792.0,2027-02
Normal,2,2025,0.3,585421.0,2027-02
Normal,2,2024,0.15,643436.6274162391,2027-02
Normal,2,2023,0.05,336933.0,2027-02
Estudiante,2,2026,0.5,103961.0,2027-02
Estudiante,2,2025,0.3,97995.0,2027-02
Estudiante,2,2024,0.15,95218.11597947658,2027-02
Estudiante,2,2023,0.05,49449.0,2027-02
Adulto Mayor,2,2026,0.5,54708.0,2027-02
Adulto Mayor,2,2025,0.3,50688.0,2027-02
Adulto Mayor,2,2024,0.15,44135.256604284325,2027-02
Adulto Mayor,2,2023,0.05,19198.0,2027-02
Normal,3,2026,0.5,832076.0,2027-03
Normal,3,2025,0.3,802733.0,2027-03
Normal,3,2024,0.15,833270.5219203916,2027-03
Normal,3,2023,0.05,615856.0,2027-03
Estudiante,3,2026,0.5,261701.0,2027-03
Estudiante,3,2025,0.3,227323.0,2027-03
Estudiante,3,2024,0.15,220580.548621608,2027-03
Estudiante,3,2023,0.05,150752.0,2027-03
Adulto Mayor,3,2026,0.5,74787.0,2027-03
Adulto Mayor,3,2025,0.3,67327.0,2027-03
Adulto Mayor,3,2024,0.15,53541.929458000435,2027-03
Adulto Mayor,3,2023,0.05,31006.0,2027-03
Normal,4,2026,0.5,787493.0,2027-04
Normal,4,2025,0.3,719195.0,2027-04
Normal,4,2024,0.15,848073.2381761541,2027-04
Normal,4,2023,0.05,589838.0,2027-04
Estudiante,4,2026,0.5,295411.0,2027-04
Estudiante,4,2025,0.3,224022.0,2027-04
Estudiante,4,2024,0.15,264406.1093174738,2027-04
Estudiante,4,2023,0.05,182626.0,2027-04
Adulto Mayor,4,2026,0.5,73516.0,2027-04
Adulto Mayor,4,2025,0.3,63091.0,2027-04
Adulto Mayor,4,2024,0.15,53132.652506372135,2027-04
Adulto Mayor,4,2023,0.05,29740.0,2027-04
Normal,5,2026,0.5,714127.0,2027-05
Normal,5,2025,0.3,680825.0,2027-05
Normal,5,2024,0.15,772700.0,2027-05
Normal,5,2023,0.05,732107.0,2027-05
Estudiante,5,2026,0.5,256221.0,2027-05
Estudiante,5,2025,0.3,225817.0,2027-05
Estudiante,5,2024,0.15,236870.0,2027-05
