mes,tipo_pasajero,demanda_total_biotren_mes,participacion_tipo,viajes_tipo_proyectados,ingresos_tipo_proyectados,tarifa_media_tipo,peso_historico,peso_gravitacional,ipf_converge,ipf_iteraciones,ipf_error_balance,gravity_converge,gravity_iteraciones,gravity_error_balance,periodo
1,Normal,858911.0,0.7886672587481848,677394.9838786622,444801411.33929586,656.6352304418164,0.8,0.19999999999999996,True,1,2.1086691621831418e-10,True,11,9.795150337335409e-11,2027-01
1,Estudiante,858911.0,0.14277213926647855,122628.5609095104,27245095.48482415,222.17577440975393,0.85,0.15000000000000002,True,1,3.986624738260291e-10,True,11,8.011269090010152e-10,2027-01
1,Adulto Mayor,858911.0,0.06856060198533669,58887.45521182753,20314504.2001679,344.97167736478684,0.85,0.15000000000000002,True,1,3.4802321831737864e-10,True,11,3.16799438036593e-11,2027-01
2,Normal,805504.0,0.7970671471904218,642040.7753304734,422415038.91631365,657.9255635265326,0.8,0.19999999999999996,True,1,2.0000151231184642e-10,True,11,1.0360916848402083e-10,2027-02
2,Estudiante,805504.0,0.13430908335503267,108186.50387881223,23821593.0809787,220.19006277957777,0.85,0.15000000000000002,True,1,3.663543217643651e-10,True,11,3.4367449033525833e-10,2027-02
2,Adulto Mayor,805504.0,0.06862376945454549,55276.7207907142,19019733.034936894,344.08215181483723,0.85,0.15000000000000002,True,1,3.2211601088943333e-10,True,11,3.490579842684927e-11,2027-02
3,Normal,1253832.0,0.7259053521349217,910163.3594780333,597879580.4113338,656.8926052507869,0.8,0.19999999999999996,True,1,1.7699394126158832e-10,True,11,1.453408056502332e-10,2027-03
3,Estudiante,1253832.0,0.21409107799753485,268434.24450780515,62613992.241606995,233.25635056888726,0.85,0.15000000000000002,True,1,6.076704215643355e-10,True,16,3.181302127101499e-11,2027-03
3,Adulto Mayor,1253832.0,0.06000356986754334,75234.3960141616,25939063.652363747,344.77665837154007,0.85,0.15000000000000002,True,1,3.003298026875118e-10,True,11,4.5931665485112764e-11,2027-03
4,Normal,1243841.0,0.6996984676984296,870313.6417604825,572625420.0725726,657.952940866534,0.8,0.19999999999999996,True,1,1.802657580203442e-10,True,11,1.2374326446396134e-10,2027-04
4,Estudiante,1243841.0,0.24081389600153297,299534.1972164429,70689347.14036348,235.99758490775423,0.85,0.15000000000000002,True,1,6.516042383567926e-10,True,16,9.999737255623852e-11,2027-04
4,Adulto Mayor,1243841.0,0.05948763630003753,73993.16102307501,25578567.637228247,345.68826745017,0.85,0.15000000000000002,True,1,3.0838195729638304e-10,True,11,4.562265754465643e-11,2027-04
5,Normal,1192545.0,0.7008041580457554,835740.4946566751,549816192.5430489,657.8790857428957,0.8,0.19999999999999996,True,1,2.0876467262595708e-10,True,11,1.3871372063146514e-10,2027-05
5,Estudiante,1192545.0,0.2379155518940119,283725.0018334444,66773130.690556735,235.3445422823706,0.85,0.15000000000000002,True,1,6.320865943206941e-10,True,16,6.796698778696947e-11,2027-05
5,Adulto Mayor,1192545.0,0.0612802900602327,73079.5035098802,25228475.832921423,345.2195844421765,0.85,0.15000000000000002,True,1,3.917278722006816e-10,True,11,4.7162003201319154e-11,2027-05
6,Normal,1037308.0,0.7101986397651578,736694.7306175164,480027796.09196365,651.5966195246056,0.8,0.19999999999999996,True,1,1.8097308015251778e-10,True,11,9.230550132905122e-11,2027-06
6,Estudiante,1037308.0,0.23337666282859715,242083.47936540644,57036813.12497324,235.60803601504978,0.85,0.15000000000000002,True,1,6.405806934664084e-10,True,16,3.949432105319015e-11,2027-06
6,Adulto Mayor,1037308.0,0.05642469740624498,58529.790017077175,20162129.77616074,344.47637297653137,0.85,0.15000000000000002,True,1,4.068977253187252e-10,True,11,2.509652312382254e-11,2027-06
7,Normal,1006637.0,0.7643884523850237,769461.6985435034,501566485.90699637,651.840743803623,0.8,0.19999999999999996,True,1,1.86819103774004e-10,True,11,2.5860658197172187e-11,2027-07
7,Estudiante,1006637.0,0.17328473959281135,174434.83040948882,39502261.94307395,226.45856822483043,0.85,0.15000000000000002,True,1,5.00068281732984e-10,True,11,9.658666736316208e-10,2027-07
7,Adulto Mayor,1006637.0,0.06232680802216491,62740.471047008046,21520273.20895745,343.0046483526314,0.85,0.15000000000000002,True,1,4.664173790146977e-10,True,11,1.197793689700502e-11,2027-07
8,Normal,1172398.0,0.7097674875226947,832129.982836632,545109339.0436534,655.0771517515094,0.8,0.19999999999999996,True,1,1.8688939038464491e-10,True,11,8.859461791305084e-11,2027-08
8,Estudiante,1172398.0,0.23202660646603332,272027.52936756454,63651801.829459846,233.9902949434699,0.85,0.15000000000000002,True,1,6.494444189882814e-10,True,16,1.9381181620573192e-11,2027-08
8,Adulto Mayor,1172398.0,0.058205906011271895,68240.48779580316,23509976.152303025,344.5165313391694,0.85,0.15000000000000002,True,1,3.8642889646828154e-10,True,11,4.2412828087868756e-11,2027-08
9,Normal,1100584.0,0.7030965866554344,773816.8537275848,505650577.39380896,653.4499409750755,0.8,0.19999999999999996,True,1,1.9372675194927522e-10,True,11,4.2509715702184646e-11,2027-09
