origen,destino,tarifa_2026
Hualqui,Hualqui,140.0
Hualqui,La Leonera,170.0
Hualqui,Manquimávida,170.0
Hualqui,Pedro Medina,170.0
Hualqui,Chiguayante,170.0
Hualqui,Concepción,180.0
Hualqui,Lorenzo Arenas,180.0
Hualqui,UTFSM,190.0
Hualqui,Los Cóndores,190.0
Hualqui,Higueras,190.0
Hualqui,El Arenal,190.0
Hualqui,Mercado,190.0
Hualqui,Juan Pablo II,200.0
Hualqui,Diagonal Biobío,200.0
Hualqui,Alborada,200.0
Hualqui,Costa Mar,200.0
Hualqui,El Parque,200.0
Hualqui,Lomas Coloradas,200.0
Hualqui,C. Raúl Silva H.,200.0
Hualqui,Hito Galvarino,300.0
Hualqui,Los Canelos,300.0
Hualqui,Huinca,320.0
Hualqui,Cristo Redentor,320.0
Hualqui,Laguna Quiñenco,320.0
Hualqui,Intermodal Coronel,320.0
Hualqui,Pasajero Lota,0.0
Hualqui,Concepción Centro,0.0
La Leonera,Hualqui,170.0
La Leonera,La Leonera,140.0
La Leonera,Manquimávida,140.0
La Leonera,Pedro Medina,140.0
La Leonera,Chiguayante,140.0
La Leonera,Concepción,170.0
La Leonera,Lorenzo Arenas,170.0
La Leonera,UTFSM,180.0
La Leonera,Los Cóndores,180.0
La Leonera,Higueras,180.0
La Leonera,El Arenal,180.0
La Leonera,Mercado,180.0
La Leonera,Juan Pablo II,200.0
La Leonera,Diagonal Biobío,200.0
La Leonera,Alborada,200.0
La Leonera,Costa Mar,200.0
La Leonera,El Parque,200.0
La Leonera,Lomas Coloradas,200.0
La Leonera,C. Raúl Silva H.,200.0
La Leonera,Hito Galvarino,300.0
La Leonera,Los Canelos,300.0
La Leonera,Huinca,300.0
La Leonera,Cristo Redentor,300.0
La Leonera,Laguna Quiñenco,300.0
La Leonera,Intermodal Coronel,300.0
La Leonera,Pasajero Lota,0.0
La Leonera,Concepción Centro,0.0
Manquimávida,Hualqui,170.0
Manquimávida,La Leonera,140.0
Manquimávida,Manquimávida,140.0
Manquimávida,Pedro Medina,140.0
Manquimávida,Chiguayante,140.0
Manquimávida,Concepción,170.0
Manquimávida,Lorenzo Arenas,170.0
Manquimávida,UTFSM,180.0
Manquimávida,Los Cóndores,180.0
Manquimávida,Higueras,180.0
Manquimávida,El Arenal,180.0
Manquimávida,Mercado,180.0
Manquimávida,Juan Pablo II,200.0
Manquimávida,Diagonal Biobío,200.0
Manquimávida,Alborada,200.0
Manquimávida,Costa Mar,200.0
Manquimávida,El Parque,200.0
Manquimávida,Lomas Coloradas,200.0
Manquimávida,C. Raúl Silva H.,200.0
Manquimávida,Hito Galvarino,300.0
Manquimávida,Los Canelos,300.0
Manquimávida,Huinca,300.0
Manquimávida,Cristo Redentor,300.0
Manquimávida,Laguna Quiñenco,300.0
Manquimávida,Intermodal Coronel,300.0
Manquimávida,Pasajero Lota,0.0
Manquimávida,Concepción Centro,0.0
Pedro Medina,Hualqui,170.0
Pedro Medina,La Leonera,140.0
Pedro Medina,Manquimávida,140.0
Pedro Medina,Pedro Medina,140.0
Pedro Medina,Chiguayante,140.0
Pedro Medina,Concepción,170.0
Pedro Medina,Lorenzo Arenas,170.0
Pedro Medina,UTFSM,180.0
Pedro Medina,Los Cóndores,180.0
Pedro Medina,Higueras,180.0
Pedro Medina,El Arenal,180.0
Pedro Medina,Mercado,180.0
Pedro Medina,Juan Pablo II,200.0
Pedro Medina,Diagonal Biobío,200.0
Pedro Medina,Alborada,200.0
Pedro Medina,Costa Mar,200.0
Pedro Medina,El Parque,200.0
Pedro Medina,Lomas Coloradas,200.0
Pedro Medina,C. Raúl Silva H.,200.0
Pedro Medina,Hito Galvarino,300.0
Pedro Medina,Los Canelos,300.0
Pedro Medina,Huinca,300.0
Pedro Medina,Cristo Redentor,300.0
Pedro Medina,Laguna Quiñenco,300.0
Pedro Medina,Intermodal Coronel,300.0
Pedro Medina,Pasajero Lota,0.0
Pedro Medina,Concepción Centro,0.0
Chiguayante,Hualqui,170.0
Chiguayante,La Leonera,140.0
Chiguayante,Manquimávida,140.0
Chiguayante,Pedro Medina,140.0
Chiguayante,Chiguayante,140.0
Chiguayante,Concepción,170.0
Chiguayante,Lorenzo Arenas,170.0
Chiguayante,UTFSM,180.0
Chiguayante,Los Cóndores,180.0
Chiguayante,Higueras,180.0
Chiguayante,El Arenal,180.0
Chiguayante,Mercado,180.0
Chiguayante,Juan Pablo II,200.0
Chiguayante,Diagonal Biobío,200.0
Chiguayante,Alborada,200.0
Chiguayante,Costa Mar,200.0
Chiguayante,El Parque,200.0
Chiguayante,Lomas Coloradas,200.0
Chiguayante,C. Raúl Silva H.,200.0
Chiguayante,Hito Galvarino,300.0
Chiguayante,Los Canelos,300.0
Chiguayante,Huinca,300.0
Chiguayante,Cristo Redentor,300.0
Chiguayante,Laguna Quiñenco,300.0
Chiguayante,Intermodal Coronel,300.0
Chiguayante,Pasajero Lota,0.0
Chiguayante,Concepción Centro,0.0
Concepción,Hualqui,180.0
Concepción,La Leonera,170.0
Concepción,Manquimávida,170.0
Concepción,Pedro Medina,170.0
Concepción,Chiguayante,170.0
Concepción,Concepción,140.0
Concepción,Lorenzo Arenas,140.0
Concepción,UTFSM,170.0
Concepción,Los Cóndores,170.0
Concepción,Higueras,170.0
Concepción,El Arenal,180.0
Concepción,Mercado,180.0
Concepción,Juan Pablo II,190.0
Concepción,Diagonal Biobío,190.0
Concepción,Alborada,190.0
Concepción,Costa Mar,190.0
Concepción,El Parque,190.0
Concepción,Lomas Coloradas,190.0
Concepción,C. Raúl Silva H.,190.0
Concepción,Hito Galvarino,280.0
Concepción,Los Canelos,280.0
Concepción,Huinca,280.0
Concepción,Cristo Redentor,280.0
Concepción,Laguna Quiñenco,290.0
Concepción,Intermodal Coronel,290.0
Concepción,Pasajero Lota,0.0
Concepción,Concepción Centro,0.0
Lorenzo Arenas,Hualqui,180.0
Lorenzo Arenas,La Leonera,170.0
Lorenzo Arenas,Manquimávida,170.0
