origen,destino,tarifa_2026
Hualqui,Hualqui,430.0
Hualqui,La Leonera,500.0
Hualqui,Manquimávida,500.0
Hualqui,Pedro Medina,500.0
Hualqui,Chiguayante,500.0
Hualqui,Concepción,550.0
Hualqui,Lorenzo Arenas,550.0
Hualqui,UTFSM,560.0
Hualqui,Los Cóndores,560.0
Hualqui,Higueras,560.0
Hualqui,El Arenal,580.0
Hualqui,Mercado,580.0
Hualqui,Juan Pablo II,600.0
Hualqui,Diagonal Biobío,600.0
Hualqui,Alborada,600.0
Hualqui,Costa Mar,600.0
Hualqui,El Parque,600.0
Hualqui,Lomas Coloradas,600.0
Hualqui,C. Raúl Silva H.,600.0
Hualqui,Hito Galvarino,910.0
Hualqui,Los Canelos,910.0
Hualqui,Huinca,960.0
Hualqui,Cristo Redentor,960.0
Hualqui,Laguna Quiñenco,970.0
Hualqui,Intermodal Coronel,970.0
Hualqui,Pasajero Lota,0.0
Hualqui,Concepción Centro,0.0
La Leonera,Hualqui,500.0
La Leonera,La Leonera,420.0
La Leonera,Manquimávida,420.0
La Leonera,Pedro Medina,420.0
La Leonera,Chiguayante,420.0
La Leonera,Concepción,510.0
La Leonera,Lorenzo Arenas,510.0
La Leonera,UTFSM,540.0
La Leonera,Los Cóndores,540.0
La Leonera,Higueras,540.0
La Leonera,El Arenal,550.0
La Leonera,Mercado,550.0
La Leonera,Juan Pablo II,590.0
La Leonera,Diagonal Biobío,590.0
La Leonera,Alborada,590.0
La Leonera,Costa Mar,590.0
La Leonera,El Parque,590.0
La Leonera,Lomas Coloradas,590.0
La Leonera,C. Raúl Silva H.,590.0
La Leonera,Hito Galvarino,900.0
La Leonera,Los Canelos,900.0
La Leonera,Huinca,910.0
La Leonera,Cristo Redentor,910.0
La Leonera,Laguna Quiñenco,910.0
La Leonera,Intermodal Coronel,910.0
La Leonera,Pasajero Lota,0.0
La Leonera,Concepción Centro,0.0
Manquimávida,Hualqui,500.0
Manquimávida,La Leonera,420.0
Manquimávida,Manquimávida,420.0
Manquimávida,Pedro Medina,420.0
Manquimávida,Chiguayante,420.0
Manquimávida,Concepción,510.0
Manquimávida,Lorenzo Arenas,510.0
Manquimávida,UTFSM,540.0
Manquimávida,Los Cóndores,540.0
Manquimávida,Higueras,540.0
Manquimávida,El Arenal,550.0
Manquimávida,Mercado,550.0
Manquimávida,Juan Pablo II,590.0
Manquimávida,Diagonal Biobío,590.0
Manquimávida,Alborada,590.0
Manquimávida,Costa Mar,590.0
Manquimávida,El Parque,590.0
Manquimávida,Lomas Coloradas,590.0
Manquimávida,C. Raúl Silva H.,590.0
Manquimávida,Hito Galvarino,900.0
Manquimávida,Los Canelos,900.0
Manquimávida,Huinca,910.0
Manquimávida,Cristo Redentor,910.0
Manquimávida,Laguna Quiñenco,910.0
Manquimávida,Intermodal Coronel,910.0
Manquimávida,Pasajero Lota,0.0
Manquimávida,Concepción Centro,0.0
Pedro Medina,Hualqui,500.0
Pedro Medina,La Leonera,420.0
Pedro Medina,Manquimávida,420.0
Pedro Medina,Pedro Medina,420.0
Pedro Medina,Chiguayante,420.0
Pedro Medina,Concepción,510.0
Pedro Medina,Lorenzo Arenas,510.0
Pedro Medina,UTFSM,540.0
Pedro Medina,Los Cóndores,540.0
