,BIOTREN_L1,BIOTREN_L2,CORTO_LAJA,LLANQUIHUE_PM,TREN_ARAUCANIA
2027-01,152668,629351,49132,50462,55971
2027-02,141583,588993,57304,52440,60167
2027-03,219149,908888,40077,28110,103178
2027-04,210297,1034706,40020,37086,75432
2027-05,198764,990967,34061,35401,49886
2027-06,183247,933924,35118,34540,60253
2027-07,165415,793324,35167,39336,66600
2027-08,190919,968582,38221,29788,69065
2027-09,189806,925105,38184,30536,62862
2027-10,186632,939247,43712,30694,68160
2027-11,191002,848774,44471,34651,73248
2027-12,184016,768613,46140,33948,62357
