,BIOTREN_L1,BIOTREN_L2,CORTO_LAJA,LLANQUIHUE_PM,TREN_ARAUCANIA
2027-01,154385,636427,50721,56675,46821
2027-02,141256,587630,55843,57691,49735
2027-03,214173,888252,38896,30565,81429
2027-04,190902,939281,35976,34015,72500
2027-05,178165,888268,32287,31272,54664
2027-06,146905,748707,29547,27179,51392
2027-07,154523,741084,32273,32972,59696
2027-08,163833,831166,32872,23449,60631
2027-09,163283,795832,33643,27774,54200
2027-10,176073,886107,38303,31874,62896
2027-11,181150,804993,38925,32298,63741
2027-12,176988,739256,39992,34762,52058
