,BIOTREN_L1,BIOTREN_L2,CORTO_LAJA,LLANQUIHUE_PM,TA_CLARET,TA_TEMUCO_PITRUFQUEN,TA_TEMUCO_VICTORIA
2027-01,213625,750458,59518,47651,0,12283,41586
2027-02,193926,683952,64719,48013,0,14670,43500
2027-03,273449,955393,45594,33079,32154,11427,35702
2027-04,235411,976127,42280,33124,34571,12700,37658
2027-05,210941,912035,38477,30352,23034,8966,32603
2027-06,191347,844573,34098,29710,18555,9943,32283
2027-07,202799,843053,37540,31596,27501,11874,32499
2027-08,211642,920531,38393,32207,29695,11100,30651
2027-09,207071,864241,39691,31218,24369,10729,26536
2027-10,219801,951991,45673,30312,27413,13426,29383
2027-11,234202,902242,46637,31593,25857,13844,32047
2027-12,237921,858568,48222,33277,9855,12409,38663
