servicio,anio,meses_observados,afluencia_observada_normalizada,promedio_mensual,primer_mes,ultimo_mes
BIOTREN,2023,1,1091317.0,1091317.0,5,5
BIOTREN,2024,12,11747046.0,978920.0,1,12
BIOTREN,2025,12,11147059.0,928922.0,1,12
BIOTREN,2026,5,4882129.0,976426.0,1,5
CORTO_LAJA,2024,12,602689.0,50224.0,1,12
CORTO_LAJA,2025,12,527553.0,43963.0,1,12
CORTO_LAJA,2026,5,221574.0,44315.0,1,5
LLANQUIHUE_PM,2025,8,229089.0,28636.0,5,12
LLANQUIHUE_PM,2026,5,229952.0,45990.0,1,5
TREN_ARAUCANIA,2024,5,295609.0,59122.0,8,12
TREN_ARAUCANIA,2025,12,617538.0,51462.0,1,12
TREN_ARAUCANIA,2026,5,311403.0,62281.0,1,5
