tipo,servicio,anio,mes,periodo,afluencia,participacion_anual,cobertura
historico,BIOTREN,2023,5,2023-05,1091317.0,1.0,1.0
historico,BIOTREN,2024,1,2024-01,851584.0,0.07249345920668056,1.0
historico,BIOTREN,2024,2,2024-02,777431.0,0.06618097860517444,1.0
historico,BIOTREN,2024,3,2024-03,1110460.0,0.09453099953809664,1.0
historico,BIOTREN,2024,4,2024-04,1174078.0,0.09994665893025362,1.0
historico,BIOTREN,2024,5,2024-05,1073876.0,0.09141668467119309,1.0
historico,BIOTREN,2024,6,2024-06,727436.0,0.06192501502079757,1.0
historico,BIOTREN,2024,7,2024-07,983798.0,0.08374854410206617,1.0
historico,BIOTREN,2024,8,2024-08,934030.0,0.07951190452476307,1.0
historico,BIOTREN,2024,9,2024-09,919690.0,0.07829117209552086,1.0
historico,BIOTREN,2024,10,2024-10,1143390.0,0.0973342574805615,1.0
historico,BIOTREN,2024,11,2024-11,1067007.0,0.09083194191969624,1.0
historico,BIOTREN,2024,12,2024-12,984266.0,0.08378838390519625,1.0
historico,BIOTREN,2025,1,2025-01,887658.0,0.07963158712984295,1.0
historico,BIOTREN,2025,2,2025-02,725419.0,0.06507716519666756,1.0
historico,BIOTREN,2025,3,2025-03,1087695.0,0.09757685861355897,1.0
historico,BIOTREN,2025,4,2025-04,999862.0,0.08969738116574066,1.0
historico,BIOTREN,2025,5,2025-05,968139.0,0.08685151841396013,1.0
historico,BIOTREN,2025,6,2025-06,916854.0,0.08225075331529151,1.0
historico,BIOTREN,2025,7,2025-07,812580.0,0.07289635768501808,1.0
historico,BIOTREN,2025,8,2025-08,976165.0,0.08757152895665125,1.0
historico,BIOTREN,2025,9,2025-09,927456.0,0.08320185620260914,1.0
historico,BIOTREN,2025,10,2025-10,1008880.0,0.09050638379145566,1.0
historico,BIOTREN,2025,11,2025-11,939912.0,0.08431928098702986,1.0
historico,BIOTREN,2025,12,2025-12,896439.0,0.08041932854217422,1.0
historico,BIOTREN,2026,1,2026-01,774269.0,0.1585924911037787,1.0
historico,BIOTREN,2026,2,2026-02,740617.0,0.15169959663089608,1.0
historico,BIOTREN,2026,3,2026-03,1168630.0,0.23936893105446416,1.0
historico,BIOTREN,2026,4,2026-04,1159191.0,0.237435553218688,1.0
historico,BIOTREN,2026,5,2026-05,1039422.0,0.2129034279921731,1.0
historico,TREN_ARAUCANIA,2024,8,2024-08,60202.0,0.20365415126061792,1.0
historico,TREN_ARAUCANIA,2024,9,2024-09,53711.0,0.18169609179693447,1.0
historico,TREN_ARAUCANIA,2024,10,2024-10,67778.0,0.22928259965021364,1.0
historico,TREN_ARAUCANIA,2024,11,2024-11,65914.0,0.22297697296090443,1.0
historico,TREN_ARAUCANIA,2024,12,2024-12,48004.0,0.16239018433132957,1.0
historico,TREN_ARAUCANIA,2025,1,2025-01,43340.0,0.07018191593067957,1.0
historico,TREN_ARAUCANIA,2025,2,2025-02,42891.0,0.06945483516803824,1.0
historico,TREN_ARAUCANIA,2025,3,2025-03,63167.0,0.10228844216874103,1.0
historico,TREN_ARAUCANIA,2025,4,2025-04,62698.0,0.101528974735158,1.0
historico,TREN_ARAUCANIA,2025,5,2025-05,59389.0,0.09617060002785253,1.0
historico,TREN_ARAUCANIA,2025,6,2025-06,46222.0,0.07484883521337958,1.0
historico,TREN_ARAUCANIA,2025,7,2025-07,55987.0,0.09066162730066814,1.0
historico,TREN_ARAUCANIA,2025,8,2025-08,51601.0,0.08355923036315174,1.0
historico,TREN_ARAUCANIA,2025,9,2025-09,44714.0,0.07240688022437486,1.0
historico,TREN_ARAUCANIA,2025,10,2025-10,52922.0,0.08569836997885151,1.0
historico,TREN_ARAUCANIA,2025,11,2025-11,50758.0,0.08219413218295878,1.0
historico,TREN_ARAUCANIA,2025,12,2025-12,43849.0,0.07100615670614602,1.0
historico,TREN_ARAUCANIA,2026,1,2026-01,39424.0,0.126601401615558,1.0
historico,TREN_ARAUCANIA,2026,2,2026-02,44060.0,0.14148745657193282,0.9642857142857143
historico,TREN_ARAUCANIA,2026,3,2026-03,72866.0,0.23399294161219686,1.0
historico,TREN_ARAUCANIA,2026,4,2026-04,80682.0,0.2590922860477488,1.0
historico,TREN_ARAUCANIA,2026,5,2026-05,74371.0,0.23882591415256352,1.0
proyeccion_2027,BIOTREN,2027,1,2027-01,858911.0,0.06611503514697686,1.0
proyeccion_2027,BIOTREN,2027,2,2027-02,805504.0,0.06200400887988448,1.0
proyeccion_2027,BIOTREN,2027,3,2027-03,1253832.0,0.09651424507126384,1.0
proyeccion_2027,BIOTREN,2027,4,2027-04,1243841.0,0.09574518364795753,1.0
proyeccion_2027,BIOTREN,2027,5,2027-05,1192545.0,0.09179665249292596,1.0
proyeccion_2027,BIOTREN,2027,6,2027-06,1037308.0,0.07984721918596954,1.0
proyeccion_2027,BIOTREN,2027,7,2027-07,1006637.0,0.07748630607274486,1.0
proyeccion_2027,BIOTREN,2027,8,2027-08,1172398.0,0.09024582870197888,1.0
proyeccion_2027,BIOTREN,2027,9,2027-09,1100584.0,0.08471791587510276,1.0
proyeccion_2027,BIOTREN,2027,10,2027-10,1189588.0,0.09156903617536848,1.0
proyeccion_2027,BIOTREN,2027,11,2027-11,1109871.0,0.08543278660258206,1.0
proyeccion_2027,BIOTREN,2027,12,2027-12,1020141.0,0.07852578214724475,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,1,2027-01,62948.0,0.06624306241041907,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,2,2027-02,68065.0,0.07162791578708098,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,3,2027-03,109287.0,0.11500771369459663,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,4,2027-04,97634.0,0.10274472827379512,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,5,2027-05,73998.0,0.07787148332347636,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,6,2027-06,69856.0,0.07351266708620185,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,7,2027-07,82538.0,0.08685851631872607,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,8,2027-08,82141.0,0.0864407350424832,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,9,2027-09,70945.0,0.07465867164496379,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,10,2027-10,80582.0,0.08480012796524733,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,11,2027-11,82321.0,0.08663015728360088,1.0
proyeccion_2027,TREN_ARAUCANIA,2027,12,2027-12,69943.0,0.07360422116940873,1.0
