unit,mes,dt,servicios_dia
BIOTREN_L1,1,LV,48.0
BIOTREN_L1,1,Sab,8.0
BIOTREN_L1,1,Dom,0.0
BIOTREN_L1,2,LV,48.0
BIOTREN_L1,2,Sab,8.0
BIOTREN_L1,2,Dom,0.0
BIOTREN_L1,3,LV,48.0
BIOTREN_L1,3,Sab,8.0
BIOTREN_L1,3,Dom,0.0
BIOTREN_L1,4,LV,48.0
BIOTREN_L1,4,Sab,8.0
BIOTREN_L1,4,Dom,0.0
BIOTREN_L1,5,LV,48.0
BIOTREN_L1,5,Sab,8.0
BIOTREN_L1,5,Dom,0.0
BIOTREN_L1,6,LV,48.0
BIOTREN_L1,6,Sab,8.0
BIOTREN_L1,6,Dom,0.0
BIOTREN_L1,7,LV,48.0
BIOTREN_L1,7,Sab,8.0
BIOTREN_L1,7,Dom,0.0
BIOTREN_L1,8,LV,48.0
BIOTREN_L1,8,Sab,8.0
BIOTREN_L1,8,Dom,0.0
BIOTREN_L1,9,LV,48.0
BIOTREN_L1,9,Sab,8.0
BIOTREN_L1,9,Dom,0.0
BIOTREN_L1,10,LV,48.0
BIOTREN_L1,10,Sab,8.0
BIOTREN_L1,10,Dom,0.0
BIOTREN_L1,11,LV,48.0
BIOTREN_L1,11,Sab,8.0
BIOTREN_L1,11,Dom,0.0
BIOTREN_L1,12,LV,48.0
BIOTREN_L1,12,Sab,8.0
BIOTREN_L1,12,Dom,0.0
BIOTREN_L2,1,LV,106.0
BIOTREN_L2,1,Sab,53.0
BIOTREN_L2,1,Dom,32.0
BIOTREN_L2,2,LV,106.0
BIOTREN_L2,2,Sab,53.0
BIOTREN_L2,2,Dom,32.0
BIOTREN_L2,3,LV,106.0
BIOTREN_L2,3,Sab,53.0
BIOTREN_L2,3,Dom,32.0
BIOTREN_L2,4,LV,106.0
BIOTREN_L2,4,Sab,53.0
BIOTREN_L2,4,Dom,32.0
BIOTREN_L2,5,LV,109.0
BIOTREN_L2,5,Sab,53.0
BIOTREN_L2,5,Dom,32.0
BIOTREN_L2,6,LV,109.0
BIOTREN_L2,6,Sab,53.0
BIOTREN_L2,6,Dom,32.0
BIOTREN_L2,7,LV,109.0
BIOTREN_L2,7,Sab,53.0
BIOTREN_L2,7,Dom,32.0
BIOTREN_L2,8,LV,109.0
BIOTREN_L2,8,Sab,53.0
BIOTREN_L2,8,Dom,32.0
BIOTREN_L2,9,LV,109.0
BIOTREN_L2,9,Sab,53.0
BIOTREN_L2,9,Dom,32.0
BIOTREN_L2,10,LV,109.0
BIOTREN_L2,10,Sab,53.0
BIOTREN_L2,10,Dom,32.0
BIOTREN_L2,11,LV,109.0
BIOTREN_L2,11,Sab,53.0
BIOTREN_L2,11,Dom,32.0
BIOTREN_L2,12,LV,109.0
BIOTREN_L2,12,Sab,53.0
BIOTREN_L2,12,Dom,32.0
TREN_ARAUCANIA,1,LV,24.6
TREN_ARAUCANIA,1,Sab,12.0
TREN_ARAUCANIA,1,Dom,6.0
TREN_ARAUCANIA,2,LV,24.6
TREN_ARAUCANIA,2,Sab,12.0
TREN_ARAUCANIA,2,Dom,6.0
TREN_ARAUCANIA,3,LV,24.6
TREN_ARAUCANIA,3,Sab,12.0
TREN_ARAUCANIA,3,Dom,6.0
TREN_ARAUCANIA,4,LV,24.6
TREN_ARAUCANIA,4,Sab,12.0
TREN_ARAUCANIA,4,Dom,6.0
TREN_ARAUCANIA,5,LV,24.6
TREN_ARAUCANIA,5,Sab,12.0
TREN_ARAUCANIA,5,Dom,6.0
TREN_ARAUCANIA,6,LV,24.6
TREN_ARAUCANIA,6,Sab,12.0
TREN_ARAUCANIA,6,Dom,6.0
TREN_ARAUCANIA,7,LV,24.6
TREN_ARAUCANIA,7,Sab,12.0
TREN_ARAUCANIA,7,Dom,6.0
TREN_ARAUCANIA,8,LV,24.6
TREN_ARAUCANIA,8,Sab,12.0
TREN_ARAUCANIA,8,Dom,6.0
TREN_ARAUCANIA,9,LV,24.6
TREN_ARAUCANIA,9,Sab,12.0
TREN_ARAUCANIA,9,Dom,6.0
TREN_ARAUCANIA,10,LV,24.6
TREN_ARAUCANIA,10,Sab,12.0
TREN_ARAUCANIA,10,Dom,6.0
TREN_ARAUCANIA,11,LV,24.6
TREN_ARAUCANIA,11,Sab,12.0
TREN_ARAUCANIA,11,Dom,6.0
TREN_ARAUCANIA,12,LV,24.6
TREN_ARAUCANIA,12,Sab,12.0
TREN_ARAUCANIA,12,Dom,6.0
